School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Southern,29,9,20,.310,-17.50,-13.20,5,13,8,9,1,11,1967,2060,.281,.291,.480,48.8,53.5,7.1,.456,18.3,.176
St. Bonaventure,27,13,14,.481,5.75,4.38,7,9,7,4,4,9,2146,2109,.274,.411,.535,46.6,55.4,4.0,.501,14.3,.208
St. Francis (NY),30,14,16,.467,-8.82,-8.82,9,9,9,3,2,13,2281,2281,.412,.366,.558,49.7,59.4,6.8,.525,20.6,.286
St. John's (NY),34,21,13,.618,9.71,7.35,7,9,12,7,6,5,2418,2338,.356,.293,.487,51.1,45.6,8.3,.450,14.9,.238
Stanford,33,24,9,.727,13.25,8.37,14,4,14,3,7,3,2391,2230,.351,.337,.532,53.6,56.6,6.1,.502,17.3,.238
Stephen F. Austin,29,21,8,.724,-1.24,-7.98,16,4,15,1,6,7,2099,1823,.407,.248,.573,49.5,48.6,4.4,.538,17.6,.293
Stetson,27,7,20,.259,-14.28,-4.84,4,12,5,7,1,12,1856,2107,.318,.277,.485,47.0,45.4,3.3,.440,16.6,.238
Stony Brook,28,13,15,.464,-9.08,-5.89,7,9,10,5,3,9,1855,1848,.410,.255,.526,50.1,57.1,4.1,.487,19.9,.282
Syracuse,35,30,5,.857,19.02,9.02,13,3,17,0,6,3,2785,2435,.376,.252,.551,51.7,51.3,11.0,.519,16.3,.260
Temple,34,18,16,.529,7.16,6.66,10,6,9,5,6,10,2264,2247,.275,.415,.496,49.2,43.2,7.1,.469,12.8,.183
Tennessee-Martin,28,14,14,.500,-8.03,-2.77,7,9,9,4,5,10,2143,2135,.322,.372,.555,46.8,60.5,5.0,.530,18.1,.219
Tennessee State,27,2,25,.074,-23.93,-3.51,0,16,1,11,1,14,1977,2470,.315,.334,.513,44.3,50.9,6.1,.484,19.7,.210
Tennessee Tech,32,20,12,.625,0.77,-2.96,11,5,13,1,5,9,2422,2198,.458,.269,.571,54.5,63.5,6.0,.530,20.8,.330
Tennessee,29,17,12,.586,9.88,7.88,9,7,12,5,5,6,1980,1922,.375,.322,.550,53.7,65.3,6.3,.512,19.7,.271
Texas A&M-Corpus Christi,29,14,15,.483,-9.95,-5.25,9,4,4,11,2204,2247,.414,.223,.530,50.3,50.4,3.7,.483,19.1,.302
Texas A&M,28,14,14,.500,5.98,7.23,6,10,10,4,2,8,2015,2050,.356,.328,.521,48.0,63.3,3.5,.487,17.7,.246
Texas-Arlington,29,16,13,.552,-6.13,-6.17,13,7,9,4,6,9,1859,1819,.367,.187,.506,53.6,59.2,5.4,.471,19.6,.248
Texas Christian,28,9,19,.321,0.44,4.22,3,13,7,7,2,12,2146,2252,.426,.359,.523,49.7,55.5,3.4,.483,17.4,.291
Texas-El Paso,30,6,24,.200,-10.72,0.04,3,15,5,12,0,12,1892,2195,.348,.294,.523,50.0,53.4,6.7,.493,22.6,.235
Texas-Rio Grande Valley,30,10,20,.333,-14.75,-6.67,8,3,2,10,1979,2022,.373,.302,.489,50.3,55.5,2.1,.464,18.4,.223
Texas-San Antonio,27,10,17,.370,-11.19,-5.30,7,13,5,7,4,10,1801,1940,.432,.376,.517,47.6,55.7,4.1,.470,20.5,.306
Texas Southern,31,18,13,.581,-9.57,-11.21,11,7,11,3,4,8,2268,2217,.509,.334,.531,52.3,57.3,3.6,.503,18.1,.311
Texas State,29,17,12,.586,-4.45,-7.59,11,9,13,2,4,10,2105,1953,.418,.410,.555,50.2,59.7,6.0,.519,19.9,.294
Texas Tech,35,22,13,.629,14.80,8.29,6,10,13,4,6,7,2543,2315,.341,.171,.523,49.4,57.7,4.2,.495,14.2,.226
Texas,33,26,7,.788,18.91,9.27,13,3,14,0,5,4,2618,2300,.398,.268,.536,54.5,52.2,6.2,.493,15.0,.287
Toledo,29,13,16,.448,1.82,2.13,7,11,8,4,4,10,2034,2043,.341,.404,.552,49.8,53.6,5.5,.528,20.2,.227
Towson,28,4,24,.143,-18.74,-3.56,1,17,3,9,1,13,1591,2016,.298,.250,.497,47.7,66.0,8.5,.462,26.3,.212
Troy,32,26,6,.813,2.86,-4.80,14,2,10,1,12,3,2556,2262,.286,.433,.532,50.9,54.2,8.6,.506,15.3,.197
Tulane,31,16,15,.516,6.01,2.84,8,8,13,3,2,10,2205,2094,.321,.279,.542,50.0,59.2,5.7,.518,18.1,.213
Tulsa,33,23,10,.697,10.41,2.29,12,6,14,3,6,6,2423,2155,.329,.314,.556,51.3,55.6,8.2,.523,17.7,.240
UCLA,29,10,19,.345,6.33,9.74,6,12,5,10,4,7,2181,2280,72.9,101.4,.330,.256,.538,50.3,52.6,7.5,5.2,.507,18.7,33.6,.230
Utah State,33,24,9,.727,4.16,-1.43,12,6,12,2,7,6,2197,1979,.377,.264,.539,55.6,58.9,4.1,.501,16.6,.269
Utah,33,25,8,.758,11.00,5.25,11,3,15,1,7,4,2191,1991,.369,.369,.555,51.9,56.4,7.6,.521,17.8,.263
Valparaiso,31,20,11,.645,3.84,-1.13,12,2,12,1,6,8,2194,2040,.446,.300,.548,52.7,68.5,7.2,.518,19.0,.292
Vanderbilt,29,11,18,.379,6.15,9.36,3,13,10,6,0,11,1998,2091,.336,.336,.525,48.1,57.6,6.8,.492,19.6,.234
Vermont,33,21,12,.636,-1.32,-4.85,11,5,11,1,7,8,2275,2111,.342,.278,.523,55.2,57.1,5.5,.494,18.1,.228
Villanova,31,15,16,.484,9.11,7.56,8,8,9,4,4,8,2225,2177,.380,.322,.519,52.6,53.0,6.2,.477,18.9,.271
Virginia Commonwealth,28,18,10,.643,2.78,-3.29,12,6,13,4,5,6,2073,1903,.331,.293,.536,50.3,45.4,8.2,.503,16.8,.234
VMI,30,10,20,.333,-13.36,-4.29,3,13,5,7,2,11,1952,2147,.311,.305,.488,48.6,61.5,6.5,.461,18.5,.199
Virginia Tech,29,11,18,.379,2.30,5.33,4,12,8,7,1,10,2036,2124,.374,.302,.510,50.8,52.1,7.4,.477,17.6,.249
Virginia,32,16,16,.500,7.51,8.64,6,10,12,3,2,11,2366,2387,.353,.343,.541,51.8,54.5,7.1,.515,19.4,.232
Wagner,32,21,11,.656,-3.33,-6.48,14,4,14,1,7,9,2403,2302,.335,.320,.563,51.5,59.4,4.9,.531,18.4,.243
Wake Forest,31,25,6,.806,16.96,6.96,13,3,17,0,7,4,2412,2102,.457,.315,.557,56.5,54.8,7.7,.506,18.0,.344
Washington State,27,7,20,.259,-1.45,6.73,2,16,6,8,0,12,1906,2127,.295,.390,.508,48.2,56.2,5.1,.475,18.8,.208
Washington,27,10,17,.370,4.65,7.28,5,13,8,7,2,10,1955,2026,.350,.258,.510,47.9,51.3,5.0,.478,18.1,.232
Weber State,32,26,6,.813,4.56,-2.01,14,0,13,0,9,4,2385,2164,.477,.337,.569,51.5,56.9,1.4,.523,16.1,.349
West Virginia,29,14,15,.483,4.08,6.84,5,11,9,5,2,9,1937,2017,.310,.376,.535,44.2,61.4,6.2,.515,17.5,.199
Western Carolina,28,9,19,.321,-11.80,-4.38,6,10,7,6,2,12,2044,2108,.355,.341,.533,49.5,51.4,7.2,.489,19.1,.268
Western Illinois,28,7,21,.250,-14.01,-2.97,3,11,5,6,2,13,1882,2123,.324,.346,.524,48.4,66.3,3.9,.497,19.5,.217
Western Kentucky,33,24,9,.727,7.71,1.40,12,2,16,0,5,7,2430,2194,.371,.372,.554,52.1,55.0,6.5,.529,18.5,.245
Western Michigan,31,20,11,.645,6.66,0.76,10,8,12,2,7,7,2151,1968,.385,.308,.517,51.5,51.9,5.3,.478,16.8,.266
Wichita State,30,18,12,.600,2.39,0.99,12,6,12,4,5,7,2157,2115,.394,.339,.560,53.0,62.0,3.6,.522,19.6,.287
William & Mary,28,12,16,.429,-9.32,-5.07,7,11,7,7,5,8,1799,1918,.325,.352,.509,50.8,58.8,4.4,.475,16.5,.225
Winthrop,30,20,10,.667,-7.74,-10.58,11,3,11,3,9,4,2104,1942,.398,.354,.521,51.1,52.2,9.4,.491,17.8,.257
Wisconsin,32,24,8,.750,17.48,6.51,12,4,16,1,6,5,2250,1899,.359,.327,.558,51.5,53.0,5.3,.521,14.2,.263
Wofford,29,14,15,.483,-4.99,-1.83,8,8,8,4,5,10,2209,2142,.292,.373,.552,48.4,57.2,5.8,.528,17.5,.201
Wright State,28,10,18,.357,-4.71,0.48,4,12,10,5,0,12,1907,2026,.365,.343,.527,45.7,51.3,4.6,.490,16.0,.257
Wyoming,32,21,11,.656,5.75,3.50,8,6,13,3,6,6,2343,2265,.530,.266,.549,53.4,55.5,5.2,.501,17.1,.372
Xavier,32,26,6,.813,16.08,4.61,15,1,14,1,10,2,2482,2115,.407,.301,.548,53.8,61.5,4.9,.502,15.2,.304
Yale,27,14,13,.519,-1.07,-2.45,8,6,5,4,6,9,1872,1785,.353,.347,.552,50.5,62.2,4.1,.515,19.9,.260
Youngstown State,29,9,20,.310,-8.77,-0.77,4,12,8,5,1,14,1813,1993,.375,.215,.489,50.7,56.0,5.7,.453,20.2,.246
