School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
UC-Davis,30,10,20,.333,-5.69,-1.90,4,12,7,7,3,11,2136,2194,68.0,102.3,.345,.393,.567,45.9,60.5,9.4,6.3,.534,18.3,23.7,.251
UC-Irvine,32,13,19,.406,-3.78,-2.36,6,10,9,6,4,12,2411,2419,72.0,102.2,.414,.357,.532,47.8,48.9,9.0,4.9,.485,15.4,25.9,.304
UC-Riverside,31,12,19,.387,-8.26,-1.40,6,10,7,5,4,11,2044,2164,66.6,97.8,.328,.264,.503,50.3,50.2,8.8,12.0,.470,17.5,33.2,.224
UC-Santa Barbara,32,18,14,.563,1.22,0.12,8,8,9,4,5,8,2170,2105,65.2,102.9,.373,.373,.563,49.6,61.6,11.0,12.2,.523,19.1,28.4,.281
University of California,33,18,15,.545,9.45,9.17,10,8,12,6,5,6,2391,2382,68.5,103.9,.471,.270,.549,51.6,60.1,8.2,7.0,.508,17.1,30.4,.327
Campbell,31,12,19,.387,-6.67,-4.27,6,14,7,7,4,10,2032,2091,65.6,99.5,.404,.214,.520,49.9,57.3,10.7,15.3,.490,18.6,34.4,.259
Canisius,30,15,15,.500,-2.92,-3.55,9,9,10,4,5,10,2043,2024,67.3,101.2,.274,.380,.519,49.3,60.8,10.3,12.6,.491,17.4,34.1,.192
Centenary (LA),30,1,29,.033,-25.21,-2.85,1,17,1,10,0,19,1775,2422,70.8,83.6,.474,.289,.481,43.4,49.2,10.0,6.5,.440,22.7,26.6,.297
Central Arkansas,29,5,24,.172,-19.16,-5.39,1,15,4,9,0,14,1984,2216,72.3,94.2,.413,.318,.501,47.3,50.1,10.5,6.6,.466,19.1,31.4,.265
Central Connecticut State,31,19,12,.613,-1.94,-5.97,11,7,12,2,6,10,2170,2045,67.6,102.3,.361,.264,.527,51.1,59.0,11.0,10.2,.479,17.8,36.6,.276
Central Florida,33,21,12,.636,6.25,1.97,6,10,15,4,4,7,2271,2080,65.3,105.3,.464,.344,.550,51.7,52.8,9.3,14.7,.512,18.0,34.1,.321
Central Michigan,31,10,21,.323,-8.01,-2.41,7,9,6,7,3,13,1841,2006,64.8,90.6,.335,.278,.462,49.1,41.1,11.0,10.2,.430,17.4,32.3,.211
Charleston Southern,32,16,16,.500,-4.86,-4.57,9,9,12,2,3,12,2362,2197,69.0,106.6,.318,.302,.541,52.7,47.2,12.5,8.1,.502,17.2,37.4,.240
Charlotte,30,10,20,.333,-2.54,1.89,2,14,6,7,2,11,1997,2130,65.5,97.5,.376,.372,.520,50.4,52.4,9.4,8.5,.476,18.9,31.5,.274
Chattanooga,32,16,16,.500,-9.44,-2.67,12,6,10,6,6,10,2274,2380,70.8,99.2,.405,.463,.522,52.1,58.7,7.1,4.6,.491,18.2,31.0,.263
Chicago State,32,6,26,.188,-27.71,-4.88,3,9,4,6,1,17,2128,2772,74.7,88.0,.379,.259,.476,46.1,51.6,8.5,6.7,.439,19.8,28.4,.246
Cincinnati,35,26,9,.743,15.41,6.10,11,7,15,3,7,4,2412,2086,63.6,107.9,.383,.336,.526,53.2,58.6,11.5,10.2,.494,14.9,38.1,.256
Citadel,32,10,22,.313,-9.84,-2.84,6,12,6,8,3,12,2049,2237,64.4,99.1,.308,.278,.508,52.0,53.5,7.3,4.1,.472,16.8,33.0,.221
Clemson,34,22,12,.647,13.76,6.58,9,7,15,2,3,7,2330,2086,65.1,104.5,.385,.345,.539,51.2,54.9,12.2,13.2,.503,17.2,34.2,.270
Cleveland State,36,27,9,.750,7.59,1.74,13,5,17,3,9,5,2556,2291,66.5,106.8,.415,.351,.539,49.1,49.7,11.2,7.4,.494,14.8,31.2,.304
Coastal Carolina,34,28,6,.824,2.35,-5.15,16,2,15,3,10,2,2597,2178,68.0,111.2,.434,.253,.562,54.9,56.0,9.7,11.7,.528,16.1,36.6,.301
Colgate,30,7,23,.233,-15.80,-5.03,4,10,3,9,4,14,1947,2270,68.0,94.3,.375,.300,.507,50.0,55.5,8.4,8.0,.469,19.8,31.5,.256
College of Charleston,37,26,11,.703,6.17,-1.05,14,4,13,1,10,8,2821,2554,67.6,112.7,.274,.384,.574,49.4,47.9,8.5,9.4,.548,15.4,32.8,.203
Colorado State,32,19,13,.594,7.49,5.26,9,7,9,5,6,5,2279,2166,67.5,105.2,.420,.329,.557,51.1,53.1,10.7,7.2,.522,18.0,31.9,.291
Colorado,38,24,14,.632,11.45,5.61,8,8,18,2,3,9,3025,2787,69.1,114.0,.390,.276,.570,52.0,49.5,9.8,7.3,.524,14.4,35.3,.304
Columbia,28,15,13,.536,-5.22,-4.81,6,8,10,4,5,9,1982,1988,68.1,103.0,.358,.285,.516,52.5,46.2,9.4,7.4,.476,15.3,34.2,.256
Connecticut,41,32,9,.780,17.95,10.44,9,9,13,4,5,5,2967,2659,65.1,109.2,.338,.293,.526,52.9,50.7,9.5,13.6,.482,14.2,38.7,.258
Coppin State,30,16,14,.533,-8.70,-7.66,11,5,11,3,5,10,2175,2169,69.8,102.2,.341,.361,.529,48.8,45.3,10.3,6.3,.495,16.6,31.2,.239
Cornell,28,10,18,.357,-3.60,-1.60,6,8,6,6,3,11,1906,1962,66.0,102.6,.311,.425,.525,47.5,61.7,10.0,7.2,.496,15.7,29.5,.215
Creighton,39,23,16,.590,4.87,1.41,10,8,19,3,3,11,2684,2549,63.5,108.1,.360,.373,.563,52.9,60.7,6.7,8.0,.529,16.5,31.0,.263
Dartmouth,28,5,23,.179,-14.86,-3.39,1,13,3,8,2,15,1667,1988,66.2,89.5,.295,.284,.478,44.7,42.5,9.7,7.6,.442,18.0,26.5,.206
Davidson,33,18,15,.545,-0.39,-2.17,10,8,10,3,5,10,2392,2266,68.2,106.3,.359,.397,.542,53.1,51.9,7.2,7.8,.502,17.3,35.8,.263
Dayton,36,22,14,.611,4.87,3.20,7,9,14,5,6,6,2413,2353,65.9,100.6,.332,.329,.501,53.3,61.7,7.1,8.7,.468,16.5,35.7,.225
Delaware State,30,9,21,.300,-12.18,-6.39,5,11,6,4,3,16,1874,1967,61.3,101.1,.284,.377,.524,42.0,51.5,13.7,10.0,.493,15.8,27.9,.203
Delaware,31,14,17,.452,-3.79,-0.11,8,10,6,6,7,9,1951,2065,62.9,99.2,.402,.328,.514,48.4,48.7,5.8,10.3,.473,16.1,28.1,.278
Denver,30,13,17,.433,-4.04,-3.48,9,7,11,4,2,10,1800,1817,58.6,100.7,.381,.437,.575,44.7,66.1,9.3,10.9,.542,19.2,20.0,.276
DePaul,31,7,24,.226,-1.31,7.53,1,17,6,11,1,9,2104,2378,68.9,97.3,.333,.288,.505,44.5,58.2,10.7,7.7,.471,16.8,30.0,.227
Detroit Mercy,33,17,16,.515,1.88,0.91,10,8,11,4,6,11,2459,2397,70.5,104.1,.471,.260,.548,52.4,47.7,10.6,12.9,.509,18.7,36.4,.324
Drake,31,13,18,.419,-2.56,0.76,7,11,10,5,2,10,1997,2100,65.4,98.1,.381,.356,.526,45.8,52.3,8.6,7.6,.490,16.6,23.9,.261
Drexel,31,21,10,.677,4.02,-0.01,11,7,12,2,7,7,1975,1850,63.4,100.2,.403,.223,.489,56.6,48.4,6.4,7.1,.458,15.5,37.6,.248
Duke,37,32,5,.865,24.51,8.32,13,3,17,0,6,4,2993,2394,70.2,115.2,.374,.353,.576,51.9,50.9,10.4,9.7,.537,14.7,35.1,.282
Duquesne,32,19,13,.594,10.33,1.49,10,6,10,2,8,7,2494,2177,71.3,108.0,.417,.374,.546,48.0,65.5,13.7,14.2,.525,15.8,34.1,.259
East Carolina,34,18,16,.529,1.67,2.99,8,8,11,5,4,7,2319,2288,65.8,102.9,.494,.417,.543,48.5,59.9,9.8,7.7,.500,18.3,31.2,.342
East Tennessee State,36,24,12,.667,2.08,-2.12,16,4,13,2,9,7,2515,2320,66.0,105.2,.445,.281,.540,51.4,44.7,10.2,11.2,.503,17.0,33.9,.301
Eastern Illinois,29,9,20,.310,-11.41,-4.89,4,14,5,9,4,11,1749,1875,63.7,94.3,.320,.239,.500,51.2,57.2,9.3,7.6,.460,18.8,32.4,.232
Eastern Kentucky,31,15,16,.484,-7.34,-6.48,9,9,8,5,6,9,2046,1957,62.4,105.0,.328,.424,.559,47.1,61.7,9.6,8.1,.524,17.0,26.7,.243
Eastern Michigan,31,9,22,.290,-9.11,-3.11,5,11,7,6,1,13,1906,2030,67.3,91.0,.353,.392,.481,49.2,61.3,9.7,9.8,.452,18.5,28.7,.221
Eastern Washington,30,10,20,.333,-8.50,-2.22,7,9,8,6,2,14,2023,2119,66.6,100.5,.363,.389,.512,49.3,51.7,8.6,10.7,.480,17.3,34.0,.240
Elon,31,14,17,.452,-6.54,-3.32,7,11,8,5,5,9,2301,2301,70.3,105.6,.382,.439,.546,48.0,56.9,7.8,6.5,.508,15.6,28.6,.272
Evansville,32,16,16,.500,-0.30,1.80,9,9,13,3,3,12,2122,2147,66.1,100.0,.465,.257,.541,47.9,62.5,8.3,5.7,.496,17.5,25.4,.329
Fairfield,33,25,8,.758,2.94,-3.91,15,3,13,3,10,4,2150,1924,65.8,98.7,.389,.258,.505,51.8,58.2,12.4,9.4,.472,17.7,35.0,.255
Fairleigh Dickinson,29,5,24,.172,-13.34,-5.00,3,15,3,11,2,13,1866,2108,67.3,94.1,.394,.289,.486,50.2,52.6,8.4,8.8,.444,18.6,33.4,.266
Florida A&M,32,12,20,.375,-16.82,-8.71,7,9,11,3,1,16,2055,2196,68.7,92.0,.402,.349,.483,50.2,41.8,11.1,9.8,.453,19.8,35.5,.243
Florida Atlantic,32,21,11,.656,-2.41,-2.61,13,3,10,3,9,7,2191,2137,64.7,105.0,.392,.292,.523,49.1,50.5,9.2,12.8,.492,14.7,32.8,.258
Florida Gulf Coast,30,10,20,.333,-10.27,-3.11,7,13,6,8,4,12,1970,2185,69.2,93.7,.426,.319,.493,50.7,54.3,9.0,6.3,.454,20.0,35.3,.277
Florida International,30,11,19,.367,-9.33,-4.23,5,11,8,7,2,11,2150,2262,69.4,101.6,.490,.305,.532,47.7,44.6,11.7,10.5,.488,17.9,32.5,.336
Florida State,34,23,11,.676,13.48,6.45,11,5,12,3,8,5,2348,2109,69.3,99.3,.381,.333,.522,53.3,51.1,12.2,17.5,.490,19.4,35.6,.253
Florida,37,29,8,.784,16.27,7.57,13,3,14,3,8,2,2667,2345,63.9,110.3,.357,.317,.547,54.0,53.8,9.1,9.5,.521,15.6,37.2,.239
Fordham,28,7,21,.250,-8.77,1.01,1,15,6,6,1,10,1795,2069,67.9,94.4,.307,.331,.479,50.0,54.0,6.2,11.4,.452,17.3,34.2,.194
Fresno State,31,14,17,.452,-0.25,0.58,6,10,11,5,3,11,2096,2089,67.6,99.7,.390,.357,.508,50.8,59.4,12.6,10.2,.480,17.3,33.3,.245
Furman,33,22,11,.667,-0.36,-3.65,12,6,11,2,9,8,2271,2124,63.6,107.4,.405,.371,.556,52.2,52.8,8.0,9.7,.516,17.6,34.8,.294
Gardner-Webb,32,11,21,.344,-9.22,-2.72,6,12,6,5,3,16,1985,2129,65.9,93.7,.313,.359,.496,50.5,46.6,10.6,7.0,.469,19.2,31.8,.201
George Mason,34,27,7,.794,11.66,1.37,16,2,14,0,10,3,2474,2124,64.3,111.9,.386,.308,.562,51.5,55.1,10.1,8.9,.532,14.6,32.9,.266
George Washington,31,17,14,.548,-0.10,0.36,10,6,9,7,7,5,2011,2025,64.7,99.9,.376,.315,.497,51.1,52.1,9.9,12.3,.468,16.4,36.4,.236
Georgetown,32,21,11,.656,14.61,10.39,10,8,10,4,7,5,2258,2123,64.8,108.5,.334,.371,.572,52.0,59.5,9.3,11.2,.541,18.0,33.7,.245
Georgia Southern,32,5,27,.156,-15.88,-3.13,1,17,5,10,0,14,2090,2423,69.5,93.2,.401,.262,.528,47.8,51.1,12.3,7.9,.491,22.5,30.5,.276
Georgia State,31,12,19,.387,-4.15,-1.92,6,12,8,6,2,12,1919,1988,63.6,95.5,.328,.305,.495,51.9,57.1,10.0,14.7,.475,19.3,35.8,.195
Georgia Tech,31,13,18,.419,6.42,5.68,5,11,10,6,1,10,2102,2079,69.2,97.3,.318,.347,.492,50.7,54.3,13.7,11.7,.457,16.6,33.5,.219
Georgia,33,21,12,.636,10.43,6.13,9,7,12,4,7,4,2267,2125,64.6,104.0,.366,.250,.530,53.4,60.1,9.7,12.8,.495,17.2,36.8,.255
Gonzaga,35,25,10,.714,13.86,4.01,11,3,14,2,6,4,2684,2307,68.4,111.3,.416,.281,.576,54.8,58.2,10.5,10.5,.531,16.9,35.4,.317
Grambling,33,12,21,.364,-18.45,-10.45,8,10,4,6,5,13,1998,2262,69.1,86.3,.385,.303,.460,48.5,48.4,9.2,6.8,.425,18.9,29.4,.236
Green Bay,32,14,18,.438,-0.21,2.18,8,10,10,4,4,12,2154,2189,65.6,101.8,.345,.265,.514,51.3,47.9,9.4,10.7,.479,16.7,36.1,.238
Hampton,33,24,9,.727,-5.20,-8.77,11,5,8,3,8,5,2197,2070,67.3,97.5,.412,.357,.499,47.0,51.9,10.7,14.2,.463,15.8,29.7,.267
Hartford,31,11,20,.355,-10.04,-5.55,7,9,7,5,3,13,1857,1996,63.5,92.4,.235,.495,.476,45.3,54.6,12.1,8.6,.458,16.6,27.6,.141
Harvard,30,23,7,.767,4.88,-1.19,12,3,14,0,9,6,2144,1933,63.9,111.0,.433,.364,.596,51.8,60.6,9.2,11.8,.543,18.1,31.4,.351
Hawaii,32,19,13,.594,0.51,-0.87,8,8,15,5,4,6,2216,2151,68.6,99.8,.436,.321,.545,51.4,50.0,8.0,11.0,.508,19.6,31.3,.299
High Point,31,12,19,.387,-12.82,-4.47,7,11,9,5,3,13,2050,2250,68.5,95.4,.413,.287,.501,48.2,48.5,10.5,7.6,.462,18.6,32.3,.275
Hofstra,33,21,12,.636,-0.03,0.13,14,4,10,3,10,5,2335,2300,64.8,108.0,.359,.318,.544,47.1,55.1,9.8,11.0,.500,13.9,29.8,.273
Holy Cross,29,8,21,.276,-6.38,-4.55,7,7,4,9,4,12,1949,2002,66.0,101.0,.357,.281,.515,52.2,54.0,6.1,9.7,.486,17.0,33.6,.232
Houston Baptist,31,5,26,.161,-18.41,-8.72,2,10,4,8,0,15,2140,2429,73.3,93.4,.399,.295,.495,46.2,49.3,11.2,7.0,.454,19.2,31.3,.270
Houston,30,12,18,.400,-2.71,0.55,4,12,10,6,2,11,2061,2092,66.4,101.4,.409,.286,.546,48.6,55.6,8.3,10.6,.515,19.5,31.5,.274
Howard,30,6,24,.200,-18.80,-7.30,4,12,6,9,0,13,1753,2098,66.0,88.5,.426,.305,.463,49.1,47.0,9.2,6.5,.424,20.1,35.2,.265
Idaho State,29,9,20,.310,-10.76,-1.87,4,12,7,5,1,14,1878,2096,64.9,98.5,.414,.276,.503,49.0,42.9,10.2,9.5,.457,17.0,33.7,.290
Idaho,32,18,14,.563,0.20,-0.64,9,7,10,5,8,8,2172,2134,65.4,102.5,.383,.321,.559,50.3,60.0,9.9,8.3,.523,19.5,30.9,.276
Illinois-Chicago,31,7,24,.226,-6.32,1.98,2,16,4,10,1,14,1943,2152,65.6,94.4,.309,.274,.497,52.7,49.9,7.0,6.9,.467,20.3,36.7,.206
Illinois State,31,12,19,.387,-3.37,-0.66,4,14,10,8,2,10,1893,1977,62.4,96.8,.336,.308,.510,51.4,50.9,7.8,11.7,.473,18.3,30.7,.238
Illinois,34,20,14,.588,16.72,11.11,9,9,14,2,3,7,2413,2222,66.2,106.8,.282,.314,.557,51.2,63.5,8.3,12.1,.529,16.7,31.7,.206
Indiana State,34,20,14,.588,3.41,2.90,12,6,10,3,6,8,2253,2192,64.8,100.8,.377,.362,.533,50.8,56.0,9.5,12.4,.494,18.4,30.9,.268
Indiana,32,12,20,.375,9.03,7.65,3,15,12,6,0,11,2226,2182,65.3,106.2,.369,.319,.553,50.7,49.8,9.6,7.9,.516,17.1,32.6,.268
Iona,37,25,12,.676,7.01,-2.26,13,5,12,3,11,6,2922,2579,69.5,112.1,.365,.361,.566,51.6,61.5,10.7,8.5,.544,15.3,33.2,.240
Iowa State,32,16,16,.500,8.86,4.55,3,13,13,6,2,9,2395,2257,70.7,104.6,.264,.375,.534,48.5,55.2,9.4,9.0,.506,15.2,29.4,.191
Iowa,31,11,20,.355,7.95,8.79,4,14,8,8,2,9,2084,2110,67.1,99.5,.345,.267,.514,50.9,55.2,9.9,8.0,.481,18.1,34.5,.233
Fort Wayne,30,18,12,.600,-2.17,-5.17,11,7,11,3,7,8,2230,2103,67.6,109.0,.354,.372,.570,49.8,56.9,7.4,8.4,.529,15.7,28.8,.273
IUPUI,33,19,14,.576,0.39,-0.84,12,6,9,2,7,9,2364,2282,63.2,112.5,.321,.314,.568,50.5,42.4,9.2,7.3,.529,15.1,33.8,.251
Jackson State,32,17,15,.531,-10.43,-10.86,12,6,9,3,7,11,2096,2009,66.3,97.7,.425,.332,.507,51.9,59.1,11.6,10.2,.474,18.9,35.2,.271
Jacksonville State,30,5,25,.167,-11.16,-5.41,3,15,2,9,2,15,1828,1974,62.8,95.9,.341,.306,.509,47.6,56.1,10.0,10.3,.481,19.4,32.4,.221
Jacksonville,32,20,12,.625,-1.42,-3.68,13,7,11,2,9,9,2176,2094,68.2,97.8,.384,.251,.499,52.0,50.1,12.3,10.8,.461,18.2,36.8,.257
James Madison,33,21,12,.636,2.94,-0.03,10,8,11,4,10,7,2355,2257,66.9,106.3,.385,.291,.549,52.2,54.8,8.0,10.3,.513,16.4,31.7,.274
Kansas State,34,23,11,.676,14.59,8.41,10,6,16,1,5,5,2477,2249,68.8,105.9,.427,.325,.531,54.7,55.8,8.9,12.1,.499,17.6,40.9,.280
Kansas,38,35,3,.921,24.10,7.62,14,2,16,1,9,1,3084,2458,69.7,116.0,.393,.324,.593,55.7,60.5,11.1,10.7,.570,16.3,36.7,.267
Kennesaw State,31,8,23,.258,-14.06,-3.29,6,14,6,8,2,14,2017,2320,66.0,96.6,.357,.335,.498,47.8,48.2,8.2,9.2,.467,18.0,34.2,.232
Kent State,37,25,12,.676,3.65,0.04,12,4,14,2,7,9,2626,2473,67.2,104.3,.346,.277,.518,50.3,53.4,11.4,10.3,.487,15.8,36.1,.231
Kentucky,38,29,9,.763,20.30,8.91,10,6,15,0,3,7,2845,2412,66.2,112.8,.361,.324,.556,52.5,48.1,8.4,15.5,.523,13.7,34.3,.257
La Salle,33,15,18,.455,-0.08,1.70,6,10,9,10,5,5,2536,2595,71.8,103.9,.329,.276,.530,51.2,53.7,10.0,9.1,.496,17.7,37.4,.233
Lafayette,32,13,19,.406,-7.26,-4.19,6,8,8,6,5,13,2237,2310,66.7,102.0,.360,.401,.544,47.3,63.1,8.9,6.8,.499,17.3,27.0,.274
Lamar,30,13,17,.433,-6.69,-5.96,7,9,8,5,4,11,2463,2279,77.4,106.1,.399,.331,.528,52.0,51.7,10.6,8.9,.491,16.4,37.2,.274
Lehigh,31,16,15,.516,-4.07,-5.69,6,8,9,5,7,10,2282,2232,71.1,102.2,.464,.295,.525,49.8,50.1,10.6,9.6,.465,15.6,30.9,.350
Liberty,32,19,13,.594,-5.62,-4.86,13,5,12,4,5,9,2165,2100,66.9,99.5,.352,.282,.508,54.1,51.6,9.8,9.3,.472,18.6,38.9,.241
Lipscomb,30,17,13,.567,-0.96,-2.65,12,8,10,2,7,10,2287,2213,71.8,104.8,.406,.341,.548,51.5,58.1,11.2,5.5,.510,18.2,34.0,.287
Long Beach State,34,22,12,.647,3.78,1.69,14,2,11,2,7,7,2489,2398,70.2,103.8,.421,.329,.537,52.1,52.6,8.5,5.3,.503,17.4,33.3,.283
Long Island University,33,27,6,.818,2.23,-5.77,16,2,14,2,13,3,2730,2466,75.3,108.9,.497,.316,.550,52.8,54.2,9.8,7.6,.519,16.9,37.4,.321
Longwood,31,12,19,.387,-16.02,-3.62,10,4,1,14,2364,2552,73.4,103.9,.330,.355,.548,45.7,60.1,8.0,4.8,.518,16.5,28.0,.230
Louisiana,29,14,15,.483,-5.45,-4.19,11,5,10,4,4,10,2055,2067,69.5,100.7,.436,.265,.519,52.5,41.3,8.1,11.4,.482,18.4,36.4,.289
Louisiana-Monroe,31,7,24,.226,-14.27,-3.96,2,14,4,9,2,13,1859,2126,63.8,93.9,.349,.306,.497,49.2,46.5,9.8,5.1,.466,19.1,32.2,.226
Louisiana State,32,11,21,.344,-2.09,2.26,3,13,8,10,3,8,1991,2130,65.9,93.7,.376,.324,.488,48.5,52.6,9.6,8.6,.450,18.4,32.1,.250
