School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Coastal Carolina,29,14,15,.483,-5.61,-5.22,9,7,12,4,2,11,1943,1840,65.6,101.6,.361,.258,.510,51.5,43.1,13.1,7.0,.479,17.7,39.3,.237
Colgate,32,11,21,.344,-8.73,-2.58,5,9,7,5,3,16,2033,2230,66.4,95.4,.276,.366,.511,47.8,56.1,6.9,7.5,.480,17.5,26.2,.195
College of Charleston,35,24,11,.686,0.17,-3.86,14,4,10,7,11,2,2297,2176,63.8,102.9,.386,.331,.533,51.8,48.8,6.7,10.6,.499,17.8,33.9,.265
Colorado State,35,26,9,.743,13.65,5.89,11,5,16,1,6,6,2553,2229,64.6,112.6,.436,.271,.539,56.9,50.5,7.1,6.4,.495,14.1,41.2,.312
Colorado,33,21,12,.636,11.95,7.95,10,8,12,3,5,7,2230,2098,65.7,101.4,.409,.289,.522,50.2,42.3,10.5,8.6,.483,17.1,33.6,.281
Columbia,28,12,16,.429,-3.25,-3.48,4,10,6,7,5,9,1746,1694,61.3,101.7,.334,.363,.525,48.5,55.8,10.0,7.5,.484,15.5,29.4,.249
Connecticut,30,20,10,.667,11.88,7.42,10,8,13,3,4,5,2096,1962,64.9,103.8,.369,.341,.542,44.4,56.4,11.1,11.2,.500,16.0,28.5,.274
Coppin State,32,8,24,.250,-12.65,-4.20,5,11,4,7,4,15,2035,2277,69.3,90.3,.320,.409,.470,41.2,47.7,11.1,4.9,.431,17.9,29.3,.223
Cornell,31,13,18,.419,-7.27,-2.37,5,9,4,10,7,8,2040,2168,67.2,98.0,.303,.353,.516,47.0,49.7,10.1,10.7,.484,17.3,28.5,.213
Creighton,36,28,8,.778,16.44,5.16,13,5,15,2,7,5,2680,2274,65.0,114.5,.342,.394,.612,51.6,64.6,7.4,6.6,.582,16.8,28.8,.260
Dartmouth,28,9,19,.321,-9.21,-3.17,5,9,6,7,3,12,1719,1844,64.1,95.3,.340,.322,.504,46.6,49.7,10.8,7.6,.462,18.2,29.1,.248
Davidson,34,26,8,.765,7.27,-3.45,17,1,12,1,9,4,2490,2110,64.8,112.7,.388,.383,.580,49.3,56.5,8.6,7.6,.532,14.7,29.0,.309
Dayton,31,17,14,.548,9.36,4.27,7,9,13,4,2,8,2225,2067,66.4,107.3,.397,.286,.565,50.8,55.1,8.3,7.2,.530,18.6,35.2,.284
Delaware State,33,15,18,.455,-11.19,-5.90,8,8,8,3,5,12,1997,2094,62.3,95.4,.332,.359,.498,45.3,46.0,10.9,14.6,.462,18.4,33.0,.229
Delaware,33,19,14,.576,-0.78,-0.81,13,5,9,4,8,7,2276,2275,66.6,101.9,.420,.254,.518,49.8,41.1,8.0,11.0,.463,16.0,33.1,.316
Denver,32,22,10,.688,9.20,0.26,16,2,14,2,8,7,2076,1790,59.7,108.2,.312,.436,.587,42.2,69.8,15.0,13.3,.562,16.8,22.7,.225
DePaul,32,11,21,.344,1.71,5.61,2,16,7,10,4,8,2284,2409,71.4,98.8,.317,.266,.509,44.3,51.9,11.5,9.5,.474,16.9,31.7,.223
Detroit Mercy,33,20,13,.606,6.71,1.62,12,4,13,2,7,10,2568,2340,70.1,111.0,.357,.344,.551,47.3,53.0,11.8,9.4,.515,13.4,32.1,.260
Drake,32,15,17,.469,3.43,5.14,7,11,9,6,4,7,2296,2319,68.5,103.6,.376,.416,.562,45.8,55.9,8.3,6.1,.528,17.7,24.5,.270
Drexel,31,13,18,.419,-1.08,-0.98,9,9,5,8,7,7,1953,1956,61.4,100.6,.335,.327,.510,50.6,53.4,8.1,5.5,.467,16.1,33.3,.250
Duke,36,30,6,.833,21.43,9.54,14,4,16,0,5,4,2778,2350,68.2,113.1,.392,.333,.576,47.3,53.6,9.4,9.0,.539,13.7,28.8,.289
Duquesne,30,8,22,.267,-4.54,3.50,1,15,6,9,2,12,2028,2269,69.4,96.7,.317,.413,.505,45.9,53.6,7.4,9.0,.479,17.9,30.9,.204
East Carolina,35,23,12,.657,2.56,0.81,9,7,17,4,6,7,2679,2484,70.0,108.2,.385,.385,.555,46.8,65.4,11.3,10.0,.519,15.5,30.6,.275
East Tennessee State,32,10,22,.313,-13.15,-2.25,8,10,5,8,5,10,1994,2284,66.1,93.8,.316,.364,.495,43.3,45.6,9.6,7.1,.464,17.4,27.7,.211
Eastern Illinois,32,11,21,.344,-8.93,-5.09,6,10,5,9,4,11,1933,2055,60.7,99.1,.342,.346,.526,47.0,60.8,10.6,7.3,.497,18.3,30.4,.227
Eastern Kentucky,35,25,10,.714,1.66,-3.92,12,4,15,1,9,8,2586,2303,65.6,111.8,.338,.455,.585,43.1,58.8,13.4,6.7,.547,15.8,28.5,.264
Eastern Michigan,34,16,18,.471,-6.25,-1.25,7,9,13,5,2,12,1926,2011,61.0,92.5,.304,.286,.480,46.4,51.9,12.9,17.4,.448,19.1,35.0,.204
Eastern Washington,31,10,21,.323,-10.77,-5.48,7,13,7,7,2,13,2146,2310,68.4,99.6,.320,.428,.514,45.2,55.1,7.6,13.0,.488,16.6,29.4,.210
Elon,33,21,12,.636,-3.58,-5.19,13,5,12,3,8,8,2273,2144,66.7,102.1,.288,.398,.531,46.6,54.9,9.8,8.9,.501,15.2,26.5,.205
Evansville,36,21,15,.583,5.26,2.91,10,8,15,3,5,11,2490,2374,65.7,104.2,.317,.275,.526,47.2,63.8,8.9,8.4,.488,14.6,30.2,.235
Fairfield,35,19,16,.543,-0.55,-2.00,9,9,7,5,7,10,2122,2071,62.0,97.0,.289,.341,.506,48.1,57.1,11.3,10.3,.477,18.3,33.6,.198
Fairleigh Dickinson,31,7,24,.226,-18.00,-4.65,2,16,2,10,3,14,2034,2448,69.1,94.1,.352,.324,.520,41.2,55.8,8.3,7.9,.489,19.9,26.2,.236
Florida A&M,31,8,23,.258,-16.14,-6.21,5,11,6,4,1,17,2015,2235,70.2,91.2,.328,.303,.471,43.2,46.4,11.6,8.3,.442,18.5,32.1,.206
Florida Atlantic,32,14,18,.438,-5.88,-2.49,9,11,11,4,3,13,2092,2164,66.3,97.2,.356,.312,.516,48.0,44.0,7.8,12.4,.478,19.4,32.9,.250
Florida Gulf Coast,37,26,11,.703,2.76,-2.07,13,5,15,1,6,9,2696,2469,69.5,103.8,.348,.342,.548,48.3,53.6,12.7,10.5,.521,18.1,32.2,.235
Florida International,32,18,14,.563,-2.08,-2.11,11,9,10,3,6,10,2210,2209,69.6,99.3,.358,.375,.526,44.7,48.2,13.4,7.9,.489,18.7,31.3,.253
Florida State,34,18,16,.529,5.67,7.23,9,9,10,8,3,7,2278,2331,66.3,101.0,.404,.320,.544,45.6,49.4,9.3,13.5,.499,19.2,30.9,.297
Florida,37,29,8,.784,23.86,6.83,14,4,15,0,7,5,2642,2012,62.9,113.5,.310,.395,.573,51.4,56.3,11.4,9.4,.552,14.8,33.4,.210
Fordham,31,7,24,.226,-6.90,4.59,3,13,4,7,1,15,1997,2353,68.8,93.6,.327,.303,.484,49.4,52.5,7.2,11.1,.449,19.1,35.9,.220
Fresno State,30,11,19,.367,3.31,6.56,5,11,6,8,5,10,1798,1829,62.1,95.7,.379,.334,.487,44.5,45.1,11.5,10.1,.448,15.8,30.1,.253
Furman,31,7,24,.226,-17.46,-5.29,3,15,5,9,1,14,1869,2180,64.7,93.2,.359,.358,.505,45.1,52.8,8.2,9.6,.467,19.6,28.6,.248
Gardner-Webb,34,21,13,.618,-3.22,-5.93,11,5,12,3,6,9,2236,2066,64.3,100.5,.347,.312,.513,49.9,55.4,12.0,7.6,.474,17.4,35.9,.248
George Mason,38,22,16,.579,2.01,-0.17,10,8,10,7,8,6,2587,2504,65.8,102.4,.353,.278,.525,48.2,51.3,11.1,8.1,.485,17.3,35.0,.256
George Washington,30,13,17,.433,4.22,3.49,7,9,7,7,5,9,1988,1966,68.1,96.9,.404,.181,.502,51.4,55.1,11.4,12.4,.466,19.5,38.2,.265
Georgetown,32,25,7,.781,15.84,7.59,14,4,16,1,6,3,2070,1806,62.4,102.0,.368,.329,.541,48.4,64.3,11.8,11.3,.511,17.6,30.4,.250
Georgia Southern,33,14,19,.424,-9.67,-5.02,7,11,7,6,5,11,2050,2148,63.1,97.4,.357,.315,.509,46.3,44.1,10.8,6.4,.473,17.8,31.2,.246
Georgia State,31,15,16,.484,-2.04,-2.40,10,8,9,7,6,9,2114,2075,64.1,105.1,.348,.363,.538,46.2,49.0,11.9,13.1,.504,15.4,29.5,.247
Georgia Tech,31,16,15,.516,6.60,4.67,6,12,11,6,3,7,1993,1933,66.3,96.7,.280,.304,.491,50.1,52.5,8.8,11.2,.468,16.4,32.6,.178
