School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Coastal Carolina,34,17,17,.500,-3.87,-1.59,10,8,12,6,3,10,2465,2472,,70.3,102.4,.291,.413,.519,52.0,46.9,7.8,8.4,.495,15.8,30.9,.190,-2.77,102.5,105.3,67.5,+.025,+0.11,104.8,104.7,+1.81
Colgate,32,10,22,.313,-8.37,-3.50,8,10,4,8,6,12,2145,2273,,66.4,99.0,.335,.432,.547,49.7,55.6,7.6,7.7,.520,19.3,24.9,.227,-9.13,98.5,107.7,64.6,-.013,-2.81,102.5,105.3,-0.54
College of Charleston,35,25,10,.714,4.11,-0.07,14,4,12,2,10,5,2416,2260,,65.6,104.8,.429,.360,.539,49.1,44.2,8.4,9.8,.491,14.0,25.6,.316,+7.51,105.9,98.4,63.8,+.064,-0.09,105.7,105.8,+0.48
Colorado,34,19,15,.559,9.15,6.03,8,10,13,4,4,9,2568,2455,,69.0,108.7,.386,.360,.544,52.1,53.4,7.3,11.9,.508,14.8,32.7,.272,+10.21,112.0,101.8,67.3,-.040,+5.02,107.6,102.5,-0.62
Colorado State,35,24,11,.686,6.69,2.17,13,5,15,4,7,5,2548,2366,,68.0,107.1,.392,.364,.534,51.8,45.6,9.0,9.9,.489,13.6,31.4,.288,+8.48,108.3,99.9,65.7,+.014,+1.33,104.5,103.2,-1.06
Columbia,27,11,16,.407,-5.59,-3.05,5,9,7,6,4,10,1940,1964,,69.5,102.5,.290,.364,.532,48.4,59.7,10.0,9.3,.502,15.9,27.9,.205,-6.20,101.0,107.2,68.4,-.022,-3.03,102.8,105.8,-3.66
Connecticut,33,16,17,.485,7.25,6.62,9,9,8,6,4,8,2220,2189,,65.4,102.1,.342,.347,.528,50.9,55.5,6.7,15.3,.492,16.0,29.9,.244,+6.73,105.3,98.6,64.5,-.047,+6.13,107.4,101.3,+5.52
Coppin State,32,8,24,.250,-21.42,-7.92,7,9,5,6,3,16,2119,2521,,70.6,93.1,.404,.384,.482,46.3,47.5,8.0,6.4,.443,16.7,28.4,.262,-21.74,93.7,115.4,68.3,+.002,-6.82,100.7,107.5,+7.95
Cornell,29,8,21,.276,-8.36,-1.51,4,10,3,8,4,12,2074,2238,,71.3,99.8,.294,.437,.553,48.7,55.9,7.2,6.7,.527,18.3,22.5,.205,-8.67,99.7,108.4,69.2,-.032,-0.20,105.3,105.5,+1.94
Creighton,35,25,10,.714,17.44,9.12,10,8,13,4,7,4,2864,2549,,72.9,112.3,.277,.358,.592,49.3,55.5,8.4,7.6,.576,15.2,24.7,.189,+19.59,115.6,96.0,70.5,+.009,+8.98,110.2,101.2,-1.30
