School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Arkansas,34,19,15,.559,12.37,7.76,7,9,2529,2372,101.0,.287,.384,.513,45.8,49.2,15.1,9.2,.497,16.7,33.8,.173
Army,28,5,23,.179,-19.89,-6.43,2,10,1482,1796,78.3,.304,.291,.439,45.5,49.6,11.7,5.6,.408,23.4,29.4,.188
Auburn,34,24,10,.706,13.59,8.20,9,7,2423,2190,102.9,.323,.328,.496,52.6,50.1,10.5,8.8,.466,15.6,40.0,.212
Austin Peay,28,18,10,.643,0.95,-3.29,11,7,2110,1949,109.8,.304,.271,.570,52.7,53.5,9.1,10.0,.542,17.6,36.6,.220
Ball State,31,22,9,.710,7.84,3.17,11,7,2300,2138,105.1,.370,.292,.532,48.9,51.3,11.8,10.4,.512,16.3,34.6,.227
Baylor,29,14,15,.483,2.20,4.59,4,12,1933,1966,94.6,.339,.394,.513,49.4,62.5,12.6,11.2,.487,20.8,31.8,.218
Belmont,28,7,21,.250,-10.98,-1.39,1923,2107,100.2,.354,.510,.541,47.8,65.1,8.0,4.2,.506,19.4,29.8,.252
Bethune-Cookman,29,14,15,.483,-8.85,-9.63,12,6,2186,2178,98.4,.386,.285,.520,48.3,51.4,10.9,5.0,.487,19.1,33.7,.258
Boise State,27,12,15,.444,0.54,0.51,6,10,1680,1679,94.4,.407,.273,.522,49.5,48.7,11.9,6.0,.491,22.8,34.9,.265
Boston College,30,11,19,.367,4.21,5.07,3,13,2049,2075,96.0,.345,.309,.497,49.0,48.0,13.1,8.6,.456,19.3,36.4,.245
Boston University,29,7,22,.241,-14.27,-6.51,5,13,1758,1987,92.2,.317,.326,.501,48.6,57.1,9.7,6.7,.468,20.4,30.2,.218
Bowling Green State,30,22,8,.733,3.34,0.79,14,4,2251,2115,107.0,.469,.255,.583,49.8,60.0,9.5,4.8,.539,18.4,27.9,.349
Bradley,30,14,16,.467,5.25,3.88,10,8,1968,1927,97.0,.381,.216,.499,51.3,55.5,12.8,8.2,.464,18.7,36.1,.250
Brigham Young,33,22,11,.667,9.54,3.54,7,7,2328,2107,103.2,.454,.299,.555,49.0,60.1,10.5,5.7,.517,17.8,28.5,.317
Brown,27,8,19,.296,-15.14,-8.95,4,10,1837,2004,95.2,.400,.316,.502,48.2,60.9,10.1,5.5,.460,18.9,31.9,.275
Bucknell,28,17,11,.607,-5.50,-6.76,8,4,1790,1719,95.0,.409,.244,.528,51.3,60.7,10.1,12.8,.486,22.4,33.4,.290
Buffalo,28,5,23,.179,-14.00,1.46,3,15,1878,2311,88.6,.410,.337,.487,45.6,56.0,9.3,9.2,.447,21.3,29.9,.270
