School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Northern Iowa,33,30,3,.909,12.40,1.34,16,2,18,0,12,3,2157,1792,0,735,1523,.483,242,609,.397,445,613,.726,239,1017,394,196,82,346,474,57.5,112.0,.402,.400,.594,52.0,53.6,10.2,9.0,.562,16.2,26.8,.292,.9080,113.8,93.3,58.5,+.010,.5136,102.0,101.6,.5163
Northern Kentucky,30,13,17,.433,-6.55,-4.20,7,7,9,6,4,11,2117,2079,0,779,1693,.460,226,648,.349,333,507,.657,299,1014,379,173,85,348,612,65.1,107.5,.299,.383,.547,50.1,48.7,8.8,8.1,.527,15.4,29.6,.197,.3458,102.9,108.7,63.9,-.059,.3958,102.4,106.2,.5750
Northwestern,32,15,17,.469,6.38,7.47,6,12,11,7,4,10,2031,2066,0,727,1669,.436,228,635,.359,349,477,.732,277,1052,460,118,126,357,573,60.5,103.0,.286,.380,.536,49.5,63.3,6.0,12.2,.504,16.0,27.6,.209,.5907,105.7,102.4,60.4,+.009,.6524,106.3,100.7,.3805
Northwestern State,31,19,12,.613,-4.44,-4.36,13,5,11,4,8,8,2608,2552,0,918,1986,.462,251,708,.355,521,697,.747,364,1074,492,240,141,382,587,75.2,111.9,.351,.356,.563,46.3,53.6,10.3,11.0,.525,14.3,31.3,.262,.4006,111.4,115.3,72.9,+.054,.4190,100.9,103.8,.7746
Notre Dame,34,29,5,.853,19.35,6.18,14,4,18,3,11,2,2680,2232,0,945,1853,.510,281,716,.392,509,688,.740,283,1114,514,234,121,319,483,64.1,121.3,.371,.386,.615,50.1,54.4,10.6,10.6,.586,12.9,28.1,.275,.9109,122.1,99.7,64.1,+.064,.5998,104.3,100.7,.2410
Oakland,33,16,17,.485,-1.09,1.46,11,5,12,4,4,13,2450,2482,0,857,1854,.462,259,716,.362,477,695,.686,340,1109,517,196,55,416,572,66.7,108.8,.375,.386,.561,50.1,60.3,8.7,4.8,.532,16.2,30.4,.257,.4862,108.8,109.3,67.4,+.019,.5677,103.8,101.4,.7184
Ohio,30,10,20,.333,-3.70,0.90,5,13,8,7,2,13,2028,2166,0,727,1678,.433,217,637,.341,357,486,.735,268,1023,341,154,128,382,512,67.2,100.1,.290,.380,.531,48.3,46.9,7.6,12.3,.498,16.8,25.9,.213,.3686,101.9,106.8,66.9,-.040,.5202,102.9,102.2,.3704
Ohio State,33,23,10,.697,20.34,6.92,11,7,18,2,5,8,2502,2059,0,916,1886,.486,225,605,.372,445,656,.678,372,1183,509,257,168,373,529,66.2,114.1,.348,.321,.569,52.1,55.6,11.7,13.1,.545,14.6,34.1,.236,.8651,111.5,94.9,66.4,-.051,.6159,105.1,100.8,.3415
Oklahoma,32,22,10,.688,19.92,10.74,12,6,16,3,6,7,2302,2008,0,818,1874,.436,216,629,.343,450,612,.735,351,1219,400,221,161,388,525,68.1,104.8,.327,.336,.532,50.7,48.9,10.1,12.9,.494,15.3,30.9,.240,.9150,109.3,88.9,67.7,-.046,.7434,107.9,98.3,.5440
Oklahoma State,31,18,13,.581,14.00,10.37,8,10,14,4,4,9,2087,1932,0,706,1607,.439,216,618,.350,459,632,.726,278,1008,355,245,156,380,597,64.5,103.6,.393,.385,.547,48.5,50.3,12.2,15.8,.507,16.8,27.8,.286,.8142,109.4,96.2,63.3,-.034,.7384,105.7,96.6,.4666
