Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Duke,Robert Morris,85,56,1,33,29,4,.879,24.08,9.05,15,3,19,2,10,2,2660,2164,0,944,1880,.502,250,648,.386,522,755,.691,401,1232,512,237,124,371,528,66.6,120.1,.402,.345,.594,54.5,54.2,10.7,10.1,.569,14.4,37.4,.278,.9385,121.9,96.2,66.2,+.067,.7036,107.0,99.3,.5494,33,19,14,.576,-2.97,-4.24,12,6,10,6,9,8,2277,2235,0,802,1798,.446,211,555,.380,462,647,.714,344,1103,404,282,97,454,612,66.7,102.7,.360,.309,.541,48.3,50.4,12.7,7.8,.505,17.9,31.3,.257,.4623,101.0,102.4,65.6,+.037,.3852,100.6,104.8,.5768
San Diego State,St. John's (NY),76,64,1,34,26,8,.765,11.98,3.73,14,4,16,2,10,6,2101,1807,0,756,1805,.419,178,556,.320,411,653,.629,413,1197,360,236,171,386,486,60.6,100.9,.362,.308,.497,52.4,47.6,11.3,13.7,.468,15.6,35.6,.228,.8457,102.4,88.3,60.7,+.014,.5740,103.5,100.9,.5962,32,21,11,.656,12.49,9.20,10,8,16,3,5,8,2279,2164,0,808,1831,.441,195,552,.353,468,676,.692,329,1132,402,239,208,342,566,67.6,104.9,.369,.301,.529,47.5,49.8,11.0,16.3,.495,13.8,28.6,.256,.8015,108.1,95.7,67.1,+.058,.6796,106.4,99.7,.4607
Utah,Stephen F. Austin,57,50,1,32,24,8,.750,21.29,6.80,13,5,16,1,8,7,2307,1822,0,788,1624,.485,247,611,.404,484,692,.699,296,1117,458,190,161,366,534,62.8,114.4,.426,.376,.591,54.0,58.1,9.4,15.9,.561,16.0,31.6,.298,.9278,113.1,90.6,61.2,-.056,.6594,105.5,99.6,.5184,33,29,4,.879,8.66,-4.81,17,1,15,1,14,3,2622,2131,0,894,1819,.491,257,666,.386,577,786,.734,402,1147,587,252,119,464,716,68.2,116.0,.432,.366,.598,54.2,65.7,11.2,10.3,.562,17.7,38.0,.317,.8143,112.9,99.3,66.8,+.030,.3925,101.0,105.0,.5592
Georgetown,Eastern Washington,84,74,1,31,21,10,.677,16.06,10.00,12,6,14,5,7,5,2192,2004,0,750,1650,.455,181,521,.347,511,728,.702,347,1089,408,240,152,392,626,64.7,107.6,.441,.316,.549,52.1,54.4,11.8,13.5,.509,16.6,34.3,.310,.8670,110.3,93.7,64.4,-.002,.7229,107.6,99.0,.5907,34,26,8,.765,0.57,-4.53,14,4,15,2,11,6,2746,2504,0,951,1981,.480,335,832,.403,509,704,.723,341,1155,448,216,165,367,603,68.3,117.4,.355,.420,.593,50.1,47.1,9.2,14.4,.565,13.8,30.0,.257,.5578,109.9,107.7,68.8,+.074,.4011,102.3,106.0,.5948
Southern Methodist,UCLA,59,60,0,33,27,6,.818,13.23,3.54,15,3,17,2,10,4,2291,1972,0,812,1695,.479,138,384,.359,529,750,.705,378,1211,512,226,142,417,537,63.2,109.4,.442,.227,.558,55.2,63.1,10.8,10.8,.520,17.1,37.4,.312,.8723,112.3,95.0,63.8,+.014,.5743,103.2,100.6,.5572,33,20,13,.606,12.23,8.26,11,7,16,1,4,12,2376,2245,0,849,1927,.441,205,564,.363,473,700,.676,406,1253,459,225,123,392,590,67.5,105.9,.363,.293,.526,52.7,54.1,10.0,9.0,.494,14.9,33.9,.245,.8065,110.2,97.4,66.1,+.026,.6887,105.2,98.2,.5849
Alabama-Birmingham,Iowa State,60,59,1,34,19,15,.559,1.82,1.00,12,6,16,7,3,8,2341,2301,0,820,1907,.430,187,563,.332,514,694,.741,403,1244,490,225,176,461,599,65.8,101.7,.364,.295,.523,51.1,59.8,9.8,13.1,.479,17.2,34.1,.270,.5951,103.7,100.3,64.9,+.011,.4990,101.5,101.5,.5953,33,25,8,.758,19.19,10.10,12,6,18,3,7,5,2586,2286,0,916,1908,.480,257,703,.366,497,714,.696,314,1184,534,209,124,364,512,69.8,112.2,.374,.368,.575,50.9,58.3,9.1,10.3,.547,14.1,28.5,.260,.9049,118.9,97.7,69.6,+.023,.7322,106.4,97.5,.4618
Davidson,Iowa,52,83,0,31,24,7,.774,13.16,3.06,14,4,15,3,9,4,2477,2138,0,877,1861,.471,337,849,.397,386,543,.711,325,1114,534,170,89,297,586,67.3,118.2,.292,.456,.584,50.6,60.9,8.1,8.8,.562,12.4,30.3,.207,.8342,118.7,103.1,67.0,+.037,.5752,103.0,100.3,.4528,32,21,11,.656,15.75,8.22,12,6,14,7,7,4,2221,1980,0,758,1776,.427,181,545,.332,524,703,.745,401,1206,460,211,150,361,508,64.4,107.0,.396,.307,.526,52.9,60.7,10.2,12.2,.478,14.8,35.8,.295,.8564,111.0,95.0,64.3,-.003,.6633,105.4,99.4,.4760
North Dakota State,Gonzaga,76,86,0,32,23,9,.719,-2.18,-4.48,12,4,16,0,7,9,2065,1971,0,714,1659,.430,220,579,.380,417,602,.693,271,1074,310,153,120,312,482,61.6,103.5,.363,.349,.531,51.6,43.4,7.7,11.1,.497,14.0,26.0,.251,.5254,101.0,100.1,61.2,+.117,.3855,100.6,104.8,.4008,34,32,2,.941,21.85,4.73,17,1,19,1,13,1,2690,2071,0,973,1856,.524,242,593,.408,502,725,.692,347,1287,561,211,114,359,580,65.1,121.1,.391,.320,.611,55.3,57.7,9.5,9.0,.589,14.2,34.2,.270,.9431,119.4,93.5,65.0,+.013,.5909,104.6,101.3,.6049
San Diego State,Duke,49,68,0,34,26,8,.765,11.98,3.73,14,4,16,2,10,6,2101,1807,0,756,1805,.419,178,556,.320,411,653,.629,413,1197,360,236,171,386,486,60.6,100.9,.362,.308,.497,52.4,47.6,11.3,13.7,.468,15.6,35.6,.228,.8457,102.4,88.3,60.7,+.014,.5740,103.5,100.9,.5962,33,29,4,.879,24.08,9.05,15,3,19,2,10,2,2660,2164,0,944,1880,.502,250,648,.386,522,755,.691,401,1232,512,237,124,371,528,66.6,120.1,.402,.345,.594,54.5,54.2,10.7,10.1,.569,14.4,37.4,.278,.9385,121.9,96.2,66.2,+.067,.7036,107.0,99.3,.5494
Utah,Georgetown,75,64,1,32,24,8,.750,21.29,6.80,13,5,16,1,8,7,2307,1822,0,788,1624,.485,247,611,.404,484,692,.699,296,1117,458,190,161,366,534,62.8,114.4,.426,.376,.591,54.0,58.1,9.4,15.9,.561,16.0,31.6,.298,.9278,113.1,90.6,61.2,-.056,.6594,105.5,99.6,.5184,31,21,10,.677,16.06,10.00,12,6,14,5,7,5,2192,2004,0,750,1650,.455,181,521,.347,511,728,.702,347,1089,408,240,152,392,626,64.7,107.6,.441,.316,.549,52.1,54.4,11.8,13.5,.509,16.6,34.3,.310,.8670,110.3,93.7,64.4,-.002,.7229,107.6,99.0,.5907
