School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Pittsburgh,33,14,19,.424,8.55,7.37,3,15,11,7,0,11,2306,2267,1330,769,1841,.418,225,680,.331,543,779,.697,383,1209,387,227,126,448,610,68.6,101.1,.423,.369,.521,49.9,50.3,10.0,11.1,.479,16.8,32.1,.295,+7.06,105.2,98.1,66.8,-.094,+7.79,107.9,100.1,-8.78
Portland,32,7,25,.219,-10.52,0.78,0,16,6,11,1,12,2078,2389,1290,707,1708,.414,216,664,.325,448,668,.671,233,1032,369,175,123,425,588,68.4,94.2,.391,.389,.513,46.3,52.2,7.9,11.1,.477,17.3,21.1,.262,-15.65,94.3,109.9,66.6,-.011,+0.14,103.5,103.4,-7.51
Portland State,32,16,16,.500,-8.93,-5.76,11,9,12,4,3,10,2475,2404,1290,856,2017,.424,238,769,.309,525,748,.702,491,1282,434,264,129,449,681,72.2,106.3,.371,.381,.522,54.7,50.7,11.3,11.4,.483,15.9,38.8,.260,-10.39,101.5,111.9,68.9,+.046,-7.35,101.2,108.6,-1.56
Prairie View,34,22,12,.647,-7.17,-9.29,17,1,11,0,9,12,2551,2465,1360,875,1997,.438,210,674,.312,591,868,.681,384,1126,427,300,54,433,739,72.6,103.4,.435,.338,.529,46.9,48.8,12.2,4.6,.491,15.2,30.0,.296,-4.66,101.7,106.3,70.9,+.061,-8.16,98.4,106.5,+6.54
Presbyterian,33,18,15,.545,-3.32,-5.45,9,7,12,3,6,11,2601,2389,1325,888,1971,.451,361,945,.382,464,637,.728,307,1146,518,193,67,326,566,69.5,112.9,.323,.479,.572,49.7,58.3,8.4,6.2,.542,12.5,26.1,.235,-1.97,109.1,111.1,67.6,-.065,-4.74,102.4,107.1,-0.84
Princeton,28,16,12,.571,-3.17,-0.63,8,6,7,5,8,6,1948,1951,1135,685,1666,.411,207,679,.305,371,502,.739,272,1016,295,168,70,354,459,69.8,98.4,.301,.408,.511,50.3,43.1,8.5,6.7,.473,15.7,26.3,.223,-0.97,98.7,99.7,67.4,+.101,+0.53,104.3,103.7,-0.81
Providence,33,18,15,.545,9.11,7.11,7,11,11,6,5,6,2356,2290,1345,811,1911,.424,222,667,.333,512,741,.691,386,1206,475,242,129,436,580,68.7,101.9,.388,.349,.521,51.1,58.6,10.5,11.0,.482,16.2,31.6,.268,+9.96,105.0,95.0,67.6,-.014,+7.03,108.9,101.8,-2.41
Purdue,32,23,9,.719,21.33,11.96,16,4,15,0,6,6,2438,2138,1290,857,1920,.446,311,854,.364,413,564,.732,391,1180,462,208,129,341,558,66.3,113.9,.294,.445,.557,53.8,53.9,9.7,13.0,.527,13.5,34.9,.215,+26.02,121.1,95.1,65.6,-.012,+13.01,109.8,96.7,+4.33
Quinnipiac,31,16,15,.516,-6.62,-7.87,11,7,7,7,9,5,2294,2255,1270,739,1730,.427,348,923,.377,468,646,.724,311,1111,393,159,62,415,524,67.6,106.9,.373,.534,.563,50.8,53.2,7.4,5.2,.528,16.9,29.2,.271,-6.19,105.2,111.4,66.7,-.026,-8.98,98.9,107.9,-7.60
Radford,33,22,11,.667,1.27,-1.96,12,4,11,3,9,7,2440,2247,1330,893,1937,.461,285,750,.380,369,515,.717,335,1169,467,196,101,358,528,66.4,110.5,.266,.387,.559,52.7,52.3,8.9,10.1,.535,14.1,29.9,.191,+4.42,108.7,104.3,64.3,-.007,-1.03,104.2,105.3,+7.58
Rhode Island,33,18,15,.545,3.16,1.53,9,9,9,5,5,7,2293,2239,1335,821,1914,.429,172,615,.280,479,704,.680,375,1194,401,235,129,405,586,68.2,100.8,.368,.321,.510,51.2,48.8,10.3,11.4,.474,15.3,31.2,.250,+2.69,103.8,101.1,67.4,+.018,+1.02,103.0,102.0,-1.77
Rice,32,13,19,.406,-6.35,-1.85,8,10,9,7,4,11,2367,2481,1305,795,1861,.427,277,793,.349,500,729,.686,316,1221,424,171,103,438,568,71.7,101.2,.392,.426,.536,51.3,53.3,7.3,8.5,.502,16.6,26.5,.269,-7.49,102.9,110.4,69.9,+.000,-1.90,101.3,103.2,+0.60
Richmond,33,13,20,.394,-1.12,-0.55,6,12,7,10,4,7,2314,2333,1320,849,1800,.472,251,723,.347,365,552,.661,196,957,519,249,101,336,488,66.6,105.3,.307,.402,.561,44.9,61.1,11.3,8.8,.541,14.0,18.7,.203,-3.22,106.8,110.0,65.8,-.088,-2.65,101.2,103.8,-7.87
Rider,31,16,15,.516,-4.87,-6.42,11,7,9,3,6,10,2381,2333,1245,847,1892,.448,222,651,.341,465,755,.616,363,1144,450,282,101,415,591,74.1,103.2,.399,.344,.529,50.4,53.1,12.2,10.1,.506,15.6,30.3,.246,-4.51,101.3,105.8,73.7,-.032,-6.88,100.4,107.3,-0.03
Robert Morris,33,17,16,.515,-9.57,-7.60,11,7,12,3,5,13,2280,2237,1335,799,1846,.433,257,725,.354,425,609,.698,346,1102,454,238,85,489,658,68.1,100.3,.330,.393,.534,50.3,56.8,10.5,7.9,.502,18.6,30.2,.230,-8.62,94.9,103.5,65.9,+.035,-7.72,101.1,108.8,-1.10
Rutgers,31,14,17,.452,9.47,10.34,7,13,10,7,4,9,2105,2132,1250,771,1842,.419,191,612,.312,372,584,.637,391,1210,390,201,124,408,566,68.1,99.0,.317,.332,.497,52.8,50.6,9.4,11.3,.470,16.1,33.4,.202,+9.30,105.5,96.2,67.5,-.020,+11.10,109.5,98.4,-4.42
SIU Edwardsville,31,10,21,.323,-14.43,-5.01,6,12,7,8,2,11,2265,2520,1280,794,1898,.418,201,665,.302,476,677,.703,351,1079,382,198,70,438,612,71.9,98.4,.357,.350,.510,48.2,48.1,8.6,6.1,.471,16.5,28.7,.251,-16.49,96.5,113.0,69.5,+.033,-5.02,102.4,107.4,-5.26
Sacramento State,31,15,16,.484,-8.74,-6.74,8,12,9,5,4,10,2197,2155,1250,806,1800,.448,175,527,.332,410,592,.693,308,1051,431,239,104,404,566,69.4,101.2,.329,.293,.528,50.0,53.5,11.0,10.0,.496,16.3,28.2,.228,-9.56,96.2,105.8,67.9,-.011,-7.53,101.6,109.1,-2.12
Sacred Heart,32,15,17,.469,-7.62,-7.85,11,7,10,3,4,13,2558,2509,1285,885,1926,.460,243,681,.357,545,722,.755,354,1230,471,170,132,465,572,74.0,107.6,.375,.354,.564,53.0,53.2,7.2,10.7,.523,17.0,31.3,.283,-6.57,104.1,110.7,71.8,-.062,-7.58,100.4,107.9,-1.16
Saint Francis (PA),32,18,14,.563,-8.62,-6.58,12,6,12,4,6,10,2445,2419,1280,861,1969,.437,245,700,.350,478,680,.703,418,1208,402,216,92,390,580,70.7,108.1,.345,.356,.533,52.2,46.7,9.5,8.0,.499,14.5,34.4,.243,-7.83,105.4,113.2,68.2,+.083,-6.86,101.0,107.9,+6.89
Saint Joseph's,33,14,19,.424,-0.12,1.97,6,12,10,5,2,11,2328,2397,1325,793,1943,.408,280,869,.322,462,615,.751,258,1140,397,186,110,305,497,68.8,102.2,.317,.447,.521,48.2,50.1,8.2,10.1,.480,12.0,21.5,.238,-1.72,105.2,106.9,68.4,-.012,+0.91,103.1,102.2,+0.72
Saint Louis,35,23,12,.657,5.37,2.06,10,8,15,2,4,8,2347,2231,1400,836,1999,.418,201,652,.308,474,793,.598,480,1392,454,248,142,446,611,67.1,100.0,.397,.326,.494,54.5,54.3,10.6,12.1,.468,15.8,35.8,.237,+6.28,102.6,96.3,66.0,+.045,+0.37,104.0,103.6,-1.06
Saint Mary's (CA),33,22,11,.667,12.99,4.44,11,5,14,3,5,5,2406,2124,1325,876,1850,.474,245,648,.378,409,549,.745,324,1147,332,198,84,347,561,64.5,112.6,.297,.350,.570,54.4,37.9,9.3,6.9,.540,14.1,31.2,.221,+17.70,114.7,97.0,62.6,-.033,+3.62,106.4,102.8,-0.39
Saint Peter's,32,10,22,.313,-12.00,-6.25,6,12,7,7,2,14,2012,2196,1305,707,1639,.431,184,567,.325,414,570,.726,293,1031,301,172,177,488,614,64.3,95.9,.348,.346,.527,50.9,42.6,8.2,17.7,.487,20.4,29.2,.253,-13.63,94.4,108.0,63.0,-.013,-7.23,100.7,107.9,-2.22
Sam Houston State,32,21,11,.656,-2.93,-6.13,16,2,12,2,8,8,2407,2225,1305,858,1946,.441,302,819,.369,389,514,.757,359,1158,531,236,91,399,634,68.5,107.6,.264,.421,.550,51.5,61.9,10.6,8.9,.518,15.4,31.1,.200,-0.91,105.9,106.8,66.0,+.026,-5.80,100.7,106.5,+3.86
Samford,33,17,16,.515,0.95,-1.77,6,12,11,6,5,9,2583,2487,1355,921,1951,.472,254,687,.370,487,666,.731,316,1225,461,238,127,463,560,71.2,107.1,.341,.352,.570,50.3,50.1,9.9,10.9,.537,17.0,28.1,.250,+2.25,106.6,104.4,69.0,-.076,-1.63,104.6,106.2,-6.11
San Diego,35,21,14,.600,6.65,3.65,7,9,12,4,5,8,2531,2381,1420,892,1942,.459,274,784,.349,473,634,.746,276,1201,503,197,109,444,650,67.9,105.0,.326,.404,.564,51.8,56.4,8.2,8.5,.530,16.5,24.3,.244,+7.88,106.0,98.1,66.8,-.004,+3.03,105.8,102.8,+0.10
San Diego State,34,21,13,.618,5.64,2.82,11,7,14,3,4,7,2437,2291,1360,845,1940,.436,261,721,.362,486,679,.716,346,1228,487,197,113,424,638,68.9,104.1,.350,.372,.539,51.2,57.6,8.4,10.1,.503,15.8,29.4,.251,+5.02,103.8,98.7,66.5,+.056,+1.65,105.3,103.6,-0.92
San Francisco,31,21,10,.677,8.83,1.40,9,7,13,3,6,5,2358,2101,1250,864,1852,.467,258,728,.354,372,568,.655,340,1137,439,188,104,321,543,67.3,112.1,.307,.393,.556,52.2,50.8,8.9,8.8,.536,13.1,30.8,.201,+9.95,111.7,101.8,66.4,-.022,-0.23,104.0,104.3,-6.49
San Jose State,31,4,27,.129,-16.06,0.90,1,17,4,11,0,12,2042,2534,1250,713,1765,.404,210,641,.328,406,620,.655,323,1127,423,131,52,484,539,71.3,91.7,.351,.363,.496,49.6,59.3,5.9,5.1,.463,19.0,27.9,.230,-21.86,91.8,113.6,69.1,-.021,-0.98,103.6,104.6,-4.80
Santa Clara,31,16,15,.516,-1.69,1.15,8,8,11,6,4,6,2115,2172,1255,735,1655,.444,239,663,.360,406,567,.716,242,1026,416,146,111,433,597,67.4,100.0,.343,.401,.550,49.3,56.6,6.9,9.5,.516,18.4,24.3,.245,-1.87,101.8,103.7,66.1,+.059,-0.48,104.2,104.7,-9.40
Savannah State,31,11,20,.355,-20.42,-8.95,8,8,6,5,4,14,2360,2694,1245,825,2080,.397,351,1199,.293,359,531,.676,383,1188,462,234,96,478,564,78.1,97.0,.255,.576,.506,46.2,56.0,9.6,7.9,.481,17.0,28.2,.173,-19.77,96.2,116.0,74.7,+.061,-10.11,97.4,107.5,+4.70
Seattle,32,18,14,.563,-1.00,-3.63,6,10,12,5,4,8,2352,2210,1290,827,1885,.439,232,624,.372,466,649,.718,321,1176,368,140,115,390,640,69.8,104.5,.344,.331,.536,52.1,44.5,6.2,9.3,.500,15.1,29.2,.247,-1.45,100.7,102.2,67.1,-.028,-4.62,102.2,106.8,-8.97
Seton Hall,33,20,13,.606,11.36,8.91,9,9,11,4,3,8,2440,2359,1335,863,1959,.441,231,714,.324,483,682,.708,351,1181,447,231,129,410,619,70.1,104.3,.348,.364,.534,49.9,51.8,9.9,11.2,.499,15.2,29.5,.247,+12.91,109.3,96.4,68.9,+.022,+9.42,109.3,99.9,+4.43
Siena,33,17,16,.515,-7.81,-6.38,11,7,7,7,8,7,2131,2178,1345,772,1779,.434,288,850,.339,299,440,.680,248,973,413,189,93,321,462,61.4,103.2,.247,.478,.536,46.8,53.5,9.2,8.3,.515,13.9,23.2,.168,-8.40,100.5,108.9,60.4,+.060,-7.17,100.3,107.5,-1.66
South Alabama,34,17,17,.500,-4.24,-2.49,8,10,13,6,3,10,2478,2465,1375,867,1884,.460,285,761,.375,459,669,.686,288,1094,471,201,141,456,649,68.9,104.6,.355,.404,.563,47.6,54.3,8.5,11.5,.536,17.2,25.6,.244,-4.50,103.0,107.5,66.2,+.012,-3.37,102.7,106.0,-7.90
South Carolina,32,16,16,.500,8.70,9.99,11,7,11,6,4,8,2327,2316,1285,806,1907,.423,242,662,.366,473,694,.682,383,1160,413,202,140,433,622,71.2,101.7,.364,.347,.520,49.9,51.2,8.8,12.7,.486,16.2,32.0,.248,+9.66,108.0,98.3,70.0,+.022,+10.91,109.4,98.5,+2.66
