Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Siena,Vanderbilt,83,62,1,34,23,11,.676,4.06,-1.62,13,5,13,4,8,6,2613,2420,1375,928,2058,.451,239,626,.382,518,752,.689,390,1148,489,320,119,385,526,,,.365,.304,.541,47.0,52.7,,5.9,.509,13.7,,.252,+7.99,108.6,100.7,67.6,+.036,-1.41,104.1,105.5,+3.69,34,26,8,.765,10.96,5.54,10,6,19,0,4,6,2721,2537,1395,928,1995,.465,303,760,.399,562,765,.735,359,1197,606,207,118,494,623,,,.383,.381,.577,49.5,65.3,,5.7,.541,17.3,,.282,+12.65,112.3,99.6,68.2,+.110,+5.20,107.4,102.2,-1.70
Southern California,Kansas State,67,80,0,33,21,12,.636,13.89,8.59,11,7,10,5,7,4,2277,2102,1335,820,1710,.480,184,476,.387,453,661,.685,305,1106,409,188,145,482,530,,,.387,.278,.563,50.0,49.9,,7.5,.533,19.2,,.265,+18.67,110.5,91.9,65.2,-.005,+11.18,109.7,98.5,+0.40,33,21,12,.636,15.79,7.79,10,6,14,2,3,5,2574,2274,1330,916,2067,.443,210,662,.317,532,774,.687,539,1362,511,249,113,501,666,,,.374,.320,.529,55.6,55.8,,6.0,.494,17.1,,.257,+18.90,114.2,95.3,69.7,-.049,+9.09,108.0,98.9,-2.73
Wisconsin,Cal State Fullerton,71,56,1,36,31,5,.861,19.59,6.73,16,2,16,2,10,2,2421,1958,1440,841,1872,.449,212,596,.356,527,747,.705,419,1292,455,221,120,438,517,,,.399,.318,.544,54.3,54.1,,6.4,.506,16.4,,.282,+26.68,113.5,86.8,61.1,+.043,+7.35,107.1,99.8,-0.19,33,24,9,.727,5.64,-3.06,12,4,11,3,9,5,2700,2398,1325,974,2060,.473,285,741,.385,467,665,.702,391,1182,505,296,51,445,629,,,.323,.360,.568,50.7,51.8,,2.7,.542,15.8,,.227,+8.47,112.3,103.9,71.6,-.010,-3.95,101.5,105.5,-3.01
Davidson,Gonzaga,82,76,1,36,29,7,.806,13.93,1.66,20,0,12,1,11,3,2803,2274,,1032,2199,.469,328,901,.364,411,573,.717,417,1302,615,290,114,426,654,,,.261,.410,.567,52.4,59.6,,6.1,.544,14.7,,.187,+23.61,117.0,93.4,66.2,-.036,+3.36,105.2,101.8,+14.93,33,25,8,.758,14.81,2.15,13,1,13,1,7,3,2524,2106,1340,892,1838,.485,220,586,.375,520,730,.712,369,1235,479,253,153,473,584,,,.397,.319,.578,53.7,53.7,,8.2,.545,17.8,,.283,+19.05,114.5,95.5,65.9,-.029,+2.57,104.0,101.5,+7.71
Georgetown,Maryland-Baltimore County,66,47,1,34,28,6,.824,18.73,7.23,15,3,16,0,8,4,2367,1976,1370,855,1744,.490,269,701,.384,388,593,.654,335,1190,527,236,163,458,600,,,.340,.402,.584,52.1,61.6,,8.9,.567,18.4,,.222,+25.56,115.2,89.7,60.5,+.029,+8.48,108.2,99.8,-2.72,33,24,9,.727,0.06,-4.53,13,3,13,1,9,7,2450,2258,1335,869,1928,.451,248,637,.389,464,640,.725,371,1126,500,209,114,318,537,,,.332,.330,.549,49.2,57.5,,6.0,.515,12.5,,.241,+3.86,113.2,109.3,63.7,+.057,-4.31,100.7,105.0,+2.68
Nevada-Las Vegas,Kansas,56,75,0,35,27,8,.771,10.23,4.02,12,4,20,2,6,5,2440,2181,,844,1999,.422,264,796,.332,488,653,.747,356,1209,510,278,106,379,605,,,.327,.398,.528,48.8,60.4,,5.6,.488,14.1,,.244,+13.71,110.2,96.5,63.9,+.081,+3.10,104.3,101.2,-0.86,40,37,3,.925,26.90,8.20,13,3,19,0,8,3,3221,2460,,1176,2314,.508,271,683,.397,598,852,.702,482,1547,721,356,235,529,706,,,.368,.295,.592,55.6,61.3,,10.4,.567,16.3,,.258,+35.21,120.9,85.7,66.8,+.012,+9.57,109.2,99.6,-1.41
Villanova,Siena,84,72,1,35,22,13,.629,11.00,7.69,9,9,13,3,4,7,2547,2431,1400,868,2013,.431,242,703,.344,569,783,.727,457,1257,466,283,98,503,727,,,.389,.349,.534,51.9,53.7,,5.4,.491,17.4,,.283,+14.21,109.2,95.0,68.1,+.037,+9.14,108.9,99.8,-2.40,34,23,11,.676,4.06,-1.62,13,5,13,4,8,6,2613,2420,1375,928,2058,.451,239,626,.382,518,752,.689,390,1148,489,320,119,385,526,,,.365,.304,.541,47.0,52.7,,5.9,.509,13.7,,.252,+7.99,108.6,100.7,67.6,+.036,-1.41,104.1,105.5,+3.69
Wisconsin,Kansas State,72,55,1,36,31,5,.861,19.59,6.73,16,2,16,2,10,2,2421,1958,1440,841,1872,.449,212,596,.356,527,747,.705,419,1292,455,221,120,438,517,,,.399,.318,.544,54.3,54.1,,6.4,.506,16.4,,.282,+26.68,113.5,86.8,61.1,+.043,+7.35,107.1,99.8,-0.19,33,21,12,.636,15.79,7.79,10,6,14,2,3,5,2574,2274,1330,916,2067,.443,210,662,.317,532,774,.687,539,1362,511,249,113,501,666,,,.374,.320,.529,55.6,55.8,,6.0,.494,17.1,,.257,+18.90,114.2,95.3,69.7,-.049,+9.09,108.0,98.9,-2.73
Davidson,Georgetown,74,70,1,36,29,7,.806,13.93,1.66,20,0,12,1,11,3,2803,2274,,1032,2199,.469,328,901,.364,411,573,.717,417,1302,615,290,114,426,654,,,.261,.410,.567,52.4,59.6,,6.1,.544,14.7,,.187,+23.61,117.0,93.4,66.2,-.036,+3.36,105.2,101.8,+14.93,34,28,6,.824,18.73,7.23,15,3,16,0,8,4,2367,1976,1370,855,1744,.490,269,701,.384,388,593,.654,335,1190,527,236,163,458,600,,,.340,.402,.584,52.1,61.6,,8.9,.567,18.4,,.222,+25.56,115.2,89.7,60.5,+.029,+8.48,108.2,99.8,-2.72
Villanova,Kansas,57,72,0,35,22,13,.629,11.00,7.69,9,9,13,3,4,7,2547,2431,1400,868,2013,.431,242,703,.344,569,783,.727,457,1257,466,283,98,503,727,,,.389,.349,.534,51.9,53.7,,5.4,.491,17.4,,.283,+14.21,109.2,95.0,68.1,+.037,+9.14,108.9,99.8,-2.40,40,37,3,.925,26.90,8.20,13,3,19,0,8,3,3221,2460,,1176,2314,.508,271,683,.397,598,852,.702,482,1547,721,356,235,529,706,,,.368,.295,.592,55.6,61.3,,10.4,.567,16.3,,.258,+35.21,120.9,85.7,66.8,+.012,+9.57,109.2,99.6,-1.41
