Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,W1,L1,W1,L1,W1,L1,Tm.1,Opp.1,1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,W2,L2,W2,L2,W2,L2,Tm.2,Opp.2,2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Northeastern,Notre Dame,65,69,0,35,23,12,.657,2.03,-1.34,12,6,9,3,8,7,2397,2279,,63.5,106.7,.413,.305,.581,54.2,59.7,8.1,9.3,.545,19.0,30.1,.300,+5.12,108.3,103.1,63.3,+.025,-1.29,104.5,105.7,+1.80,38,32,6,.842,19.23,7.02,14,4,17,2,7,2,2963,2499,,63.7,120.4,.367,.376,.612,49.8,54.9,10.4,9.1,.583,12.9,27.9,.272,+24.96,125.4,100.4,63.4,+.062,+7.59,107.7,100.1,-11.62
Indiana,Wichita State,76,81,0,34,20,14,.588,12.94,7.20,9,9,15,4,3,6,2633,2438,,66.9,115.3,.327,.395,.573,52.2,51.2,7.4,7.8,.544,14.6,35.2,.235,+13.83,119.8,106.0,66.6,-.044,+6.92,107.8,100.9,-5.96,35,30,5,.857,15.56,3.68,17,1,15,0,10,2,2460,2008,,61.9,112.7,.370,.347,.541,53.6,55.3,11.5,11.3,.507,12.6,34.9,.259,+22.21,115.8,93.6,62.3,+.022,+3.24,105.5,102.3,+3.44
New Mexico State,Kansas,56,75,0,34,23,11,.676,3.71,-3.67,13,1,15,2,6,8,2316,2033,,62.9,107.5,.441,.257,.548,54.9,50.2,10.2,9.2,.509,18.2,39.9,.306,+6.63,107.4,100.8,63.0,-.042,-5.37,101.1,106.5,+1.78,36,27,9,.750,18.47,12.13,13,5,15,0,5,5,2561,2333,,66.7,106.3,.426,.284,.539,52.6,54.7,9.8,12.3,.494,16.3,34.9,.309,+22.72,114.5,91.8,67.0,+.070,+13.17,110.6,97.4,+9.57
Kentucky,Cincinnati,64,51,1,39,38,1,.974,28.72,8.67,18,0,19,0,10,0,2900,2118,,63.8,115.5,.439,.271,.558,54.9,55.0,10.1,18.2,.515,13.6,39.5,.319,+36.91,121.3,84.4,62.4,+.048,+8.58,108.7,100.1,+3.13,34,23,11,.676,10.72,4.40,13,5,15,3,6,5,2113,1898,,59.6,102.8,.371,.297,.527,53.5,51.8,10.8,15.4,.495,17.7,37.3,.249,+14.15,108.2,94.0,59.8,-.016,+3.39,104.9,101.5,+1.69
Maryland,West Virginia,59,69,0,35,28,7,.800,13.32,7.63,14,4,18,1,6,4,2417,2218,,64.7,106.1,.445,.387,.562,51.1,48.1,7.4,11.9,.512,16.7,28.9,.336,+15.68,111.3,95.7,63.9,+.127,+7.15,108.3,101.1,-3.33,35,25,10,.714,15.12,9.29,11,7,12,3,5,5,2542,2338,,68.7,104.9,.404,.336,.499,52.1,56.7,15.5,8.7,.461,15.1,40.2,.267,+17.64,112.6,94.9,67.9,+.087,+9.56,108.9,99.3,-2.65
Butler,Notre Dame,64,67,0,34,23,11,.676,16.64,8.62,12,6,13,3,7,4,2346,2073,,64.2,105.9,.408,.287,.522,54.2,47.5,9.8,8.8,.484,14.3,34.7,.279,+20.09,110.2,90.1,63.2,-.023,+9.72,110.6,100.9,+0.69,38,32,6,.842,19.23,7.02,14,4,17,2,7,2,2963,2499,,63.7,120.4,.367,.376,.612,49.8,54.9,10.4,9.1,.583,12.9,27.9,.272,+24.96,125.4,100.4,63.4,+.062,+7.59,107.7,100.1,-11.62
Kansas,Wichita State,65,78,0,36,27,9,.750,18.47,12.13,13,5,15,0,5,5,2561,2333,,66.7,106.3,.426,.284,.539,52.6,54.7,9.8,12.3,.494,16.3,34.9,.309,+22.72,114.5,91.8,67.0,+.070,+13.17,110.6,97.4,+9.57,35,30,5,.857,15.56,3.68,17,1,15,0,10,2,2460,2008,,61.9,112.7,.370,.347,.541,53.6,55.3,11.5,11.3,.507,12.6,34.9,.259,+22.21,115.8,93.6,62.3,+.022,+3.24,105.5,102.3,+3.44
Kentucky,West Virginia,78,39,1,39,38,1,.974,28.72,8.67,18,0,19,0,10,0,2900,2118,,63.8,115.5,.439,.271,.558,54.9,55.0,10.1,18.2,.515,13.6,39.5,.319,+36.91,121.3,84.4,62.4,+.048,+8.58,108.7,100.1,+3.13,35,25,10,.714,15.12,9.29,11,7,12,3,5,5,2542,2338,,68.7,104.9,.404,.336,.499,52.1,56.7,15.5,8.7,.461,15.1,40.2,.267,+17.64,112.6,94.9,67.9,+.087,+9.56,108.9,99.3,-2.65
Wichita State,Notre Dame,70,81,0,35,30,5,.857,15.56,3.68,17,1,15,0,10,2,2460,2008,,61.9,112.7,.370,.347,.541,53.6,55.3,11.5,11.3,.507,12.6,34.9,.259,+22.21,115.8,93.6,62.3,+.022,+3.24,105.5,102.3,+3.44,38,32,6,.842,19.23,7.02,14,4,17,2,7,2,2963,2499,,63.7,120.4,.367,.376,.612,49.8,54.9,10.4,9.1,.583,12.9,27.9,.272,+24.96,125.4,100.4,63.4,+.062,+7.59,107.7,100.1,-11.62
Notre Dame,Kentucky,66,68,0,38,32,6,.842,19.23,7.02,14,4,17,2,7,2,2963,2499,,63.7,120.4,.367,.376,.612,49.8,54.9,10.4,9.1,.583,12.9,27.9,.272,+24.96,125.4,100.4,63.4,+.062,+7.59,107.7,100.1,-11.62,39,38,1,.974,28.72,8.67,18,0,19,0,10,0,2900,2118,,63.8,115.5,.439,.271,.558,54.9,55.0,10.1,18.2,.515,13.6,39.5,.319,+36.91,121.3,84.4,62.4,+.048,+8.58,108.7,100.1,+3.13
Duke,Robert Morris,85,56,1,39,35,4,.897,24.97,9.87,15,3,15,1,9,2,3091,2502,,65.9,119.4,.398,.334,.593,53.9,53.5,10.7,9.0,.566,13.9,35.8,.278,+32.48,124.5,92.0,65.8,+.067,+11.17,110.7,99.5,+1.31,35,20,15,.571,-3.02,-3.50,12,6,10,6,8,8,2414,2397,,66.7,102.6,.355,.306,.536,47.9,50.1,12.8,8.1,.501,17.2,31.0,.252,-1.39,103.1,104.5,65.4,+.055,-4.59,102.7,107.3,+2.49
San Diego State,St. John's (NY),76,64,1,36,27,9,.750,11.81,4.24,14,4,16,1,6,5,2226,1939,,60.8,100.7,.362,.308,.496,52.4,47.1,11.2,14.1,.467,15.4,35.4,.228,+15.95,104.9,89.0,60.4,+.026,+3.63,106.1,102.5,+3.50,33,21,12,.636,11.85,9.04,10,8,15,3,5,6,2343,2240,,67.6,104.6,.363,.301,.529,47.4,48.9,11.0,16.8,.494,13.7,28.4,.251,+13.70,110.7,97.0,66.7,+.050,+8.72,109.0,100.3,-1.50
Utah,Stephen F. Austin,57,50,1,35,26,9,.743,20.98,7.42,13,5,16,1,6,5,2496,1999,,62.6,113.5,.432,.372,.588,53.7,57.6,9.5,13.5,.557,16.1,31.6,.303,+27.24,116.4,89.2,60.5,-.054,+8.19,108.8,100.6,+0.60,34,29,5,.853,8.61,-4.20,17,1,15,1,10,3,2672,2188,,68.0,115.2,.427,.370,.594,54.2,65.4,11.2,10.0,.557,17.5,37.9,.314,+13.64,113.9,100.3,65.4,+.020,-5.56,102.2,107.7,+0.63
Georgetown,Eastern Washington,84,74,1,33,22,11,.667,15.48,9.81,12,6,13,3,5,4,2340,2153,,64.6,108.1,.439,.325,.552,52.2,53.4,11.6,14.1,.513,16.4,34.3,.309,+19.13,114.3,95.1,64.0,-.000,+10.23,110.5,100.3,+3.24,35,26,9,.743,0.79,-3.84,14,4,13,2,11,6,2820,2588,,68.3,117.1,.352,.421,.591,50.0,46.5,9.1,13.0,.562,13.6,29.9,.255,+3.25,112.9,109.6,68.2,+.067,-3.75,104.2,108.0,+3.94
Southern Methodist,UCLA,59,60,0,34,27,7,.794,12.94,3.57,15,3,16,2,8,4,2350,2032,,63.3,108.8,.440,.229,.555,55.0,63.0,11.0,14.7,.517,16.8,37.1,.309,+17.51,113.1,95.6,63.1,-.004,+2.52,105.3,102.8,+0.99,36,22,14,.611,12.07,8.27,11,7,16,1,2,8,2590,2453,,67.3,106.1,.357,.289,.527,52.6,53.5,9.8,11.0,.496,14.9,33.8,.242,+14.65,112.9,98.2,65.8,+.032,+8.40,107.9,99.5,+2.63
Alabama-Birmingham,Iowa State,60,59,1,36,20,16,.556,1.94,1.62,12,6,13,4,3,8,2476,2452,,65.9,101.5,.350,.297,.520,51.0,59.1,9.7,13.0,.477,16.8,34.2,.259,+3.06,104.9,101.9,64.7,+.025,+0.29,103.9,103.6,+3.40,34,25,9,.735,17.94,9.15,12,6,15,1,6,5,2645,2346,,69.8,111.4,.365,.368,.571,50.5,58.1,9.2,9.7,.543,13.9,28.3,.254,+21.49,119.0,97.5,69.6,+.005,+10.59,109.0,98.5,-1.18
Davidson,Iowa,52,83,0,32,24,8,.750,11.97,3.19,14,4,14,1,9,4,2529,2221,,67.2,117.1,.287,.456,.578,50.3,60.9,7.9,7.5,.556,12.2,30.0,.203,+15.00,119.7,104.7,66.7,+.056,+3.16,105.3,102.2,-3.78,34,22,12,.647,15.83,8.39,12,6,14,4,7,4,2372,2119,,64.5,107.4,.380,.302,.527,52.9,58.7,9.9,13.1,.481,14.4,35.6,.282,+19.02,114.2,95.1,63.7,-.007,+8.58,108.9,100.4,-1.58
North Dakota State,Gonzaga,76,86,0,33,23,10,.697,-1.72,-3.63,12,4,14,0,5,8,2141,2057,,61.9,103.7,.358,.350,.534,51.3,42.4,7.6,10.7,.501,14.0,25.6,.248,+1.41,103.8,102.4,60.8,+.105,-4.21,102.9,107.1,-5.50,38,35,3,.921,21.12,5.12,17,1,15,1,10,1,2989,2343,,65.2,120.3,.387,.317,.606,55.5,57.2,9.1,8.4,.584,13.9,34.1,.267,+27.78,121.7,93.9,64.7,+.018,+4.37,107.3,102.9,+3.00
San Diego State,Duke,49,68,0,36,27,9,.750,11.81,4.24,14,4,16,1,6,5,2226,1939,,60.8,100.7,.362,.308,.496,52.4,47.1,11.2,14.1,.467,15.4,35.4,.228,+15.95,104.9,89.0,60.4,+.026,+3.63,106.1,102.5,+3.50,39,35,4,.897,24.97,9.87,15,3,15,1,9,2,3091,2502,,65.9,119.4,.398,.334,.593,53.9,53.5,10.7,9.0,.566,13.9,35.8,.278,+32.48,124.5,92.0,65.8,+.067,+11.17,110.7,99.5,+1.31
Utah,Georgetown,75,64,1,35,26,9,.743,20.98,7.42,13,5,16,1,6,5,2496,1999,,62.6,113.5,.432,.372,.588,53.7,57.6,9.5,13.5,.557,16.1,31.6,.303,+27.24,116.4,89.2,60.5,-.054,+8.19,108.8,100.6,+0.60,33,22,11,.667,15.48,9.81,12,6,13,3,5,4,2340,2153,,64.6,108.1,.439,.325,.552,52.2,53.4,11.6,14.1,.513,16.4,34.3,.309,+19.13,114.3,95.1,64.0,-.000,+10.23,110.5,100.3,+3.24
Alabama-Birmingham,UCLA,75,92,0,36,20,16,.556,1.94,1.62,12,6,13,4,3,8,2476,2452,,65.9,101.5,.350,.297,.520,51.0,59.1,9.7,13.0,.477,16.8,34.2,.259,+3.06,104.9,101.9,64.7,+.025,+0.29,103.9,103.6,+3.40,36,22,14,.611,12.07,8.27,11,7,16,1,2,8,2590,2453,,67.3,106.1,.357,.289,.527,52.6,53.5,9.8,11.0,.496,14.9,33.8,.242,+14.65,112.9,98.2,65.8,+.032,+8.40,107.9,99.5,+2.63
Iowa,Gonzaga,68,87,0,34,22,12,.647,15.83,8.39,12,6,14,4,7,4,2372,2119,,64.5,107.4,.380,.302,.527,52.9,58.7,9.9,13.1,.481,14.4,35.6,.282,+19.02,114.2,95.1,63.7,-.007,+8.58,108.9,100.4,-1.58,38,35,3,.921,21.12,5.12,17,1,15,1,10,1,2989,2343,,65.2,120.3,.387,.317,.606,55.5,57.2,9.1,8.4,.584,13.9,34.1,.267,+27.78,121.7,93.9,64.7,+.018,+4.37,107.3,102.9,+3.00
Duke,Utah,63,57,1,39,35,4,.897,24.97,9.87,15,3,15,1,9,2,3091,2502,,65.9,119.4,.398,.334,.593,53.9,53.5,10.7,9.0,.566,13.9,35.8,.278,+32.48,124.5,92.0,65.8,+.067,+11.17,110.7,99.5,+1.31,35,26,9,.743,20.98,7.42,13,5,16,1,6,5,2496,1999,,62.6,113.5,.432,.372,.588,53.7,57.6,9.5,13.5,.557,16.1,31.6,.303,+27.24,116.4,89.2,60.5,-.054,+8.19,108.8,100.6,+0.60
Gonzaga,UCLA,74,62,1,38,35,3,.921,21.12,5.12,17,1,15,1,10,1,2989,2343,,65.2,120.3,.387,.317,.606,55.5,57.2,9.1,8.4,.584,13.9,34.1,.267,+27.78,121.7,93.9,64.7,+.018,+4.37,107.3,102.9,+3.00,36,22,14,.611,12.07,8.27,11,7,16,1,2,8,2590,2453,,67.3,106.1,.357,.289,.527,52.6,53.5,9.8,11.0,.496,14.9,33.8,.242,+14.65,112.9,98.2,65.8,+.032,+8.40,107.9,99.5,+2.63
Duke,Gonzaga,66,52,1,39,35,4,.897,24.97,9.87,15,3,15,1,9,2,3091,2502,,65.9,119.4,.398,.334,.593,53.9,53.5,10.7,9.0,.566,13.9,35.8,.278,+32.48,124.5,92.0,65.8,+.067,+11.17,110.7,99.5,+1.31,38,35,3,.921,21.12,5.12,17,1,15,1,10,1,2989,2343,,65.2,120.3,.387,.317,.606,55.5,57.2,9.1,8.4,.584,13.9,34.1,.267,+27.78,121.7,93.9,64.7,+.018,+4.37,107.3,102.9,+3.00
Villanova,Lafayette,93,52,1,36,33,3,.917,23.13,7.55,16,2,15,0,9,2,2754,2193,,65.0,116.9,.418,.429,.589,51.5,62.2,11.8,11.0,.553,14.0,32.5,.305,+30.65,122.7,92.0,64.2,+.031,+7.67,108.2,100.6,+0.23,33,20,13,.606,-3.37,-3.12,9,9,11,5,9,7,2426,2409,,64.8,112.9,.305,.356,.589,48.3,58.9,8.4,6.9,.557,15.1,28.4,.234,-2.14,112.9,115.1,64.6,+.097,-4.01,103.0,107.0,-0.45
North Carolina State,Louisiana State,66,65,1,36,22,14,.611,14.11,9.72,10,8,14,6,5,5,2525,2367,,64.5,108.0,.354,.322,.526,52.3,46.4,5.9,13.1,.493,13.5,34.0,.243,+15.93,114.9,98.9,64.1,-.003,+9.84,109.3,99.5,-0.65,33,22,11,.667,11.39,5.63,11,7,13,4,8,3,2423,2233,,69.6,103.1,.335,.284,.533,51.5,57.8,10.2,14.0,.503,17.3,33.9,.229,+13.76,108.9,95.1,69.3,-.043,+5.09,106.2,101.2,-4.77
Northern Iowa,Wyoming,71,54,1,35,31,4,.886,12.54,2.00,16,2,16,0,9,3,2281,1912,,57.4,111.9,.398,.399,.593,51.9,53.2,10.2,7.8,.559,15.9,27.0,.292,+20.98,116.3,95.3,58.2,+.018,+1.42,104.4,103.0,+0.61,35,25,10,.714,3.81,-0.04,11,7,17,2,5,7,2151,1974,,58.3,103.1,.394,.397,.560,49.9,67.1,9.2,8.9,.526,16.9,22.3,.277,+5.67,104.8,99.1,59.1,+.083,-1.04,103.0,104.1,-10.31
