Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,W1,L1,W1,L1,W1,L1,Tm.1,Opp.1,1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,W2,L2,W2,L2,W2,L2,Tm.2,Opp.2,2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Florida State,St. Bonaventure,66,63,1,35,25,10,.714,14.53,7.62,12,4,15,2,5,5,2443,2201,,67.3,102.3,.348,.318,.545,50.0,48.7,11.1,17.0,.512,19.7,35.0,.246,+17.14,107.6,90.4,66.6,+.034,+7.54,106.9,99.4,+0.82,32,20,12,.625,8.25,2.84,10,6,11,2,6,8,2254,2081,,65.0,107.0,.421,.299,.557,51.8,57.7,8.8,11.5,.508,17.8,35.5,.320,+11.78,110.6,98.9,63.0,-.024,+3.83,104.9,101.1,+0.10
Gonzaga,West Virginia,77,54,1,33,26,7,.788,13.86,3.25,13,3,15,1,6,4,2436,2086,,66.4,110.7,.461,.326,.574,52.0,55.3,10.1,8.5,.535,17.0,34.6,.330,+18.39,113.1,94.7,64.8,-.018,+2.08,104.9,102.8,+1.05,33,19,14,.576,12.13,7.53,9,9,11,5,4,6,2346,2194,,64.8,106.8,.386,.305,.518,52.1,56.9,9.6,6.7,.483,15.7,40.9,.259,+13.56,111.4,97.9,64.0,-.019,+8.32,107.3,99.0,+2.04
Loyola (MD),Ohio State,59,78,0,33,24,9,.727,0.37,-2.72,13,5,10,2,11,6,2222,2120,,65.3,103.1,.429,.273,.520,49.6,52.1,11.8,11.7,.472,17.2,38.1,.309,+3.91,103.9,100.0,63.6,+.114,-2.70,101.8,104.5,-0.69,39,31,8,.795,23.95,9.07,13,5,17,2,7,4,2913,2333,,66.9,111.6,.381,.269,.556,53.7,53.7,10.8,9.3,.521,14.6,34.9,.270,+30.07,118.1,88.1,66.9,-.050,+10.10,108.9,98.8,-3.34
Syracuse,Kansas State,75,59,1,37,34,3,.919,21.12,8.02,17,1,19,0,9,1,2742,2257,,65.2,113.3,.329,.310,.550,46.7,56.1,14.0,19.4,.521,13.5,36.3,.230,+26.04,117.7,91.7,64.4,+.060,+7.98,107.0,99.0,-2.11,33,22,11,.667,14.47,7.53,10,8,11,4,6,4,2343,2114,,67.0,104.8,.432,.295,.526,51.3,57.6,8.9,13.0,.489,17.5,40.7,.290,+17.52,109.8,92.3,66.5,-.024,+7.98,107.0,99.1,-3.29
Wisconsin,Vanderbilt,60,57,1,36,26,10,.722,19.04,8.24,12,6,14,4,7,4,2304,1915,,58.6,108.4,.307,.413,.536,49.8,53.7,8.5,9.1,.501,13.0,30.6,.227,+24.09,113.7,89.6,57.5,-.018,+8.80,107.6,98.8,-3.88,36,25,11,.694,15.71,8.04,10,6,13,5,6,5,2615,2339,,65.5,109.7,.401,.412,.572,48.6,51.8,9.0,10.4,.541,16.9,31.6,.280,+20.90,115.6,94.7,64.7,-.048,+8.48,107.7,99.2,+3.03
Florida State,Cincinnati,56,62,0,35,25,10,.714,14.53,7.62,12,4,15,2,5,5,2443,2201,,67.3,102.3,.348,.318,.545,50.0,48.7,11.1,17.0,.512,19.7,35.0,.246,+17.14,107.6,90.4,66.6,+.034,+7.54,106.9,99.4,+0.82,37,26,11,.703,12.93,6.28,12,6,14,4,7,5,2522,2276,,64.1,104.9,.293,.348,.505,48.1,51.8,12.4,12.0,.480,13.9,35.7,.189,+16.03,109.5,93.5,62.9,+.023,+6.90,105.7,98.8,-9.17
Gonzaga,Ohio State,66,73,0,33,26,7,.788,13.86,3.25,13,3,15,1,6,4,2436,2086,,66.4,110.7,.461,.326,.574,52.0,55.3,10.1,8.5,.535,17.0,34.6,.330,+18.39,113.1,94.7,64.8,-.018,+2.08,104.9,102.8,+1.05,39,31,8,.795,23.95,9.07,13,5,17,2,7,4,2913,2333,,66.9,111.6,.381,.269,.556,53.7,53.7,10.8,9.3,.521,14.6,34.9,.270,+30.07,118.1,88.1,66.9,-.050,+10.10,108.9,98.8,-3.34
Wisconsin,Syracuse,63,64,0,36,26,10,.722,19.04,8.24,12,6,14,4,7,4,2304,1915,,58.6,108.4,.307,.413,.536,49.8,53.7,8.5,9.1,.501,13.0,30.6,.227,+24.09,113.7,89.6,57.5,-.018,+8.80,107.6,98.8,-3.88,37,34,3,.919,21.12,8.02,17,1,19,0,9,1,2742,2257,,65.2,113.3,.329,.310,.550,46.7,56.1,14.0,19.4,.521,13.5,36.3,.230,+26.04,117.7,91.7,64.4,+.060,+7.98,107.0,99.0,-2.11
Ohio State,Cincinnati,81,66,1,39,31,8,.795,23.95,9.07,13,5,17,2,7,4,2913,2333,,66.9,111.6,.381,.269,.556,53.7,53.7,10.8,9.3,.521,14.6,34.9,.270,+30.07,118.1,88.1,66.9,-.050,+10.10,108.9,98.8,-3.34,37,26,11,.703,12.93,6.28,12,6,14,4,7,5,2522,2276,,64.1,104.9,.293,.348,.505,48.1,51.8,12.4,12.0,.480,13.9,35.7,.189,+16.03,109.5,93.5,62.9,+.023,+6.90,105.7,98.8,-9.17
Ohio State,Syracuse,77,70,1,39,31,8,.795,23.95,9.07,13,5,17,2,7,4,2913,2333,,66.9,111.6,.381,.269,.556,53.7,53.7,10.8,9.3,.521,14.6,34.9,.270,+30.07,118.1,88.1,66.9,-.050,+10.10,108.9,98.8,-3.34,37,34,3,.919,21.12,8.02,17,1,19,0,9,1,2742,2257,,65.2,113.3,.329,.310,.550,46.7,56.1,14.0,19.4,.521,13.5,36.3,.230,+26.04,117.7,91.7,64.4,+.060,+7.98,107.0,99.0,-2.11
Louisville,Kentucky,61,69,0,40,30,10,.750,16.19,9.02,10,8,16,4,6,5,2727,2440,,67.0,100.5,.362,.321,.510,49.7,55.2,13.0,12.8,.473,17.4,35.7,.249,+20.67,106.2,85.5,66.1,+.031,+10.06,108.6,98.6,+0.11,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,,66.4,116.5,.417,.265,.575,52.9,48.4,9.1,20.4,.538,14.2,37.1,.302,+32.59,122.2,89.6,65.4,+.032,+7.99,106.8,98.8,-1.06
Kansas,Ohio State,64,62,1,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,,67.3,108.8,.398,.296,.556,52.1,57.4,10.8,15.0,.523,16.4,34.9,.275,+26.91,114.0,87.1,66.3,+.027,+11.15,108.8,97.6,+5.21,39,31,8,.795,23.95,9.07,13,5,17,2,7,4,2913,2333,,66.9,111.6,.381,.269,.556,53.7,53.7,10.8,9.3,.521,14.6,34.9,.270,+30.07,118.1,88.1,66.9,-.050,+10.10,108.9,98.8,-3.34
Kentucky,Kansas,67,59,1,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,,66.4,116.5,.417,.265,.575,52.9,48.4,9.1,20.4,.538,14.2,37.1,.302,+32.59,122.2,89.6,65.4,+.032,+7.99,106.8,98.8,-1.06,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,,67.3,108.8,.398,.296,.556,52.1,57.4,10.8,15.0,.523,16.4,34.9,.275,+26.91,114.0,87.1,66.3,+.027,+11.15,108.8,97.6,+5.21
