School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Arizona,35,23,12,.657,10.91,4.62,12,6,14,4,6,4,2416,2196,65.0,105.4,.445,.377,.550,49.1,59.5,8.5,8.9,.510,16.9,31.5,.313
Little Rock,31,15,16,.484,-1.94,0.03,12,4,9,6,6,8,1974,1990,65.2,96.2,.406,.297,.500,45.5,48.2,9.6,9.2,.455,16.4,27.8,.283
Arkansas-Pine Bluff,33,11,22,.333,-16.77,-8.34,9,9,6,3,3,15,2013,2291,66.3,91.7,.421,.284,.491,45.7,52.1,10.5,11.3,.455,19.3,31.5,.268
Arkansas State,34,14,20,.412,-3.18,-0.52,6,10,10,5,2,14,2198,2239,64.1,100.0,.416,.269,.518,49.1,43.0,9.6,6.0,.482,17.8,34.6,.278
Arkansas,32,18,14,.563,5.76,3.63,6,10,17,3,1,9,2299,2231,70.2,102.4,.372,.312,.525,44.6,53.6,11.8,12.8,.490,15.9,31.5,.257
Army,30,12,18,.400,-11.26,-7.16,5,9,9,6,3,11,2027,2091,69.4,96.1,.371,.417,.536,44.4,59.4,8.8,5.3,.496,19.8,24.3,.269
Auburn,31,15,16,.484,2.52,3.84,5,11,14,3,1,10,1942,1983,65.0,95.2,.364,.310,.496,47.4,55.5,9.8,14.0,.464,18.1,31.9,.236
Austin Peay,32,12,20,.375,-4.86,-0.66,8,8,8,5,4,12,2216,2324,68.2,100.7,.413,.243,.520,46.5,49.0,10.5,9.3,.484,17.9,34.4,.277
Ball State,30,15,15,.500,-2.93,-4.45,6,10,10,5,5,9,1901,1822,62.5,101.4,.393,.378,.521,49.1,61.8,9.7,7.9,.483,17.5,34.4,.271
Baylor,38,30,8,.789,16.54,8.03,12,6,14,3,8,3,2839,2483,67.1,111.0,.353,.315,.566,52.0,56.8,11.2,12.5,.528,17.2,38.4,.266
Belmont,35,27,8,.771,11.81,-1.22,16,2,13,1,10,6,2831,2363,68.7,117.0,.385,.403,.591,49.7,62.2,10.5,5.7,.558,15.2,34.5,.282
Bethune-Cookman,35,18,17,.514,-9.11,-7.05,11,5,9,3,5,12,2276,2319,64.9,99.9,.371,.276,.512,45.5,50.9,10.6,7.6,.480,17.5,34.6,.244
Binghamton,31,2,29,.065,-20.14,-6.24,1,15,1,13,0,15,1762,2193,65.1,86.9,.341,.277,.480,44.0,55.2,9.2,6.2,.439,20.1,26.8,.238
Boise State,30,13,17,.433,3.52,3.14,3,11,11,5,1,11,2050,1988,65.2,104.3,.356,.402,.530,49.9,48.9,9.3,5.9,.497,15.9,32.2,.246
Boston College,31,9,22,.290,-4.54,4.89,4,12,8,9,0,10,1833,2125,64.7,90.3,.337,.430,.512,42.9,56.3,7.5,7.6,.481,20.2,22.4,.227
Boston University,32,16,16,.500,-3.74,-4.09,12,4,7,5,8,9,2045,2034,64.4,98.8,.340,.369,.513,47.7,51.2,9.0,8.7,.481,17.9,31.8,.229
Bowling Green State,32,16,16,.500,1.23,0.07,9,7,12,4,4,12,2125,2046,64.8,102.1,.264,.257,.526,48.7,53.2,11.9,9.0,.502,17.4,34.1,.180
Bradley,32,7,25,.219,-5.79,3.62,2,16,6,10,1,12,1955,2256,67.3,90.7,.363,.292,.485,45.3,49.8,9.5,8.2,.444,17.8,26.3,.248
Brigham Young,35,26,9,.743,11.25,1.55,12,4,13,3,8,3,2727,2358,73.0,106.7,.367,.323,.553,50.2,61.3,11.6,11.9,.521,16.1,30.6,.257
Brown,31,8,23,.258,-12.52,-3.62,2,12,6,9,1,12,1907,2154,65.4,94.1,.285,.382,.495,44.4,60.3,8.0,6.7,.473,16.6,24.9,.179
Bryant,30,2,28,.067,-17.90,-4.27,1,17,1,10,0,17,1852,2261,66.3,92.6,.295,.424,.499,43.5,57.3,6.7,5.8,.468,19.2,27.6,.204
Bucknell,35,25,10,.714,3.57,-3.08,12,2,14,3,11,7,2410,2147,64.0,107.6,.379,.290,.563,52.9,57.2,6.8,9.5,.518,16.3,30.0,.293
Buffalo,31,20,11,.645,4.15,0.15,12,4,12,2,8,8,2262,2090,68.7,105.8,.384,.347,.552,52.2,63.4,8.1,13.1,.526,18.5,35.7,.253
Butler,37,22,15,.595,2.86,1.14,11,7,13,6,7,9,2352,2245,64.5,97.5,.400,.323,.491,50.5,55.2,9.9,10.1,.454,16.8,35.7,.260
Cal Poly,33,18,15,.545,-0.58,-3.78,8,8,10,4,5,10,2136,1998,60.4,107.1,.291,.357,.521,51.9,54.0,9.4,4.8,.492,14.6,36.7,.203
Cal State Bakersfield,31,16,15,.516,-7.15,-3.65,0,0,10,3,6,12,2121,2154,66.2,103.0,.350,.323,.543,47.9,57.7,12.0,11.0,.513,18.9,34.9,.239
Cal State Fullerton,31,21,10,.677,-1.18,-5.32,12,4,13,1,7,7,2417,2205,70.3,110.9,.396,.373,.577,51.5,55.7,8.0,7.1,.548,18.5,36.9,.275
Cal State Northridge,28,7,21,.250,-12.65,-2.61,3,13,4,8,3,13,1908,2101,69.0,98.2,.361,.332,.487,46.3,58.5,9.0,7.5,.434,16.4,36.2,.273
UC-Davis,31,5,26,.161,-15.60,-2.63,3,13,4,8,1,14,1924,2307,66.6,93.2,.328,.403,.516,43.3,56.1,7.3,5.8,.484,20.4,27.0,.224
UC-Irvine,32,12,20,.375,-6.07,-1.24,6,10,8,6,3,11,2179,2309,69.9,96.7,.318,.376,.509,46.7,63.5,6.9,10.4,.484,18.6,31.0,.203
UC-Riverside,31,14,17,.452,-8.01,-2.22,7,9,8,5,5,9,1841,1954,63.3,92.0,.298,.253,.483,45.6,45.0,7.4,11.4,.449,17.7,29.1,.206
UC-Santa Barbara,31,20,11,.645,4.00,-1.38,12,4,11,3,7,7,2262,2059,64.6,111.2,.342,.338,.554,51.1,57.4,8.5,13.5,.525,15.2,36.3,.237
University of California,34,24,10,.706,13.79,4.53,13,5,17,1,5,6,2419,2104,66.3,107.3,.341,.229,.554,51.4,60.5,7.1,8.0,.517,15.8,32.1,.254
Campbell,32,17,15,.531,-6.06,-4.80,11,7,11,2,6,12,2370,2361,69.6,106.0,.435,.259,.562,48.9,58.6,8.8,14.2,.532,17.7,31.5,.291
Canisius,30,5,25,.167,-14.73,-4.53,1,17,3,10,2,14,1965,2271,67.6,96.1,.291,.335,.499,45.8,46.4,9.4,6.8,.462,18.3,33.9,.211
Central Arkansas,29,8,21,.276,-17.26,-4.83,3,13,6,7,2,14,2058,2371,74.2,94.0,.321,.260,.474,45.0,54.2,10.7,7.3,.457,17.0,33.9,.178
Central Connecticut State,29,13,16,.448,-5.36,-5.05,10,8,10,3,3,12,2029,2038,68.9,100.2,.324,.310,.521,44.9,54.8,11.6,9.3,.478,17.9,33.3,.246
Central Florida,33,22,11,.667,4.33,2.98,10,6,16,1,3,9,2166,2096,64.3,102.1,.406,.333,.511,49.5,48.8,9.8,11.8,.482,16.4,36.5,.254
Central Michigan,32,11,21,.344,-6.74,-1.62,5,11,6,6,3,13,1980,2134,64.4,95.3,.335,.343,.482,45.2,47.0,10.3,10.1,.452,16.1,32.0,.213
Charleston Southern,31,19,12,.613,-2.19,-4.33,11,7,12,2,5,10,2383,2242,70.9,108.0,.353,.365,.547,48.4,47.4,11.4,7.2,.517,16.0,34.3,.243
Charlotte,30,13,17,.433,0.99,2.86,5,11,7,7,6,10,2010,2066,68.8,96.6,.390,.351,.504,47.1,56.6,11.7,8.0,.469,17.4,30.0,.257
Chattanooga,32,11,21,.344,-6.99,-3.54,5,13,11,6,0,14,2260,2204,69.5,100.5,.386,.391,.516,49.7,59.6,9.0,3.7,.479,16.8,31.5,.265
Chicago State,30,4,26,.133,-19.30,-3.13,2,8,3,9,1,17,1884,2313,71.5,87.5,.312,.304,.474,45.2,46.5,9.9,9.3,.442,20.3,30.1,.204
Cincinnati,37,26,11,.703,12.93,6.28,12,6,14,4,7,5,2522,2276,64.1,104.9,.293,.348,.505,48.1,51.8,12.4,12.0,.480,13.9,35.7,.189
Citadel,30,6,24,.200,-14.49,-3.67,3,15,4,10,1,12,1925,2158,66.1,95.5,.334,.302,.516,45.9,56.8,8.9,4.5,.488,19.1,29.5,.220
Clemson,31,16,15,.516,7.31,3.41,8,8,11,5,4,7,2001,1880,63.3,101.2,.314,.313,.512,48.8,53.3,11.7,10.7,.483,16.1,33.0,.210
Cleveland State,33,22,11,.667,5.27,0.12,12,6,10,4,11,5,2177,1983,64.3,102.7,.276,.333,.535,47.9,56.1,13.2,10.3,.508,18.4,35.1,.196
Coastal Carolina,31,19,12,.613,-2.64,-4.56,12,6,12,4,7,7,2248,2042,66.8,107.7,.332,.251,.554,52.3,47.7,9.7,10.4,.529,17.4,35.6,.224
Colgate,30,8,22,.267,-14.91,-4.38,2,12,5,8,3,14,1893,2209,65.7,95.3,.355,.336,.529,46.3,55.0,5.6,6.1,.495,19.7,26.0,.245
College of Charleston,31,19,12,.613,-0.16,-2.54,10,8,10,4,7,6,2191,2117,68.4,101.8,.386,.410,.523,45.0,49.1,10.6,9.0,.495,16.4,29.9,.248
Colorado State,32,20,12,.625,6.58,5.23,8,6,14,1,3,9,2243,2177,64.5,107.4,.423,.292,.576,49.2,50.9,8.2,5.7,.530,17.3,28.7,.324
Colorado,36,24,12,.667,7.91,5.73,11,7,14,2,4,7,2429,2269,66.0,101.9,.432,.305,.538,50.2,50.5,8.8,9.0,.499,17.2,30.1,.299
Columbia,30,15,15,.500,-2.90,-3.18,4,10,8,6,5,9,1955,1863,63.5,101.8,.321,.356,.535,49.6,55.6,9.5,6.3,.497,16.6,29.1,.238
Connecticut,34,20,14,.588,12.27,8.07,8,10,13,4,3,7,2336,2193,64.1,106.0,.346,.293,.528,49.3,53.3,9.0,17.6,.500,15.9,36.3,.229
Coppin State,30,14,16,.467,-9.07,-5.96,9,7,7,5,6,9,2213,2257,69.5,105.7,.341,.453,.545,44.5,58.6,8.3,4.8,.515,16.0,30.1,.236
Cornell,28,12,16,.429,-4.05,-0.98,7,7,10,3,2,13,1833,1898,67.7,95.0,.315,.406,.509,43.8,59.3,11.3,8.9,.477,17.3,25.2,.216
Creighton,35,29,6,.829,12.92,3.41,14,4,14,2,10,3,2772,2439,67.3,116.9,.381,.350,.607,52.1,63.2,7.1,5.8,.578,15.6,30.8,.276
Dartmouth,30,5,25,.167,-10.07,-3.56,1,13,4,9,1,14,1727,1904,63.4,90.4,.367,.308,.489,48.0,49.2,8.5,7.1,.445,19.1,27.5,.259
Davidson,33,25,8,.758,7.26,-1.68,16,2,13,2,8,5,2571,2238,68.8,112.4,.371,.386,.555,52.1,51.8,8.0,8.7,.511,14.3,35.4,.283
Dayton,33,20,13,.606,8.48,4.30,9,7,14,4,3,8,2369,2231,65.0,108.7,.335,.403,.549,50.5,58.0,8.0,7.2,.507,16.6,36.3,.260
Delaware State,29,15,14,.517,-8.07,-6.78,12,4,8,5,7,8,1917,1868,62.1,104.2,.312,.323,.523,42.0,49.3,12.4,17.1,.491,14.0,30.3,.219
Delaware,32,18,14,.563,-1.61,-2.18,12,6,11,3,6,10,2206,2188,67.2,100.6,.434,.310,.523,46.6,40.5,6.8,11.3,.475,16.3,28.9,.311
Denver,31,22,9,.710,6.14,-1.47,11,5,14,2,7,6,2112,1876,61.3,109.8,.352,.429,.606,44.1,66.5,11.6,12.4,.573,17.7,23.5,.268
DePaul,31,12,19,.387,1.99,4.57,3,15,7,9,3,8,2298,2378,71.8,102.9,.264,.342,.522,42.7,55.3,11.0,9.2,.495,15.8,31.4,.184
Detroit Mercy,36,22,14,.611,2.40,-0.01,11,7,13,4,6,8,2597,2432,67.1,107.1,.427,.275,.538,49.2,51.3,11.2,13.2,.491,15.7,35.8,.312
Drake,34,18,16,.529,2.44,2.96,9,9,13,3,3,10,2279,2271,67.0,98.5,.418,.326,.530,46.2,44.4,10.2,8.3,.498,17.0,24.7,.274
Drexel,36,29,7,.806,7.37,-1.80,16,2,15,1,11,3,2350,2020,60.9,107.2,.390,.321,.544,52.5,57.7,7.9,9.5,.501,16.3,34.4,.289
Duke,34,27,7,.794,17.05,8.40,13,3,13,3,8,1,2628,2334,68.3,112.3,.451,.386,.565,49.8,48.4,9.0,9.0,.528,15.1,34.7,.316
Duquesne,31,16,15,.516,4.09,3.96,7,9,9,5,4,9,2252,2232,69.2,104.5,.370,.333,.536,41.7,58.7,11.1,9.4,.507,15.1,29.6,.247
East Carolina,31,15,16,.484,2.42,2.53,5,11,10,7,3,8,2136,2019,66.8,102.3,.346,.394,.535,47.8,60.5,11.5,11.1,.505,17.6,31.5,.237
East Tennessee State,31,17,14,.548,-0.41,-1.78,10,8,10,3,6,10,2098,2017,66.7,101.5,.392,.236,.507,48.2,42.1,15.3,10.2,.477,16.8,36.8,.249
Eastern Illinois,29,12,17,.414,-11.48,-6.48,5,11,7,7,5,10,1896,1984,64.2,100.5,.312,.272,.523,46.0,55.7,8.7,6.3,.482,17.3,32.0,.236
Eastern Kentucky,32,16,16,.500,-8.47,-5.93,7,9,11,3,4,11,2123,2117,62.8,104.0,.321,.397,.537,44.1,50.8,11.7,5.4,.501,14.9,27.9,.236
Eastern Michigan,32,14,18,.438,-7.90,-1.68,9,7,9,4,5,13,1704,1878,59.5,88.8,.358,.322,.468,44.7,53.2,11.8,10.5,.424,19.4,32.3,.248
Eastern Washington,32,15,17,.469,-3.87,-3.23,8,8,9,4,6,13,2326,2284,69.1,104.7,.344,.414,.522,45.9,49.5,10.3,10.7,.486,14.5,31.4,.244
Elon,31,15,16,.484,-7.41,-3.03,9,9,10,4,4,11,2175,2226,70.5,98.3,.322,.366,.515,46.0,52.9,6.7,6.5,.486,16.9,28.2,.217
Evansville,32,16,16,.500,3.46,3.56,9,9,11,7,4,8,2351,2327,67.4,106.1,.431,.261,.561,43.2,63.5,11.0,5.0,.512,16.2,26.9,.329
Fairfield,37,22,15,.595,2.94,-1.34,12,6,12,4,5,8,2417,2259,65.2,100.2,.327,.336,.530,48.1,62.6,12.8,11.0,.506,19.2,34.2,.213
Fairleigh Dickinson,29,3,26,.103,-16.99,-5.06,2,16,2,11,1,15,1762,2108,68.2,89.0,.327,.247,.480,45.1,49.2,8.4,10.1,.447,19.3,29.5,.216
Florida A&M,33,10,23,.303,-15.58,-6.29,6,10,5,8,3,12,2175,2416,70.0,93.5,.283,.282,.475,45.2,42.0,11.6,10.9,.451,18.5,36.3,.174
Florida Atlantic,30,11,19,.367,-2.58,0.77,7,9,6,5,4,11,1977,2046,64.8,99.2,.289,.353,.500,45.9,53.2,10.1,10.5,.473,15.6,32.9,.192
Florida Gulf Coast,32,15,17,.469,-2.41,-1.96,8,10,9,5,5,11,2306,2306,68.5,104.4,.337,.372,.550,47.9,52.0,11.8,11.1,.525,18.5,34.0,.226
Florida International,29,8,21,.276,-5.07,-1.10,5,11,2,9,5,9,1836,1951,64.4,97.0,.388,.295,.512,45.7,43.0,11.4,11.8,.466,19.1,32.8,.281
Florida State,35,25,10,.714,14.53,7.62,12,4,15,2,5,5,2443,2201,67.3,102.3,.348,.318,.545,50.0,48.7,11.1,17.0,.512,19.7,35.0,.246
Florida,37,26,11,.703,18.25,7.33,10,6,14,2,4,7,2808,2404,65.1,115.4,.332,.446,.576,49.2,56.5,9.6,8.8,.548,14.4,33.5,.237
Fordham,29,10,19,.345,-7.63,1.92,3,13,9,6,1,13,1797,2074,67.5,91.4,.316,.290,.452,47.0,52.3,9.6,15.2,.423,16.7,36.2,.193
Fresno State,33,13,20,.394,-0.91,0.77,3,11,9,5,3,12,2170,2181,63.1,101.5,.370,.339,.507,44.7,50.1,11.0,9.3,.463,14.1,29.9,.267
Furman,31,15,16,.484,-6.04,-3.90,8,10,9,5,5,10,2006,2022,64.6,100.2,.369,.378,.518,49.4,49.6,8.0,9.2,.478,18.2,34.9,.264
Gardner-Webb,32,12,20,.375,-7.99,-4.82,6,12,9,4,3,15,2103,2138,66.0,98.3,.344,.340,.501,49.0,50.2,10.4,7.2,.468,17.6,34.9,.229
George Mason,33,24,9,.727,3.81,-1.67,14,4,15,1,7,6,2323,2142,67.6,102.5,.409,.263,.544,49.5,51.6,9.9,12.9,.507,19.1,33.9,.286
George Washington,31,10,21,.323,-0.63,4.15,5,11,6,8,2,12,1921,2069,64.0,96.8,.285,.230,.490,47.2,52.1,10.3,10.1,.462,17.2,35.8,.189
Georgetown,33,24,9,.727,16.81,7.69,12,6,15,1,6,5,2278,1959,63.3,107.4,.386,.308,.552,52.1,55.6,9.4,13.2,.519,16.8,35.8,.270
Georgia Southern,30,15,15,.500,-6.70,-3.78,12,6,10,2,4,12,2002,2033,66.7,98.8,.319,.289,.541,46.7,49.5,11.2,6.7,.516,19.7,29.1,.212
Georgia State,34,22,12,.647,5.69,-2.99,11,7,13,3,8,6,2298,2003,65.2,102.2,.343,.290,.510,48.5,50.7,14.0,15.8,.481,15.0,32.5,.225
Georgia Tech,31,11,20,.355,1.74,4.13,4,12,7,8,3,9,1866,1940,63.2,94.8,.287,.309,.501,50.4,48.6,8.2,14.0,.475,19.4,33.5,.188
Georgia,32,15,17,.469,5.92,7.95,5,11,11,6,2,9,1950,2015,61.4,98.0,.303,.370,.487,46.4,50.4,10.0,11.3,.453,14.2,30.5,.208
Gonzaga,33,26,7,.788,13.86,3.25,13,3,15,1,6,4,2436,2086,66.4,110.7,.461,.326,.574,52.0,55.3,10.1,8.5,.535,17.0,34.6,.330
Grambling,28,4,24,.143,-26.82,-9.39,4,14,1,9,3,15,1513,2001,66.5,80.9,.357,.287,.445,42.4,46.3,7.2,8.7,.398,21.2,27.8,.247
Green Bay,30,15,15,.500,-2.32,1.04,10,8,12,2,3,13,1935,1982,65.6,97.9,.332,.281,.510,48.1,53.2,9.2,12.1,.473,18.3,33.5,.234
Hampton,33,12,21,.364,-10.08,-7.93,6,10,6,5,1,13,2134,2205,67.9,94.5,.387,.345,.486,46.4,47.2,10.0,12.9,.452,17.6,32.6,.248
Hartford,31,9,22,.290,-13.41,-6.19,7,9,4,8,4,12,1860,2084,65.6,90.0,.308,.466,.514,41.7,62.1,9.9,6.1,.486,20.9,21.7,.205
Harvard,31,26,5,.839,7.84,-1.56,12,2,11,1,12,3,2033,1724,60.9,107.3,.411,.348,.571,51.3,57.7,9.7,12.1,.529,17.5,30.3,.307
Hawaii,32,16,16,.500,-2.79,-0.52,6,8,8,7,3,7,2356,2387,70.7,102.9,.434,.277,.539,49.2,56.9,7.9,7.9,.506,18.2,34.7,.289
High Point,31,13,18,.419,-5.92,-4.13,8,10,10,6,3,12,2203,2176,65.1,107.4,.385,.386,.548,46.2,52.1,8.5,8.3,.517,16.1,31.8,.264
Hofstra,32,10,22,.313,-2.98,-1.10,3,15,8,9,1,11,2091,2151,66.9,97.7,.431,.269,.501,47.3,55.6,11.4,7.5,.449,17.5,33.5,.309
Holy Cross,29,15,14,.517,-6.02,-4.23,9,5,11,3,4,11,1886,1938,66.1,98.3,.332,.312,.521,48.0,54.5,8.7,12.0,.483,17.9,30.0,.239
Houston Baptist,30,10,20,.333,-16.07,-6.10,3,7,9,5,0,13,2208,2344,74.4,98.0,.378,.258,.503,45.5,47.4,10.0,4.2,.464,17.6,33.6,.259
Houston,30,15,15,.500,0.04,0.21,7,9,13,5,1,8,2152,2147,67.7,104.7,.330,.271,.543,49.9,50.1,7.6,11.8,.512,18.0,35.2,.232
Howard,31,10,21,.323,-14.59,-4.16,6,10,6,5,3,14,1881,2174,67.8,89.1,.461,.272,.478,47.4,45.8,9.0,8.7,.427,21.3,35.0,.313
Idaho State,30,9,21,.300,-11.05,-2.77,7,9,5,8,4,13,1979,2192,65.9,97.7,.350,.340,.513,43.6,51.7,10.4,6.8,.479,17.9,30.9,.240
Idaho,33,19,14,.576,0.77,-0.43,9,5,11,4,8,8,2298,2240,64.3,107.5,.412,.324,.568,49.5,60.2,7.2,10.9,.540,17.9,32.5,.277
Illinois-Chicago,30,8,22,.267,-9.16,-1.30,3,15,7,7,1,15,1826,2033,64.1,94.2,.335,.368,.489,47.0,53.6,7.7,7.9,.455,19.0,34.0,.224
Illinois State,35,21,14,.600,6.33,2.64,9,9,14,3,4,9,2439,2310,64.4,106.2,.386,.427,.562,49.3,57.1,7.7,9.4,.520,16.3,27.7,.291
Illinois,32,17,15,.531,9.33,7.99,6,12,13,4,2,8,2098,2055,64.5,100.5,.304,.351,.527,48.7,52.2,7.8,11.9,.494,17.8,31.3,.217
Indiana State,33,18,15,.545,2.08,3.08,8,10,11,4,4,9,2120,2141,64.4,98.6,.383,.342,.522,47.0,55.0,9.0,8.6,.478,16.6,26.3,.276
Indiana,36,27,9,.750,18.63,7.80,11,7,18,1,5,6,2782,2392,66.9,115.5,.445,.275,.596,50.8,51.3,9.7,8.5,.552,16.5,35.3,.340
Iona,33,25,8,.758,8.36,-1.82,15,3,10,1,11,4,2736,2400,71.4,114.8,.303,.323,.588,48.1,62.5,10.1,5.5,.565,15.1,32.1,.216
Iowa State,34,23,11,.676,13.32,7.32,12,6,16,2,4,7,2490,2286,67.5,108.5,.387,.416,.557,51.8,57.1,8.5,7.1,.526,15.8,32.3,.266
Iowa,35,18,17,.514,7.04,6.53,8,10,14,6,3,9,2555,2537,68.2,107.0,.385,.272,.544,48.1,57.8,11.0,9.3,.505,15.6,32.9,.277
Fort Wayne,30,11,19,.367,-8.79,-2.05,5,13,8,5,3,13,2100,2242,69.7,100.1,.371,.297,.533,48.3,54.2,9.0,6.8,.500,18.0,31.0,.253
IUPUI,32,14,18,.438,-3.85,-1.75,7,11,9,5,3,12,2319,2329,66.4,107.8,.345,.284,.539,46.9,45.8,10.1,7.6,.493,15.0,34.7,.268
Jackson State,31,7,24,.226,-17.50,-7.00,5,13,4,7,2,16,1737,2042,63.3,87.2,.334,.251,.462,45.9,41.7,11.2,9.1,.422,20.2,33.7,.227
Jacksonville State,33,15,18,.455,-4.86,-5.23,8,8,9,4,3,10,2143,2106,65.1,99.0,.421,.303,.507,46.7,53.3,11.2,10.5,.466,17.3,33.5,.286
Jacksonville,30,8,22,.267,-7.30,0.10,6,12,5,6,3,15,1951,2173,66.8,96.5,.350,.281,.495,47.7,51.4,10.9,9.9,.463,18.6,36.3,.230
James Madison,32,12,20,.375,-5.86,-2.11,5,13,5,9,5,9,2115,2235,66.2,99.1,.314,.381,.519,43.4,57.2,10.0,6.8,.492,16.9,29.1,.209
Kansas State,33,22,11,.667,14.47,7.53,10,8,11,4,6,4,2343,2114,67.0,104.8,.432,.295,.526,51.3,57.6,8.9,13.0,.489,17.5,40.7,.290
Kansas,39,32,7,.821,21.72,9.93,16,2,16,0,8,2,2867,2407,67.3,108.8,.398,.296,.556,52.1,57.4,10.8,15.0,.523,16.4,34.9,.275
Kennesaw State,31,3,28,.097,-15.02,-0.49,0,18,1,11,1,16,1920,2330,64.4,94.3,.319,.363,.501,42.6,54.1,9.4,5.1,.477,18.3,28.7,.199
Kent State,33,21,12,.636,2.77,-0.95,10,6,12,3,7,7,2322,2178,67.6,103.6,.365,.315,.539,47.1,58.7,12.5,10.4,.507,17.7,33.7,.252
Kentucky,40,38,2,.950,24.73,7.93,16,0,18,0,8,1,3095,2423,66.4,116.5,.417,.265,.575,52.9,48.4,9.1,20.4,.538,14.2,37.1,.302
La Salle,34,21,13,.618,8.56,1.83,9,7,14,3,6,8,2478,2249,68.6,105.4,.298,.337,.560,44.4,55.2,11.7,8.1,.532,16.7,27.3,.215
Lafayette,31,13,18,.419,-7.20,-4.01,7,7,6,7,7,11,2161,2260,66.5,104.8,.343,.445,.563,42.6,53.3,7.9,7.0,.524,16.9,23.8,.262
Lamar,35,23,12,.657,2.41,-3.77,11,5,12,2,8,9,2573,2296,68.7,106.6,.410,.218,.516,51.7,49.7,11.7,10.5,.469,14.4,37.8,.295
Lehigh,35,27,8,.771,4.27,-5.14,11,3,12,1,12,6,2648,2288,68.1,110.3,.378,.358,.553,47.9,50.6,11.2,8.0,.507,14.0,31.7,.291
Liberty,32,14,18,.438,-9.67,-4.81,9,9,9,7,5,9,2201,2283,66.4,103.2,.356,.221,.526,48.5,54.1,7.9,6.4,.488,15.6,32.7,.254
Lipscomb,31,13,18,.419,-4.70,-1.23,8,10,6,7,5,11,2242,2303,71.1,100.1,.342,.344,.521,45.2,54.6,10.0,7.0,.496,17.8,31.2,.218
Long Beach State,34,25,9,.735,9.52,0.87,15,1,12,0,8,7,2510,2175,67.2,109.1,.420,.329,.556,50.7,54.1,10.5,7.1,.527,16.3,34.7,.281
Long Island University,34,25,9,.735,-1.34,-5.10,16,2,15,0,7,8,2769,2641,74.8,108.5,.497,.312,.577,48.6,54.3,8.1,6.7,.532,18.5,34.2,.363
Longwood,31,10,21,.323,-20.47,-5.99,0,0,7,5,2,14,2276,2617,73.1,100.0,.279,.398,.528,43.9,58.2,7.2,5.6,.503,16.0,24.9,.188
Louisiana,32,16,16,.500,-3.25,-2.28,10,6,10,5,5,9,2189,2155,70.0,95.9,.428,.293,.508,50.0,48.2,8.2,11.3,.477,19.5,33.5,.270
Louisiana-Monroe,29,3,26,.103,-12.56,-0.95,2,14,0,13,3,13,1750,2078,64.5,93.2,.284,.332,.496,43.9,52.0,8.4,6.9,.470,17.6,26.4,.185
Louisiana State,33,18,15,.545,6.66,5.51,7,9,11,4,4,9,2157,2119,66.2,97.3,.299,.272,.485,48.2,52.5,10.5,10.4,.451,16.2,34.6,.206
Louisiana Tech,34,18,16,.529,-2.65,-1.19,6,8,11,4,4,10,2358,2355,68.2,100.2,.308,.386,.511,45.2,51.9,9.8,9.3,.486,16.1,31.3,.200
