School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Bradley,32,12,20,.375,-2.72,-0.31,7,11,11,6,1,11,2036,2113,63.9,99.7,.365,.278,.504,50.0,42.4,11.1,8.5,.464,15.9,32.3,.256
Brigham Young,35,23,12,.657,11.63,5.72,13,5,14,1,5,7,2931,2706,73.5,111.9,.483,.228,.545,53.3,53.8,9.6,7.3,.503,12.8,34.7,.334
Brown,29,15,14,.517,-1.44,-4.04,7,7,8,6,7,8,2065,1951,69.4,101.7,.348,.302,.520,51.9,52.8,8.1,11.9,.489,15.9,30.4,.234
Bryant,32,18,14,.563,-4.25,-4.89,10,6,11,4,7,9,2351,2304,67.9,107.3,.374,.337,.558,48.5,50.0,9.4,7.7,.526,15.9,28.7,.263
Bucknell,30,16,14,.533,-1.30,-3.14,11,7,8,6,8,8,1977,1922,63.7,103.5,.317,.309,.528,52.8,51.1,7.2,4.4,.489,14.6,29.0,.237
Buffalo,29,19,10,.655,3.58,-2.13,13,5,13,1,6,6,2132,1952,67.7,108.2,.419,.342,.545,52.1,59.8,10.0,12.3,.504,15.7,35.1,.299
Butler,31,14,17,.452,7.04,6.98,4,14,8,7,4,7,2125,2064,64.0,104.2,.372,.323,.514,50.3,45.7,9.1,7.4,.482,13.0,30.7,.246
Cal Poly,34,14,20,.412,-1.34,1.69,6,10,6,6,3,12,2141,2163,60.8,103.5,.326,.354,.501,48.8,52.3,9.6,8.0,.466,12.4,31.8,.224
Cal State Bakersfield,32,13,19,.406,-4.86,-4.31,5,11,6,7,5,10,2215,2189,66.0,104.0,.382,.324,.535,51.6,50.1,9.8,10.4,.501,17.6,34.5,.263
Cal State Fullerton,31,11,20,.355,-5.08,-1.12,6,10,8,5,3,12,2092,2215,66.8,100.6,.381,.334,.513,49.1,46.7,7.0,4.9,.481,15.4,29.1,.251
Cal State Northridge,35,17,18,.486,-4.89,-3.29,7,9,11,3,2,14,2689,2712,68.7,108.6,.495,.206,.557,51.9,53.0,9.8,7.6,.492,15.6,33.6,.391
UC-Davis,31,9,22,.290,-11.55,-1.76,4,12,6,9,1,13,2174,2408,66.6,102.7,.371,.404,.543,43.9,49.9,7.5,5.9,.510,15.7,24.4,.258
UC-Irvine,35,23,12,.657,4.35,-0.65,13,3,12,4,10,7,2468,2231,65.6,106.3,.366,.288,.544,52.8,60.1,8.4,16.0,.521,16.4,32.2,.234
UC-Riverside,31,10,21,.323,-7.64,-2.33,5,11,8,7,2,13,2117,2214,67.5,99.5,.416,.267,.517,49.2,47.2,9.4,11.2,.473,16.6,29.5,.292
UC-Santa Barbara,30,21,9,.700,4.23,-0.13,12,4,10,3,9,5,2137,1960,63.1,111.5,.417,.347,.567,51.7,65.4,7.8,14.0,.531,15.1,32.3,.295
University of California,35,21,14,.600,10.70,7.44,10,8,15,4,5,7,2533,2419,66.4,107.7,.356,.286,.538,50.5,58.3,7.9,11.1,.507,13.1,29.6,.244
Campbell,32,12,20,.375,-14.04,-7.33,6,10,9,7,3,12,2164,2291,64.0,104.4,.291,.455,.544,48.3,58.9,9.3,11.0,.521,17.7,31.9,.197
Canisius,34,21,13,.618,1.24,-1.95,14,6,9,4,8,7,2661,2570,68.2,115.6,.380,.357,.581,47.9,47.5,10.0,10.1,.527,14.7,33.2,.282
Central Arkansas,29,8,21,.276,-16.25,-5.54,5,13,7,8,1,13,2165,2360,74.3,99.8,.378,.296,.521,45.4,46.8,11.4,11.0,.501,16.9,28.8,.227
Central Connecticut State,30,11,19,.367,-13.10,-6.06,7,9,5,8,6,10,2117,2318,70.8,98.9,.300,.281,.516,46.6,50.1,9.7,11.9,.482,17.0,28.9,.215
Central Florida,31,13,18,.419,2.35,5.14,4,14,10,7,2,10,2253,2281,68.0,105.2,.384,.351,.520,52.2,48.4,9.9,10.8,.497,16.4,37.8,.236
Central Michigan,31,10,21,.323,-8.82,-2.72,3,15,8,8,2,13,2246,2288,65.8,108.3,.371,.440,.540,47.9,48.4,11.2,3.5,.504,13.7,30.1,.263
Charleston Southern,31,13,18,.419,-5.27,-5.75,6,10,8,6,4,12,2523,2242,68.6,116.3,.367,.421,.573,51.9,49.4,9.3,7.7,.538,13.2,32.6,.268
Charlotte,31,17,14,.548,-0.69,-0.50,7,9,10,5,3,8,2215,2221,69.7,101.7,.395,.295,.527,52.3,53.3,8.6,6.5,.497,17.8,33.8,.256
Chattanooga,33,18,15,.545,-10.83,-7.90,12,4,11,2,5,11,2489,2439,70.4,106.3,.451,.339,.533,51.3,47.0,9.9,11.8,.489,15.9,35.5,.317
Chicago State,32,13,19,.406,-10.47,-2.44,8,8,9,5,4,13,2232,2439,69.6,98.3,.344,.347,.509,43.8,45.5,12.2,7.6,.476,15.1,26.7,.232
Cincinnati,34,27,7,.794,15.26,5.28,15,3,18,1,7,3,2325,1986,63.6,107.5,.387,.309,.519,53.2,52.8,12.4,16.0,.477,14.4,39.1,.274
Citadel,33,7,26,.212,-17.61,-6.75,2,14,6,8,0,15,2211,2453,66.5,100.0,.368,.327,.529,47.5,57.9,6.2,7.5,.489,16.5,26.7,.266
Clemson,36,23,13,.639,11.08,5.97,10,8,16,3,4,7,2287,2103,59.9,103.9,.361,.326,.519,51.4,48.1,7.6,16.2,.474,15.4,33.8,.269
Cleveland State,33,21,12,.636,4.38,-0.52,12,4,12,3,9,8,2410,2186,64.6,111.3,.369,.333,.574,51.4,56.0,9.2,10.0,.536,16.5,33.1,.278
Coastal Carolina,34,21,13,.618,-5.21,-6.31,11,5,14,5,6,7,2458,2326,68.6,104.2,.385,.319,.528,53.2,42.0,9.2,8.6,.491,16.9,35.1,.266
Colgate,31,13,18,.419,-2.51,-4.08,6,12,7,8,6,10,2158,2083,62.8,109.0,.283,.405,.586,49.1,56.1,7.2,6.3,.564,16.2,23.9,.202
College of Charleston,32,14,18,.438,-2.02,-1.89,6,10,9,7,4,8,2016,2006,62.1,99.8,.345,.357,.504,53.9,45.7,7.4,10.8,.473,17.0,35.2,.226
Colorado State,32,16,16,.500,3.29,2.16,7,11,14,6,2,9,2347,2230,65.8,111.5,.488,.290,.530,53.4,52.6,7.6,9.2,.476,11.7,34.9,.354
Colorado,35,23,12,.657,10.80,8.80,10,8,16,2,5,6,2457,2387,67.0,103.7,.483,.304,.534,54.3,48.8,8.7,9.0,.483,16.8,34.0,.346
Columbia,34,21,13,.618,2.21,-1.92,8,6,14,4,5,8,2313,2151,61.8,108.1,.428,.431,.578,52.3,56.5,8.1,7.4,.530,17.1,28.3,.332
Connecticut,40,32,8,.800,17.23,8.63,12,6,14,3,6,4,2873,2529,65.5,108.9,.383,.343,.562,50.2,50.3,10.7,15.2,.515,15.2,30.4,.298
Coppin State,32,12,20,.375,-11.09,-4.99,7,9,5,7,5,10,2231,2403,68.5,101.4,.411,.394,.507,46.1,51.1,8.7,6.0,.456,14.7,30.4,.300
Cornell,28,2,26,.071,-15.60,0.03,1,13,2,11,0,15,1795,2195,65.2,97.4,.283,.379,.498,46.5,46.0,6.4,7.9,.471,15.7,28.5,.188
Creighton,35,27,8,.771,18.03,7.17,14,4,16,0,7,4,2756,2376,65.3,120.6,.339,.446,.616,51.7,64.2,6.1,3.8,.589,13.3,27.7,.252
Dartmouth,28,12,16,.429,-4.85,-3.24,5,9,8,7,4,9,1905,1864,64.4,105.2,.370,.303,.534,51.6,52.3,9.2,9.6,.501,15.9,32.0,.254
Davidson,33,20,13,.606,0.81,-3.73,15,1,8,4,10,4,2591,2404,68.0,113.7,.392,.387,.582,50.0,50.3,7.9,4.4,.550,14.5,29.3,.280
Dayton,37,26,11,.703,10.55,5.34,10,6,13,4,7,4,2671,2478,65.4,109.6,.406,.319,.555,52.7,51.9,9.1,7.3,.524,15.5,34.0,.277
Delaware State,30,9,21,.300,-12.64,-6.11,5,11,7,7,2,12,1847,1946,61.2,99.4,.379,.317,.512,47.9,56.8,8.2,10.8,.474,15.9,28.8,.261
Delaware,35,25,10,.714,2.73,-1.10,14,2,10,2,11,7,2782,2648,70.9,111.7,.439,.345,.546,48.1,40.3,8.4,8.5,.504,11.6,29.1,.312
Denver,31,16,15,.516,0.84,-0.42,8,6,9,4,5,8,2044,1999,59.2,109.6,.339,.426,.574,45.4,65.5,11.6,10.0,.546,14.7,24.8,.240
DePaul,33,12,21,.364,1.50,7.47,3,15,8,9,3,9,2290,2487,67.3,101.6,.420,.314,.517,49.8,45.9,9.8,11.5,.476,16.7,33.8,.287
Detroit Mercy,32,13,19,.406,-3.25,-0.25,6,10,8,7,5,12,2275,2267,68.0,102.6,.389,.319,.515,51.4,47.6,10.6,13.0,.469,15.6,34.1,.283
Drake,31,15,16,.484,-0.77,1.03,6,12,9,5,4,9,2116,2115,64.4,105.5,.384,.379,.562,50.8,54.9,8.5,6.4,.527,16.4,27.2,.274
Drexel,30,16,14,.533,1.23,-0.24,8,8,8,4,6,8,2064,2020,63.4,104.6,.392,.288,.510,49.5,49.2,6.9,10.5,.466,11.2,28.9,.278
Duke,35,26,9,.743,19.51,8.48,13,5,17,0,4,5,2745,2359,65.5,119.4,.388,.397,.574,51.5,54.8,10.6,7.4,.538,12.1,34.5,.283
Duquesne,30,13,17,.433,0.66,1.03,5,11,6,8,7,6,2200,2211,68.3,107.4,.422,.353,.539,50.0,60.9,8.5,8.0,.506,14.0,29.9,.283
East Carolina,34,17,17,.500,-4.08,-2.41,5,11,10,7,3,10,2477,2411,66.5,109.7,.436,.429,.560,48.7,56.6,9.5,8.2,.520,15.2,30.9,.311
East Tennessee State,35,19,16,.543,-5.93,-6.08,10,8,14,6,5,10,2689,2663,71.2,107.1,.429,.371,.546,47.8,48.8,10.7,8.8,.497,14.2,28.6,.321
Eastern Illinois,30,11,19,.367,-11.53,-4.21,7,9,7,7,4,11,2030,2206,66.4,101.9,.413,.298,.531,49.6,51.1,8.6,13.5,.487,17.3,31.6,.295
Eastern Kentucky,34,24,10,.706,0.60,-4.34,11,5,12,2,8,6,2677,2411,67.5,116.3,.441,.446,.611,44.3,56.5,13.0,6.4,.574,14.1,23.6,.331
Eastern Michigan,37,22,15,.595,1.79,0.67,10,8,16,3,4,11,2423,2270,65.0,99.8,.437,.302,.501,47.7,47.9,12.6,18.3,.456,14.8,30.8,.296
Eastern Washington,31,15,16,.484,-5.32,-4.15,10,10,10,4,3,11,2362,2329,69.5,109.1,.391,.378,.556,51.0,51.3,6.8,10.8,.524,14.9,30.2,.271
Elon,32,18,14,.563,-4.02,-4.50,11,5,11,4,7,6,2392,2281,67.9,109.3,.357,.382,.572,49.4,52.8,7.4,7.1,.539,15.6,27.8,.258
Evansville,33,14,19,.424,-3.12,1.20,6,12,10,7,3,11,2290,2383,66.7,103.2,.496,.238,.554,48.4,62.6,7.5,10.4,.507,17.0,26.8,.356
Fairfield,32,7,25,.219,-7.37,-0.81,4,16,4,9,2,13,2030,2240,66.9,94.4,.346,.376,.497,50.0,51.6,6.6,9.7,.460,18.7,30.5,.237
Fairleigh Dickinson,31,10,21,.323,-11.24,-4.07,6,10,6,6,4,14,2157,2358,67.0,103.0,.352,.360,.523,45.4,45.7,10.0,10.8,.484,15.0,30.0,.253
Florida A&M,32,14,18,.438,-12.31,-7.58,8,8,9,3,3,14,2281,2370,72.0,98.3,.342,.317,.488,49.4,44.5,10.2,10.2,.455,16.6,35.9,.224
Florida Atlantic,32,10,22,.313,-5.12,-0.42,5,11,7,8,3,11,2120,2192,65.5,101.1,.368,.357,.513,51.0,50.9,7.2,11.5,.484,16.8,34.6,.236
Florida Gulf Coast,35,22,13,.629,-1.97,-5.76,14,4,16,2,6,10,2504,2339,68.2,104.2,.361,.311,.546,52.0,48.9,8.3,9.6,.518,16.7,29.9,.243
Florida International,31,15,16,.484,-5.40,-1.58,7,9,9,6,5,8,2128,2170,67.2,101.4,.415,.286,.529,51.1,44.6,10.5,10.8,.494,17.8,33.8,.278
Florida State,36,22,14,.611,12.63,8.13,9,9,12,5,6,6,2554,2392,66.1,106.6,.456,.268,.560,50.8,44.1,8.9,13.9,.517,18.3,34.8,.329
Florida,39,36,3,.923,20.69,8.54,18,0,17,0,10,2,2727,2253,62.9,111.1,.424,.346,.552,53.8,53.9,11.2,8.6,.522,14.5,34.7,.283
Fordham,31,10,21,.323,-3.16,3.14,2,14,7,8,2,12,2224,2419,69.2,103.3,.334,.370,.494,48.8,49.6,9.6,10.8,.450,13.6,35.4,.245
Fresno State,39,21,18,.538,3.59,3.75,9,9,13,6,7,10,2837,2749,66.3,107.7,.407,.376,.548,47.9,49.5,9.6,11.9,.505,13.2,26.6,.298
Furman,30,9,21,.300,-17.44,-7.40,3,13,6,8,3,12,1955,2196,65.5,99.1,.411,.319,.531,47.5,42.4,7.5,7.6,.495,18.1,27.8,.280
Gardner-Webb,33,18,15,.545,-7.33,-6.90,10,6,8,5,7,9,2425,2309,67.3,106.0,.426,.272,.532,51.1,58.7,11.0,7.9,.494,15.1,33.7,.292
George Mason,31,11,20,.355,2.03,4.58,5,12,6,8,4,8,2154,2233,67.7,101.5,.401,.253,.526,50.7,44.8,7.7,9.7,.484,17.1,31.7,.284
George Washington,33,24,9,.727,10.60,4.42,11,5,14,1,6,5,2415,2211,68.0,107.3,.466,.284,.546,52.5,54.9,10.4,11.2,.515,16.2,35.1,.304
Georgetown,33,18,15,.545,10.96,8.27,8,10,13,3,2,9,2344,2255,65.0,108.4,.448,.312,.555,50.5,53.8,9.2,12.9,.511,15.5,31.9,.322
Georgia Southern,34,15,19,.441,-11.44,-8.60,6,10,7,6,5,11,2406,2395,67.1,104.2,.379,.372,.529,49.9,38.9,10.1,4.6,.499,15.1,30.4,.251
Georgia State,34,25,9,.735,6.04,-2.56,17,1,13,0,10,7,2641,2330,65.8,116.3,.394,.349,.579,46.6,50.1,11.5,14.8,.534,10.5,25.2,.306
Georgia Tech,33,16,17,.485,5.12,5.24,6,12,10,7,5,7,2200,2204,64.8,101.8,.344,.297,.512,52.0,54.5,7.9,11.5,.478,15.7,32.7,.236
Georgia,34,20,14,.588,7.90,5.78,12,6,15,3,4,7,2343,2271,65.2,105.0,.541,.275,.536,53.3,44.5,7.8,13.1,.489,16.9,35.3,.369
Gonzaga,36,29,7,.806,15.56,5.36,15,3,15,0,8,4,2761,2372,68.1,114.1,.404,.328,.590,52.3,54.0,9.7,10.2,.560,15.2,30.6,.286
Grambling,29,5,24,.172,-24.61,-9.05,3,15,3,8,1,15,1903,2316,69.0,95.1,.409,.352,.505,46.6,46.5,8.8,5.5,.467,18.7,30.8,.273
Grand Canyon,30,15,15,.500,-6.40,-3.51,10,6,8,4,5,9,2163,2152,67.8,105.9,.536,.380,.556,50.7,57.5,5.9,6.7,.500,16.4,28.4,.397
Green Bay,31,24,7,.774,7.18,0.11,14,2,13,4,9,2,2304,1999,67.7,108.8,.438,.247,.556,52.2,58.2,10.5,18.7,.518,15.9,33.9,.308
Hampton,31,18,13,.581,-5.17,-7.91,13,4,9,3,8,7,2262,2177,71.1,99.8,.510,.300,.511,49.3,49.1,10.3,15.4,.467,17.1,33.1,.335
Hartford,33,17,16,.515,-6.63,-6.18,10,6,9,3,7,9,2162,2177,63.7,102.5,.389,.442,.573,46.4,55.0,8.8,6.0,.542,19.5,24.0,.273
Harvard,32,27,5,.844,10.79,-0.47,13,1,11,1,11,3,2343,1952,64.6,111.6,.480,.283,.564,52.1,57.1,11.6,13.4,.519,15.0,32.8,.347
Hawaii,31,20,11,.645,3.43,-1.68,9,7,14,5,6,4,2479,2270,69.3,114.0,.431,.289,.562,53.3,50.5,8.7,9.4,.522,14.2,37.6,.312
High Point,31,16,15,.516,-8.23,-5.23,12,4,10,3,6,11,2203,2253,65.5,108.0,.329,.286,.561,49.3,56.8,9.0,10.0,.527,16.0,30.6,.244
Hofstra,33,10,23,.303,-6.56,-1.89,5,11,7,8,1,13,2260,2414,65.3,104.4,.451,.383,.521,51.9,47.3,7.3,8.9,.484,15.8,35.5,.297
Holy Cross,34,20,14,.588,-1.58,-3.28,12,6,8,5,10,7,2277,2219,63.9,104.1,.394,.343,.534,51.0,50.2,9.5,10.8,.490,15.7,30.5,.289
Houston Baptist,31,6,25,.194,-17.39,-5.39,2,16,5,8,1,15,2091,2373,70.2,95.3,.389,.263,.509,49.1,52.2,7.2,5.2,.471,19.1,30.9,.265
Houston,33,17,16,.515,2.68,4.62,8,10,12,4,3,9,2345,2409,67.1,105.5,.382,.315,.541,49.2,58.3,8.1,13.6,.512,16.3,31.6,.255
Howard,33,8,25,.242,-16.77,-5.22,5,11,4,6,2,17,2020,2344,67.1,90.2,.494,.307,.484,47.6,40.8,9.2,12.3,.430,20.6,32.6,.336
Idaho State,29,11,18,.379,-6.42,-4.72,8,12,9,4,2,13,2054,2036,64.5,108.4,.453,.293,.546,52.3,49.3,11.1,8.7,.502,16.1,35.7,.323
Idaho,34,16,18,.471,-6.42,-3.72,7,9,7,6,5,9,2461,2536,66.9,107.0,.451,.326,.543,50.3,46.1,6.3,4.4,.505,14.6,31.2,.310
Illinois-Chicago,31,6,25,.194,-7.17,0.63,1,15,2,12,2,11,2071,2248,66.5,100.4,.389,.310,.515,50.4,48.5,8.3,5.0,.472,16.2,30.8,.278
Illinois State,34,18,16,.529,1.08,1.77,9,9,14,3,3,11,2323,2329,67.7,99.8,.410,.414,.515,48.1,53.3,11.3,13.6,.471,15.7,27.5,.289
Illinois,35,20,15,.571,10.33,8.28,7,11,10,6,6,7,2248,2176,62.8,102.0,.312,.341,.504,50.4,44.0,9.8,10.7,.465,14.0,31.2,.229
Incarnate Word,27,21,6,.778,-8.47,-10.74,9,5,14,1,7,5,2216,1935,73.4,111.4,.435,.330,.581,52.9,55.3,8.9,9.8,.552,16.5,32.2,.298
Indiana State,34,23,11,.676,3.29,1.19,12,6,11,2,8,7,2416,2328,66.5,106.9,.435,.348,.553,50.4,54.1,8.8,9.7,.511,14.9,27.4,.315
Indiana,32,17,15,.531,11.32,6.64,7,11,14,4,2,8,2312,2162,68.7,104.8,.453,.294,.546,55.4,47.2,8.6,11.2,.499,18.6,37.2,.331
Iona,33,22,11,.667,5.96,-0.10,17,3,11,2,9,8,2760,2560,71.0,117.2,.380,.439,.601,46.5,60.8,9.3,8.3,.574,13.2,26.1,.272
Iowa State,36,28,8,.778,18.52,9.88,11,7,15,1,4,6,2989,2678,71.7,113.9,.364,.375,.569,51.1,62.4,8.2,7.0,.542,12.6,28.8,.252
Iowa,33,20,13,.606,18.58,7.43,9,9,13,4,4,6,2689,2321,69.9,115.0,.453,.275,.558,54.7,57.9,10.0,13.5,.511,13.3,37.7,.333
Fort Wayne,36,25,11,.694,-0.20,-3.87,10,4,13,2,8,8,2774,2555,67.2,117.5,.410,.364,.605,52.8,53.3,10.1,6.2,.558,16.1,33.8,.271
IUPUI,32,6,26,.188,-14.33,-1.36,1,13,5,10,1,13,2126,2383,66.9,99.1,.319,.252,.517,46.7,42.6,7.5,7.5,.478,14.7,24.3,.237
Jackson State,31,11,20,.355,-11.62,-8.72,7,11,6,6,5,13,2041,2131,67.8,96.2,.403,.242,.502,51.1,41.6,8.9,10.1,.452,18.6,33.4,.292
Jacksonville State,31,10,21,.323,-11.97,-5.14,4,12,7,6,2,14,2014,2176,63.7,102.0,.426,.331,.513,47.6,53.4,9.9,9.8,.473,15.2,31.3,.287
Jacksonville,30,12,18,.400,-11.86,-4.86,8,10,10,5,2,13,2231,2385,70.7,105.2,.433,.320,.535,48.2,52.0,10.4,9.2,.492,16.4,32.8,.307
James Madison,31,11,20,.355,-7.65,-2.20,6,10,5,5,4,12,1961,2130,64.7,97.3,.474,.350,.506,49.0,42.0,9.0,9.5,.457,16.4,29.6,.325
Kansas State,33,20,13,.606,12.14,8.47,10,8,15,2,2,7,2280,2159,65.6,104.2,.403,.325,.520,50.7,63.0,9.4,8.0,.488,15.6,34.7,.264
Kansas,35,25,10,.714,20.25,11.40,14,4,14,1,5,6,2764,2454,68.6,114.3,.483,.287,.580,55.5,54.8,8.4,14.6,.542,16.3,37.3,.343
Kennesaw State,31,6,25,.194,-16.16,-4.05,3,15,4,11,2,14,2016,2304,68.2,95.3,.375,.334,.511,47.9,48.6,8.6,7.9,.480,20.0,31.7,.243
Kent State,32,16,16,.500,-1.81,-1.94,7,11,11,7,5,9,2228,2188,66.5,103.8,.369,.375,.530,49.3,47.3,9.3,9.7,.494,15.7,30.5,.260
Kentucky,40,29,11,.725,18.07,9.90,12,6,16,2,5,5,2992,2665,65.9,112.4,.518,.276,.543,56.6,44.4,7.1,14.9,.500,14.5,41.4,.353
La Salle,31,15,16,.484,4.10,4.75,7,9,8,5,4,8,2100,2120,65.2,102.2,.391,.312,.508,50.0,53.5,8.4,8.2,.464,14.8,33.1,.277
Lafayette,31,11,20,.355,-7.64,-3.38,6,12,6,7,5,13,2212,2315,65.6,107.9,.339,.349,.574,47.3,51.2,7.9,6.1,.540,16.3,26.8,.252
Lamar,30,4,26,.133,-16.61,-6.04,3,15,2,11,1,14,2001,2318,69.4,96.1,.398,.193,.517,46.8,50.8,7.7,7.1,.467,17.8,27.6,.296
Lehigh,32,14,18,.438,-6.52,-3.83,7,11,9,5,4,11,2121,2207,65.5,99.6,.327,.316,.523,47.6,54.9,7.5,9.0,.488,15.9,26.0,.231
Liberty,32,11,21,.344,-10.26,-7.47,5,11,7,8,2,12,2250,2234,65.4,107.4,.349,.282,.542,54.8,51.8,7.2,10.1,.509,17.0,37.9,.246
Lipscomb,30,15,15,.500,-8.20,-5.13,10,8,7,5,8,10,2276,2355,71.0,106.0,.475,.462,.552,46.9,57.2,9.4,5.7,.514,15.4,26.7,.325
Long Beach State,32,15,17,.469,1.44,2.71,10,6,9,4,5,9,2236,2255,66.5,103.8,.319,.322,.510,51.0,49.3,8.6,7.0,.482,15.1,35.7,.211
Long Island University,29,9,20,.310,-13.66,-5.55,4,12,5,6,4,11,2080,2315,68.5,104.2,.378,.382,.533,48.4,57.6,6.3,5.8,.494,16.0,31.0,.271
Longwood,32,8,24,.250,-20.31,-5.56,3,13,5,9,3,12,2235,2570,69.7,100.2,.320,.278,.526,45.5,53.0,9.7,5.2,.489,16.1,27.6,.234
Louisiana,35,23,12,.657,2.91,-0.28,11,7,13,2,6,9,2835,2633,71.2,111.4,.429,.315,.554,52.3,47.8,9.8,10.2,.522,15.2,36.3,.288
