School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Binghamton,31,11,20,.355,-10.29,-6.36,2,14,7,7,3,12,2147,2181,67.9,101.6,.297,.378,.530,49.6,47.8,8.0,11.6,.510,15.8,26.0,.190
Boise State,32,23,9,.719,11.21,3.05,13,5,15,1,6,6,2502,2210,70.7,108.8,.313,.425,.572,55.9,48.6,8.0,5.9,.542,16.5,29.3,.231
Boston College,35,19,16,.543,9.00,7.20,7,11,14,3,2,11,2673,2610,70.1,107.7,.307,.395,.554,51.6,51.9,7.1,8.8,.521,15.5,29.8,.228
Boston University,31,15,16,.484,-8.34,-5.84,10,8,6,7,9,9,2186,2226,68.8,102.5,.323,.355,.548,50.1,52.5,10.7,9.8,.529,17.6,28.6,.206
Bowling Green State,32,16,16,.500,-6.38,-2.88,7,11,9,6,6,9,2429,2490,71.9,103.6,.372,.352,.526,51.2,51.4,8.1,6.6,.483,15.0,30.0,.272
Bradley,33,20,13,.606,2.08,0.36,9,9,13,2,4,9,2223,2136,66.3,101.7,.372,.343,.528,51.8,58.2,9.8,12.9,.490,17.3,31.9,.263
Brigham Young,35,24,11,.686,8.04,1.53,11,7,13,3,7,6,2600,2372,67.9,108.2,.376,.341,.579,51.0,58.0,9.3,11.0,.541,15.2,22.4,.282
Brown,27,11,16,.407,-7.78,-4.67,4,10,8,5,3,11,2080,2133,72.7,104.0,.409,.361,.534,50.7,48.6,8.7,8.1,.483,15.7,30.3,.309
Bryant,31,3,28,.097,-18.75,-5.43,2,16,1,11,2,17,2169,2582,71.0,98.2,.278,.401,.509,44.7,54.1,8.6,3.9,.479,15.9,26.1,.196
Bucknell,35,25,10,.714,4.48,-3.46,16,2,15,1,10,8,2837,2559,72.4,110.3,.425,.392,.576,50.8,52.3,7.5,10.4,.539,15.1,26.9,.306
Buffalo,36,27,9,.750,7.99,0.25,15,3,14,1,8,5,3047,2742,73.9,113.3,.298,.406,.572,51.4,54.0,8.4,10.1,.549,14.3,31.6,.208
Butler,35,21,14,.600,16.92,10.55,9,9,14,3,3,7,2763,2540,69.7,110.9,.261,.374,.570,51.3,47.9,9.3,8.2,.540,13.9,27.1,.202
Cal Poly,31,9,22,.290,-11.55,-1.83,4,12,7,6,1,13,2082,2302,66.6,98.4,.263,.411,.509,47.5,51.6,7.3,10.2,.470,15.2,25.8,.205
Cal State Bakersfield,30,12,18,.400,-6.58,-0.73,5,9,8,4,3,12,1981,2068,67.5,97.9,.346,.367,.509,51.4,55.5,9.0,9.6,.473,17.6,32.2,.241
Cal State Fullerton,32,20,12,.625,-0.92,-1.02,10,6,9,4,7,7,2318,2245,70.0,102.7,.433,.291,.559,51.1,50.1,8.9,8.6,.516,18.0,26.8,.316
Cal State Northridge,30,6,24,.200,-13.51,-3.55,3,13,4,9,2,13,1983,2206,66.5,98.2,.280,.304,.518,46.0,50.1,7.4,6.3,.488,16.0,24.0,.198
UC-Davis,33,22,11,.667,0.94,-1.84,12,4,10,2,9,7,2388,2241,67.3,104.3,.393,.319,.561,48.4,49.0,10.2,6.9,.525,16.7,24.9,.282
UC-Irvine,35,18,17,.514,-0.21,-0.33,11,5,7,5,7,10,2440,2350,68.5,101.0,.288,.319,.521,55.0,47.8,7.4,10.7,.490,17.2,33.1,.204
UC-Riverside,31,9,22,.290,-8.50,-1.53,4,12,6,8,3,13,2024,2163,69.8,93.2,.326,.336,.493,47.7,54.3,8.8,8.9,.454,17.2,27.0,.229
UC-Santa Barbara,32,23,9,.719,2.10,-3.36,11,5,12,2,9,6,2425,2211,68.1,110.9,.314,.356,.558,52.1,54.8,7.0,9.8,.532,13.4,29.3,.219
University of California,32,8,24,.250,-3.40,6.06,2,16,5,12,3,8,2166,2483,70.6,95.6,.380,.275,.486,50.5,40.8,9.7,14.0,.446,17.4,34.7,.256
Campbell,34,18,16,.529,-5.68,-6.68,10,8,14,4,4,11,2581,2412,68.6,109.8,.347,.432,.593,48.5,54.1,9.7,11.1,.561,15.6,21.4,.260
Canisius,33,21,12,.636,0.44,-4.80,15,3,11,3,8,8,2519,2346,69.9,108.8,.299,.450,.568,49.5,61.4,10.0,8.1,.542,16.2,29.9,.213
Central Arkansas,35,18,17,.514,-5.83,-5.97,10,8,9,5,8,11,2819,2766,74.4,106.3,.361,.372,.557,47.5,57.8,8.8,12.1,.519,15.9,26.9,.265
Central Connecticut State,32,14,18,.438,-11.62,-7.59,7,11,8,4,6,14,2171,2300,66.3,100.3,.326,.345,.540,52.3,50.4,7.4,9.7,.510,19.1,31.1,.228
Central Florida,32,19,13,.594,4.75,3.75,9,9,12,4,5,6,2007,1975,64.9,96.2,.431,.331,.512,50.5,49.1,8.1,9.4,.478,18.0,28.5,.277
Central Michigan,36,21,15,.583,-1.39,-3.24,7,11,12,5,6,9,2835,2661,69.3,111.7,.325,.474,.561,50.7,51.6,9.0,9.4,.517,14.2,30.9,.262
Charleston Southern,31,15,16,.484,-8.15,-6.15,9,9,9,6,6,10,2232,2133,67.5,105.0,.324,.352,.539,51.2,45.9,10.5,11.8,.505,16.5,31.6,.234
Charlotte,29,6,23,.207,-10.13,0.27,2,16,4,11,2,12,2066,2317,72.2,98.2,.390,.345,.533,48.7,45.2,7.8,5.7,.493,18.1,26.3,.279
Chattanooga,33,10,23,.303,-11.09,-4.05,3,15,8,8,1,14,2289,2424,67.4,101.0,.347,.430,.545,49.2,53.7,7.3,5.6,.511,18.0,27.1,.247
Chicago State,32,3,29,.094,-21.53,1.17,1,13,3,8,0,19,2171,2756,74.0,91.7,.330,.289,.494,45.5,47.4,9.8,7.0,.452,18.0,26.7,.239
Cincinnati,36,31,5,.861,20.25,3.53,16,2,15,1,9,2,2673,2071,66.2,112.2,.360,.353,.543,55.6,60.4,10.7,15.8,.512,14.1,38.4,.249
Citadel,32,11,21,.344,-13.63,-2.94,5,13,7,8,3,12,2639,2819,79.6,102.8,.313,.527,.535,46.1,59.4,11.7,8.2,.504,16.2,27.4,.221
Clemson,35,25,10,.714,17.17,9.25,11,7,15,1,4,6,2584,2307,67.6,108.5,.335,.399,.566,51.7,51.5,8.3,13.3,.529,15.3,27.0,.253
Cleveland State,35,12,23,.343,-10.82,-3.64,6,12,7,7,2,15,2402,2613,69.2,98.5,.291,.439,.537,44.3,53.5,9.5,7.3,.509,17.0,22.2,.205
Coastal Carolina,32,14,18,.438,-3.91,-2.40,8,10,7,9,5,7,2298,2241,69.0,103.3,.387,.364,.535,54.2,53.1,7.7,11.5,.494,18.2,34.5,.279
Colgate,33,19,14,.576,-4.86,-5.73,12,6,13,3,6,11,2394,2315,67.5,107.5,.291,.451,.554,49.0,51.4,9.0,10.0,.518,14.4,26.0,.225
College of Charleston,34,26,8,.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,65.9,111.1,.367,.378,.567,49.6,44.2,7.8,9.8,.527,13.2,25.6,.277
Colorado State,32,11,21,.344,-3.86,3.79,4,14,8,8,3,10,2314,2537,71.4,100.0,.335,.352,.514,50.7,50.4,8.2,9.5,.476,15.9,30.7,.241
Colorado,32,17,15,.531,6.07,7.00,8,10,12,3,1,10,2307,2337,69.5,102.5,.333,.365,.542,52.4,50.5,6.2,10.5,.506,17.5,29.4,.243
Columbia,27,8,19,.296,-5.64,-3.02,5,9,7,5,1,14,2062,2085,71.0,106.6,.241,.435,.549,49.0,51.5,9.2,10.4,.522,15.2,27.6,.179
Connecticut,32,14,18,.438,1.08,6.05,7,11,11,5,2,9,2181,2340,67.3,99.7,.324,.360,.516,48.2,43.8,8.7,11.2,.475,16.0,28.8,.241
Coppin State,32,5,27,.156,-20.97,-7.25,5,11,4,6,1,20,1945,2384,69.1,86.3,.272,.476,.472,44.8,51.4,7.6,7.0,.433,18.3,22.3,.201
Cornell,28,12,16,.429,-8.80,-3.24,6,8,8,4,4,11,2124,2250,70.7,104.5,.356,.396,.563,48.0,60.3,7.1,8.7,.529,16.6,24.2,.260
Creighton,33,21,12,.636,16.35,8.10,10,8,16,2,4,7,2756,2444,72.9,113.7,.259,.450,.599,51.0,58.3,7.7,6.7,.575,13.9,22.3,.194
Dartmouth,27,7,20,.259,-10.31,-4.00,3,11,6,6,1,14,1841,1970,67.8,100.2,.327,.383,.548,48.5,55.1,8.3,9.3,.517,17.9,23.7,.233
Davidson,33,21,12,.636,11.02,2.57,13,5,11,1,6,8,2519,2240,65.3,115.6,.246,.484,.602,50.8,61.3,7.1,6.1,.574,13.1,22.3,.196
Dayton,31,14,17,.452,1.64,2.70,8,10,12,4,1,10,2244,2277,67.0,106.4,.318,.440,.583,49.7,60.7,7.7,7.3,.555,18.1,25.5,.232
Delaware State,32,4,28,.125,-24.59,-9.32,2,14,4,9,0,18,2034,2458,66.9,93.5,.290,.332,.502,48.2,46.9,8.7,8.2,.471,19.4,30.2,.201
Delaware,33,14,19,.424,-6.93,-2.96,6,12,7,8,4,10,2338,2428,67.0,105.0,.349,.311,.533,50.2,44.9,7.4,6.4,.508,13.9,27.2,.228
Denver,30,15,15,.500,-5.22,-2.54,8,6,10,4,3,9,2192,2189,68.7,104.5,.318,.310,.560,54.4,56.3,6.2,7.4,.535,18.7,31.4,.221
DePaul,31,11,20,.355,6.55,8.45,4,14,6,10,4,7,2230,2289,71.2,100.6,.294,.327,.512,51.7,56.8,9.0,9.2,.479,16.5,32.9,.208
Detroit Mercy,32,8,24,.250,-12.47,-2.07,4,14,5,11,2,11,2516,2743,75.4,103.8,.306,.401,.541,47.5,49.5,8.7,7.1,.504,15.8,27.6,.231
Drake,34,17,17,.500,-0.51,0.59,10,8,11,3,4,11,2506,2495,69.4,104.0,.325,.403,.551,48.4,58.5,8.5,6.7,.510,15.3,23.1,.250
Drexel,33,13,20,.394,-7.20,-2.48,6,12,9,5,2,11,2454,2591,70.1,104.4,.324,.351,.533,49.9,43.2,7.5,10.0,.498,15.1,30.7,.234
Duke,37,29,8,.784,24.44,9.71,13,5,15,1,6,5,3121,2576,70.7,118.5,.346,.363,.586,55.5,57.6,10.4,12.4,.559,14.7,38.6,.246
Duquesne,32,16,16,.500,-1.08,-3.33,7,11,13,6,2,7,2317,2245,66.5,106.4,.354,.398,.529,51.2,47.7,8.5,11.7,.497,14.9,33.0,.242
East Carolina,30,10,20,.333,-8.72,-0.22,4,14,8,11,2,8,1993,2248,68.8,95.3,.287,.346,.509,47.9,52.4,7.1,7.9,.483,18.0,27.8,.191
East Tennessee State,34,25,9,.735,3.72,-4.09,14,4,12,4,11,4,2556,2241,69.7,107.8,.331,.363,.564,52.9,54.0,11.2,12.7,.536,16.7,31.2,.235
Eastern Illinois,31,12,19,.387,-8.33,-3.40,7,11,7,6,4,12,2065,2120,66.4,99.9,.319,.363,.519,49.9,53.6,8.8,13.1,.489,17.3,30.3,.218
Eastern Kentucky,31,11,20,.355,-10.57,-3.68,5,13,6,7,5,12,2230,2371,70.0,102.4,.337,.359,.540,48.0,52.1,8.9,9.9,.501,16.3,27.1,.252
Eastern Michigan,35,22,13,.629,-0.23,-2.81,11,7,14,3,7,9,2509,2339,67.6,104.9,.298,.347,.547,49.7,48.2,12.7,18.6,.522,16.3,29.8,.203
Eastern Washington,35,20,15,.571,-0.03,-1.55,13,5,11,1,6,12,2619,2520,69.2,107.3,.284,.411,.572,49.6,47.0,7.6,8.1,.541,14.9,22.2,.217
Elon,32,14,18,.438,-6.89,-1.69,6,12,8,5,4,12,2346,2437,68.0,104.5,.239,.504,.550,48.2,60.2,6.2,5.8,.527,14.9,22.5,.170
Evansville,32,17,15,.531,0.69,1.35,7,11,15,3,2,10,2094,2045,65.9,99.0,.350,.271,.543,50.8,57.0,9.0,9.5,.498,18.3,24.3,.271
Fairfield,33,17,16,.515,-4.98,-3.68,9,9,10,3,3,10,2506,2549,72.1,103.3,.309,.444,.544,48.3,55.3,8.7,7.6,.514,15.4,24.5,.220
Fairleigh Dickinson,31,13,18,.419,-10.42,-5.66,9,9,8,5,5,13,2313,2350,71.8,104.0,.307,.334,.540,48.3,49.4,9.9,8.7,.508,16.6,30.8,.223
Florida A&M,34,9,25,.265,-19.22,-8.34,7,9,6,4,2,20,2343,2684,69.6,97.3,.324,.311,.513,45.2,44.5,8.1,7.8,.474,17.1,27.6,.234
Florida Atlantic,31,12,19,.387,-5.36,-0.14,6,12,7,7,4,10,2155,2172,70.9,97.6,.278,.286,.493,50.6,47.6,8.2,10.0,.456,15.3,29.2,.205
Florida Gulf Coast,35,23,12,.657,1.93,-5.44,12,2,14,6,9,6,2847,2515,73.3,111.0,.321,.330,.583,53.8,51.2,10.0,7.6,.554,16.8,31.7,.238
Florida International,32,14,18,.438,-4.30,-1.99,8,10,11,7,3,9,2262,2278,69.8,99.0,.368,.331,.503,47.8,46.4,10.6,9.0,.479,13.6,25.5,.224
Florida State,35,23,12,.657,15.79,8.50,9,9,13,2,4,7,2806,2551,72.2,109.4,.370,.368,.562,51.8,52.6,9.4,14.0,.532,15.4,31.7,.256
Florida,34,21,13,.618,16.67,10.08,11,7,12,5,5,4,2577,2353,68.4,109.6,.326,.403,.540,48.5,49.8,10.1,12.7,.507,12.3,28.7,.234
Fordham,31,9,22,.290,-6.74,1.26,4,14,8,9,1,10,1931,2179,66.8,92.4,.269,.468,.510,42.6,60.5,13.5,6.4,.479,16.9,18.7,.190
Fresno State,32,21,11,.656,8.17,1.84,11,7,12,5,8,5,2459,2201,68.5,110.9,.378,.304,.578,51.9,46.9,9.8,9.3,.550,15.3,28.2,.262
Furman,33,23,10,.697,4.43,-3.64,13,5,13,3,7,6,2619,2260,70.5,112.1,.278,.474,.577,50.1,55.8,11.3,6.0,.554,14.4,27.5,.198
Gardner-Webb,32,14,18,.438,-9.68,-3.79,9,9,11,2,3,13,2258,2307,69.1,100.6,.284,.365,.538,50.7,50.5,8.7,8.5,.508,17.2,26.8,.204
George Mason,33,16,17,.485,-2.99,0.83,9,9,10,7,5,7,2371,2497,69.6,101.4,.318,.362,.529,50.8,44.9,8.6,8.0,.491,15.9,27.9,.236
George Washington,33,15,18,.455,-0.72,2.13,7,11,13,5,1,10,2225,2319,66.3,101.8,.289,.301,.526,50.8,52.9,8.6,13.1,.495,16.5,31.7,.205
Georgetown,30,15,15,.500,7.16,5.29,5,13,11,8,4,6,2350,2294,71.7,106.2,.383,.351,.564,53.3,65.3,7.4,9.8,.518,18.0,31.1,.297
Georgia Southern,33,21,12,.636,-0.54,-3.28,11,7,10,3,8,7,2504,2315,70.5,107.2,.396,.394,.529,49.5,38.9,9.7,10.4,.497,13.6,31.1,.263
Georgia State,35,24,11,.686,3.23,-2.78,12,6,11,3,9,6,2614,2356,68.0,108.7,.303,.413,.562,47.7,48.6,10.6,15.1,.540,14.5,25.6,.205
Georgia Tech,32,13,19,.406,5.25,7.47,6,12,12,7,1,10,2101,2172,66.5,98.4,.348,.277,.509,50.0,54.3,10.3,14.3,.469,16.6,30.8,.248
Georgia,33,18,15,.545,10.24,8.87,7,11,11,4,4,9,2247,2202,65.3,102.7,.401,.346,.517,53.6,52.4,5.8,12.7,.475,16.2,34.8,.281
Gonzaga,37,32,5,.865,18.43,2.59,17,1,15,1,10,1,3091,2505,69.8,118.0,.321,.394,.593,56.0,50.1,8.9,9.6,.570,13.9,32.4,.227
Grambling,31,17,14,.548,-12.97,-10.30,13,5,6,4,11,10,2257,2321,73.8,97.8,.415,.254,.509,50.7,44.0,10.4,9.7,.461,17.7,31.9,.295
Grand Canyon,34,22,12,.647,3.76,-4.81,9,5,16,3,3,7,2512,2213,70.4,104.2,.394,.391,.531,51.4,63.2,8.8,10.1,.492,16.0,31.4,.277
Green Bay,33,13,20,.394,-8.51,-4.08,7,11,10,6,2,13,2517,2499,74.1,102.2,.331,.401,.537,48.7,53.4,9.2,7.8,.497,16.2,26.3,.249
Hampton,34,18,16,.529,-8.85,-9.57,11,4,11,3,5,11,2703,2603,75.0,105.2,.335,.289,.537,50.9,53.4,7.1,8.9,.492,14.9,29.6,.260
Hartford,33,19,14,.576,-5.54,-5.26,11,5,9,7,9,6,2326,2318,67.7,103.7,.309,.426,.551,48.9,51.9,8.9,11.2,.527,16.0,24.9,.210
Harvard,32,18,14,.563,-0.28,-1.70,12,2,10,2,6,11,2182,2129,66.5,100.6,.288,.411,.541,52.0,53.1,8.0,11.4,.503,18.1,26.7,.224
Hawaii,30,17,13,.567,-2.32,-2.50,8,8,13,7,4,5,2104,2071,68.9,100.5,.411,.376,.540,50.8,59.4,8.1,5.7,.504,17.1,26.7,.282
High Point,30,14,16,.467,-6.74,-6.37,9,9,11,4,3,11,2126,1993,67.1,105.1,.348,.270,.540,51.6,45.5,11.0,8.5,.507,16.0,31.7,.244
Hofstra,31,19,12,.613,-0.53,-1.60,12,6,9,4,9,4,2464,2397,70.3,112.6,.367,.371,.562,51.4,47.6,7.1,7.0,.534,13.2,30.8,.251
Holy Cross,31,12,19,.387,-9.93,-5.83,8,10,6,7,6,10,1972,2099,63.7,99.0,.296,.397,.551,45.0,58.1,9.7,11.4,.526,17.6,19.3,.205
Houston Baptist,31,6,25,.194,-16.14,-3.96,2,16,5,8,1,16,2382,2617,75.6,100.8,.345,.329,.497,50.9,50.2,8.7,7.5,.471,15.5,35.3,.215
Houston,35,27,8,.771,15.99,4.16,14,4,15,0,6,5,2685,2271,68.5,111.9,.326,.372,.563,54.6,53.0,9.1,9.0,.533,14.9,33.4,.234
Howard,33,10,23,.303,-17.26,-9.75,7,9,7,4,2,18,2449,2654,71.3,102.1,.345,.387,.527,46.8,48.1,7.4,7.3,.491,16.0,29.3,.244
Idaho State,30,14,16,.467,-5.77,-3.70,9,9,9,5,5,10,2211,2232,70.9,104.0,.362,.389,.575,48.0,45.5,7.9,6.1,.552,17.5,21.1,.246
Idaho,31,22,9,.710,0.82,-3.94,14,4,11,2,9,4,2330,2134,68.0,110.1,.323,.388,.577,54.8,56.0,6.4,7.8,.547,16.9,31.3,.237
Illinois-Chicago,36,20,16,.556,-2.91,-4.21,12,6,11,7,9,8,2708,2597,73.6,101.8,.363,.330,.546,50.9,47.4,9.2,16.1,.507,18.0,28.7,.267
Illinois State,33,18,15,.545,1.08,3.67,10,8,11,3,3,10,2364,2418,69.4,101.0,.334,.461,.532,47.6,57.6,9.2,11.2,.503,16.5,25.8,.228
Illinois,32,14,18,.438,8.50,7.53,4,14,12,6,1,10,2426,2362,70.8,105.8,.335,.362,.537,49.8,51.6,10.5,6.3,.500,15.8,34.1,.245
Incarnate Word,28,7,21,.250,-17.71,-5.04,2,16,6,9,1,12,1978,2163,72.5,97.4,.402,.315,.530,47.6,46.3,8.3,12.3,.481,19.2,28.2,.300
Indiana State,31,13,18,.419,1.54,2.43,8,10,8,7,5,7,2248,2253,70.1,100.6,.357,.415,.533,51.1,47.2,10.4,9.7,.498,17.4,28.1,.252
Indiana,31,16,15,.516,9.89,8.25,9,9,12,6,3,8,2229,2178,67.5,105.2,.364,.341,.538,51.0,54.0,9.4,12.1,.511,15.7,31.8,.239
Iona,34,20,14,.588,0.76,-2.19,11,7,8,3,7,8,2702,2602,71.5,109.1,.302,.408,.569,47.2,56.6,9.2,7.6,.539,14.3,24.3,.223
Iowa State,31,13,18,.419,6.88,9.49,4,14,9,7,0,10,2258,2339,69.6,103.9,.298,.349,.529,49.5,51.8,6.9,11.1,.499,14.7,29.6,.209
Iowa,33,14,19,.424,8.13,7.13,4,14,9,6,1,10,2630,2597,71.0,111.4,.354,.340,.570,53.5,63.6,7.3,10.3,.543,16.0,34.1,.246
Purdue-Fort Wayne,33,18,15,.545,-1.49,-3.24,7,7,13,3,4,10,2716,2535,74.6,109.9,.315,.446,.570,49.6,50.8,10.7,8.8,.541,14.1,26.1,.227
IUPUI,30,11,19,.367,-9.82,-3.53,8,10,9,4,2,14,2047,2180,68.7,98.9,.324,.348,.515,50.0,52.7,9.9,10.2,.486,17.7,31.7,.216
Jackson State,32,12,20,.375,-17.66,-10.49,9,9,9,2,2,17,1991,2161,65.4,94.0,.259,.377,.462,47.5,49.0,11.1,8.8,.434,14.6,31.0,.169
Jacksonville State,36,23,13,.639,-0.30,-4.87,11,7,12,4,9,8,2587,2369,67.9,105.1,.314,.311,.538,54.0,56.8,8.9,14.9,.507,16.3,32.8,.224
Jacksonville,33,15,18,.455,-13.39,-6.12,8,6,10,6,3,12,2405,2482,72.4,98.8,.312,.302,.525,49.2,46.3,9.3,8.9,.501,17.1,27.3,.205
James Madison,32,10,22,.313,-5.47,-2.15,6,12,7,7,3,11,2341,2414,69.4,103.0,.345,.360,.520,49.8,47.8,10.0,9.5,.480,14.5,29.8,.251
Kansas State,37,25,12,.676,12.84,8.74,10,8,14,3,6,5,2630,2478,66.6,106.3,.338,.368,.560,47.4,54.4,11.9,9.3,.525,15.3,25.5,.248
Kansas,39,31,8,.795,21.39,11.87,13,5,14,3,8,3,3174,2803,70.3,115.3,.270,.412,.594,50.3,55.7,9.2,10.9,.575,14.6,28.8,.191
Kennesaw State,30,10,20,.333,-11.17,-4.31,6,8,8,6,2,14,2182,2328,71.4,101.4,.337,.247,.531,48.3,55.4,10.0,7.8,.500,16.6,29.5,.233
Kent State,34,17,17,.500,-3.72,-1.75,9,9,13,3,2,11,2482,2502,70.3,103.2,.325,.382,.525,50.5,45.1,8.4,9.7,.487,15.7,31.7,.237
Kentucky,37,26,11,.703,17.24,10.73,10,8,16,2,4,6,2840,2599,69.8,109.6,.440,.258,.555,53.6,49.0,8.0,13.7,.518,15.8,35.3,.307
La Salle,32,13,19,.406,1.70,2.54,7,11,10,4,2,10,2333,2360,69.0,102.8,.310,.373,.534,49.7,50.2,8.3,7.3,.490,14.6,25.5,.244
Lafayette,31,10,21,.323,-9.78,-6.04,7,11,8,6,2,14,2207,2307,68.9,102.9,.297,.414,.566,48.5,49.7,6.1,8.8,.532,17.4,21.1,.228
Lamar,33,19,14,.576,-5.19,-7.22,11,7,11,4,8,7,2500,2296,71.1,105.0,.374,.370,.524,51.4,51.4,11.8,6.4,.494,15.3,32.7,.245
Lehigh,30,16,14,.533,-6.42,-5.66,11,7,9,6,7,8,2336,2333,71.0,107.0,.260,.391,.563,49.9,51.3,8.4,5.1,.532,15.5,25.4,.202
Liberty,37,22,15,.595,-2.67,-6.23,9,9,13,7,7,6,2621,2353,64.2,108.2,.339,.413,.579,53.1,58.0,9.0,9.1,.539,16.2,23.8,.268
Lipscomb,33,23,10,.697,-2.10,-3.80,10,4,13,2,10,7,2708,2564,77.0,105.0,.405,.399,.557,52.2,56.0,8.4,8.0,.518,16.9,28.3,.291
Long Beach State,33,15,18,.455,-3.75,0.89,9,7,8,5,6,10,2485,2586,72.3,103.4,.399,.291,.545,51.2,48.4,9.1,8.9,.503,18.0,32.6,.291
Long Island University,35,18,17,.514,-8.61,-8.19,10,8,12,4,5,11,2696,2674,72.9,105.3,.382,.397,.555,51.0,47.3,7.6,7.6,.523,17.0,29.6,.266
Longwood,33,7,26,.212,-18.31,-4.31,3,15,5,11,2,13,2088,2445,69.7,90.8,.335,.392,.511,46.2,44.9,9.5,9.1,.477,20.2,23.0,.230
