School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Colorado,30,15,15,.500,11.10,5.65,5,11,8,7,6,6,2419,2250,106.3,.431,.285,.552,53.3,61.8,10.0,7.9,.512,18.4,37.1,.307
Columbia,27,12,15,.444,-10.79,-7.51,7,7,9,3,2,12,1539,1591,91.2,.407,.369,.524,48.6,64.8,8.3,11.2,.482,22.0,25.1,.288
Connecticut,32,20,12,.625,10.17,5.43,8,8,17,2,1,8,2348,2185,106.1,.406,.161,.532,54.1,51.6,11.6,9.7,.492,17.9,42.9,.284
Coppin State,28,13,15,.464,-12.03,-9.39,11,8,7,5,4,9,1806,1880,95.5,.372,.268,.504,49.1,40.8,8.6,8.2,.455,19.6,33.7,.276
Cornell,27,7,20,.259,-14.40,-7.52,3,11,4,8,3,9,1686,1832,95.1,.360,.393,.484,49.6,50.5,10.9,4.4,.447,17.2,32.9,.240
Creighton,32,24,8,.750,12.40,3.00,14,4,14,0,7,5,2325,2024,106.2,.400,.389,.548,50.8,62.2,13.4,10.3,.512,16.7,32.3,.281
Dartmouth,27,8,19,.296,-14.38,-7.34,3,11,6,7,2,11,1720,1883,94.8,.341,.460,.516,45.5,67.4,8.8,6.1,.478,18.3,23.5,.242
Davidson,32,15,17,.469,-8.76,-3.65,7,9,10,4,2,9,2208,2238,95.6,.385,.306,.514,51.1,56.6,9.1,9.5,.480,21.1,34.5,.255
Dayton,34,21,13,.618,9.73,6.14,9,7,12,6,6,6,2418,2296,108.2,.387,.370,.551,53.4,63.1,9.2,6.5,.510,18.0,39.2,.284
Delaware State,28,13,15,.464,-15.11,-10.97,11,7,8,3,5,11,1785,1901,100.1,.313,.372,.518,46.9,61.6,10.7,6.7,.492,18.0,32.8,.207
Delaware,30,20,10,.667,1.90,-6.04,14,4,12,2,7,8,2252,2014,106.7,.334,.378,.561,52.6,57.8,10.4,12.5,.535,19.5,35.2,.230
Denver,28,10,18,.357,-7.30,-1.30,5,11,6,9,4,8,1888,1978,93.6,.325,.299,.492,51.1,51.2,9.2,6.0,.470,19.6,34.6,.194
DePaul,30,12,18,.400,5.34,8.02,4,12,8,8,3,8,2168,2219,103.5,.384,.315,.526,51.2,57.3,7.6,8.8,.492,17.4,35.8,.259
Detroit Mercy,37,25,12,.676,7.83,2.44,10,4,13,0,9,7,2600,2381,110.5,.347,.366,.548,51.9,51.4,9.1,7.9,.520,15.9,38.5,.236
Drake,28,12,16,.429,0.83,-0.21,8,10,10,5,2,10,1965,1936,105.5,.388,.350,.573,51.3,57.6,7.5,6.2,.530,18.1,27.8,.295
Drexel,27,15,12,.556,-4.06,-5.43,12,6,9,2,5,9,2025,1988,104.3,.401,.288,.559,53.9,56.8,7.4,4.9,.528,19.7,34.3,.273
