School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Cincinnati,32,13,19,.406,4.86,8.51,8,10,10,7,3,11,2067,2168,.328,.356,.501,52.6,55.4,4.4,.471,17.8,.218
Citadel,30,6,24,.200,-16.99,-1.14,1,19,6,10,0,12,1903,2228,.208,.440,.516,44.0,51.5,2.2,.496,16.8,.142
Clemson,34,24,10,.706,18.05,9.08,10,6,14,2,7,5,2693,2372,.309,.332,.536,51.5,53.5,9.4,.518,16.7,.193
Cleveland State,34,21,13,.618,3.38,1.69,12,6,12,3,6,9,2281,2161,.387,.271,.520,52.4,51.2,6.7,.480,17.9,.271
Coastal Carolina,28,13,15,.464,-11.52,-5.44,6,8,11,3,2,12,1936,2004,.291,.412,.538,48.8,61.0,3.7,.514,16.9,.197
Colgate,32,18,14,.563,-5.63,-5.06,7,7,9,5,8,9,2095,2076,.379,.298,.535,50.1,49.6,6.9,.499,21.0,.264
College of Charleston,33,16,17,.485,-2.22,-2.31,9,11,9,4,4,10,2391,2388,.273,.382,.550,49.7,47.1,6.3,.527,17.6,.190
Colorado State,32,7,25,.219,-7.09,2.80,0,16,3,10,0,14,2051,2318,.290,.335,.524,47.5,51.5,5.5,.492,18.2,.209
Colorado,32,12,20,.375,4.05,6.76,3,13,6,9,3,10,1997,2061,.345,.349,.541,47.3,59.4,8.1,.511,18.8,.236
Columbia,29,14,15,.483,-8.45,-5.79,7,7,7,6,6,9,1846,1859,.343,.411,.528,50.5,61.8,3.2,.490,18.7,.248
Connecticut,33,24,9,.727,15.54,6.76,13,5,16,1,7,4,2556,2266,.481,.247,.553,54.2,56.2,13.1,.506,16.3,.347
Coppin State,37,16,21,.432,-14.51,-6.20,7,9,5,5,4,14,2212,2443,.372,.240,.485,46.5,44.8,4.0,.437,19.1,.265
Cornell,28,22,6,.786,0.76,-4.74,14,0,12,1,10,4,2136,1917,.330,.357,.591,50.3,56.3,5.6,.558,17.4,.251
Creighton,33,22,11,.667,8.06,4.45,10,8,16,2,5,8,2360,2177,.334,.407,.553,51.0,57.5,6.5,.521,18.0,.240
