School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
South Carolina,34,23,11,.676,12.77,5.33,8,8,14,3,5,6,2383,2130,1375,846,1948,.434,226,691,.327,465,690,.674,423,1224,499,300,178,448,609,,,.354,.355,.524,49.3,59.0,,9.3,.492,16.4,,.239,+15.02,109.7,94.7,65.5,-.000,+6.15,105.8,99.6,-8.05
South Carolina State,29,18,11,.621,-6.82,-10.14,14,4,10,1,6,6,2003,1888,1160,690,1533,.450,146,442,.330,477,659,.724,348,985,327,247,56,469,569,,,.430,.288,.543,53.5,47.4,,3.8,.498,20.3,,.311,-5.32,101.0,106.3,65.5,+.019,-11.89,95.6,107.5,+4.45
South Florida,27,7,20,.259,-2.30,4.92,1,15,6,9,1,11,1654,1849,,591,1379,.429,123,385,.319,349,534,.654,279,921,350,142,143,414,486,,,.387,.279,.507,48.7,59.2,,9.2,.473,20.2,,.253,-5.21,99.7,104.9,63.5,-.044,+4.40,104.7,100.3,+0.47
Southeast Missouri State,27,11,16,.407,-5.49,-3.25,4,12,8,5,2,11,1918,1930,1080,687,1525,.450,201,534,.376,343,482,.712,280,861,367,181,59,329,456,,,.316,.350,.547,48.8,53.4,,4.0,.516,15.8,,.225,-5.66,107.4,113.1,63.5,-.048,-2.94,102.8,105.8,+1.45
Southeastern Louisiana,29,20,9,.690,-5.07,-7.95,11,5,14,1,5,7,2132,1982,,743,1637,.454,167,506,.330,479,703,.681,337,1026,403,208,93,405,546,,,.429,.309,.541,51.2,54.2,,5.8,.505,17.0,,.293,-3.96,101.4,105.3,66.2,+.021,-8.86,98.0,106.9,-4.27
Southern,28,12,16,.429,-13.00,-12.78,9,9,8,4,4,11,1947,1930,1125,718,1636,.439,130,422,.308,381,609,.626,374,965,330,257,104,458,572,,,.372,.258,.506,48.5,46.0,,7.0,.479,19.2,,.233,-13.49,96.6,110.0,68.0,-.078,-13.33,93.7,107.0,-3.38
Southern California,28,13,15,.464,3.13,6.52,8,10,7,7,6,6,2111,2206,1145,746,1727,.432,191,621,.308,428,646,.663,358,1020,383,249,93,428,577,,,.374,.360,.519,49.6,51.3,,5.7,.487,17.4,,.248,+2.32,104.6,102.3,70.3,+.086,+6.21,107.9,101.6,+3.17
Southern Illinois,30,25,5,.833,10.70,2.64,17,1,13,1,11,2,2131,1889,1200,787,1775,.443,185,548,.338,372,540,.689,393,1057,424,302,91,360,576,,,.304,.309,.524,50.5,53.9,,5.9,.495,15.1,,.210,+14.33,109.1,94.8,65.2,+.046,+2.54,105.1,102.5,+2.25
Southern Methodist,30,12,18,.400,0.69,4.79,5,13,4,8,5,8,1937,2060,,693,1607,.431,187,578,.324,364,542,.672,319,949,374,225,88,438,476,,,.337,.360,.519,47.1,54.0,,5.2,.489,19.0,,.227,+1.72,105.2,103.5,62.4,+.001,+6.16,106.1,100.0,+2.44
Southern Mississippi,28,13,15,.464,-1.70,3.00,6,10,8,4,2,10,1817,1912,,652,1546,.422,121,381,.318,392,589,.666,337,1016,345,195,73,413,513,,,.381,.246,.498,52.1,52.9,,4.7,.461,18.4,,.254,-1.72,100.5,102.2,64.1,+.054,+3.43,104.0,100.6,-3.23
Southern Utah,28,10,18,.357,-8.38,-0.61,6,10,7,6,3,11,1804,1947,1130,636,1324,.480,178,420,.424,354,528,.670,211,789,331,219,65,427,502,,,.399,.317,.573,46.1,52.0,,4.4,.548,21.3,,.267,-9.85,100.7,110.5,62.5,-.004,-0.34,104.5,104.9,+4.79
St. Bonaventure,28,7,21,.250,-7.09,4.19,3,13,7,6,0,12,1904,2220,1125,683,1739,.393,222,692,.321,316,442,.715,346,919,353,212,54,369,542,,,.254,.398,.488,44.3,51.7,,3.3,.457,15.9,,.182,-8.95,100.8,109.7,69.1,+.037,+5.56,106.5,101.0,+2.66
St. Francis (NY),28,15,13,.536,-7.22,-8.76,12,6,8,4,6,7,1997,1954,1125,702,1644,.427,258,720,.358,335,504,.665,307,981,377,241,115,428,597,,,.307,.438,.530,48.5,53.7,,7.5,.505,18.5,,.204,-7.22,98.0,105.2,68.6,-.015,-10.16,98.0,108.2,-8.40
St. John's (NY),27,6,21,.222,-1.08,7.85,1,15,5,11,1,10,1673,1914,1095,638,1608,.397,120,381,.315,277,432,.641,401,995,290,217,117,414,484,,,.269,.237,.461,49.7,45.5,,7.7,.434,18.6,,.172,-4.31,98.9,103.2,65.0,-.017,+7.54,106.8,99.3,+0.34
Stanford,32,30,2,.938,17.46,4.34,17,1,14,0,10,1,2356,1936,1280,849,1771,.479,169,464,.364,489,651,.751,366,1178,513,206,140,453,573,,,.368,.262,.566,55.0,60.4,,8.0,.527,17.9,,.276,+22.52,111.9,89.3,64.5,+.051,+3.76,105.9,102.2,-1.79
Stephen F. Austin,30,21,9,.700,-2.10,-9.33,10,6,16,0,5,9,2138,1821,,786,1715,.458,179,481,.372,387,548,.706,350,1002,381,266,45,417,616,,,.320,.280,.541,50.7,48.5,,3.1,.510,17.4,,.226,+1.45,99.6,98.2,63.4,-.075,-9.43,98.4,107.8,-9.43
Stetson,27,12,15,.444,-10.23,-3.87,10,10,8,6,4,8,1835,1958,1100,650,1592,.408,120,405,.296,415,595,.697,385,980,300,262,59,410,498,,,.374,.254,.489,50.3,46.2,,3.8,.446,17.9,,.261,-11.74,95.6,107.4,65.1,+.099,-3.77,102.5,106.3,+10.04
Stony Brook,30,10,20,.333,-11.55,-6.48,5,13,5,9,4,10,1877,2029,1225,664,1568,.423,133,421,.316,416,604,.689,328,980,320,219,76,456,551,,,.385,.268,.506,49.6,48.2,,4.7,.466,19.7,,.265,-14.69,95.4,110.1,64.0,+.016,-8.12,97.0,105.1,-7.24
Syracuse,31,23,8,.742,13.06,7.61,11,5,14,3,6,3,2265,2096,1245,847,1827,.464,141,430,.328,430,669,.643,423,1180,465,235,205,396,554,,,.366,.235,.528,50.6,54.9,,11.1,.502,15.6,,.235,+16.34,113.1,96.7,65.7,+.086,+7.88,107.4,99.6,-4.61
Temple,29,15,14,.517,5.58,5.16,9,7,8,5,6,6,1889,1877,,657,1717,.383,202,721,.280,373,572,.652,417,1054,252,243,83,260,477,,,.333,.420,.475,50.0,38.4,,5.5,.441,11.6,,.217,+7.23,109.8,102.5,60.1,+.011,+6.05,106.2,100.2,+6.95
Tennessee,29,15,14,.517,7.39,7.18,7,9,14,3,1,10,2063,2057,,702,1592,.441,160,461,.347,499,688,.725,365,1067,434,173,96,435,533,,,.432,.290,.538,52.2,61.8,,5.7,.491,18.5,,.313,+7.30,108.5,101.2,66.1,+.020,+7.83,107.6,99.8,-6.49
Tennessee State,28,7,21,.250,-11.41,-1.91,6,10,5,7,2,14,1932,2179,1120,703,1693,.415,227,641,.354,299,444,.673,324,860,396,199,47,335,580,,,.262,.379,.507,44.4,56.3,,3.2,.482,15.0,,.177,-10.29,103.6,113.9,66.3,-.051,-0.74,104.6,105.3,+7.82
Tennessee Tech,28,13,15,.464,-6.23,-2.75,7,9,11,4,2,11,2150,2126,1130,778,1714,.454,231,628,.368,363,507,.716,352,1024,432,191,60,409,552,,,.296,.366,.550,51.4,55.5,,3.8,.521,17.3,,.212,-6.76,104.2,111.0,67.7,+.002,-2.62,103.3,105.9,+2.27
Tennessee-Martin,28,10,18,.357,-8.57,-2.72,5,11,8,4,1,13,2037,2138,,737,1683,.438,179,564,.317,384,570,.674,360,1031,439,229,75,441,539,,,.339,.335,.521,49.8,59.6,,4.5,.491,18.4,,.228,-8.87,99.6,108.5,68.9,-.045,-1.94,103.5,105.4,+4.72
Texas,33,25,8,.758,18.52,8.40,12,4,15,1,6,3,2529,2195,1335,904,2046,.442,227,610,.372,494,726,.680,517,1355,447,219,125,388,645,,,.355,.298,.529,54.5,49.4,,6.7,.497,14.0,,.241,+21.54,115.6,94.1,64.7,+.038,+9.27,109.1,99.8,+0.80
Texas A&M,28,7,21,.250,-1.51,3.03,0,16,5,9,2,11,2013,2140,1140,703,1690,.416,171,525,.326,436,637,.684,441,1065,415,172,35,417,593,,,.377,.311,.505,53.3,59.0,,2.3,.467,17.3,,.258,-3.58,105.6,109.2,66.8,-.131,+4.45,105.2,100.7,-13.03
Texas A&M-Corpus Christi,26,15,11,.577,-5.73,-4.64,,,10,3,5,8,1901,1840,,689,1482,.465,119,357,.333,404,568,.711,355,969,411,189,43,448,464,,,.383,.241,.543,55.1,59.7,,3.0,.505,20.4,,.273,-5.13,102.4,107.5,67.6,+.033,-4.41,100.3,104.8,-2.39
Texas Christian,29,12,17,.414,1.39,4.98,7,9,8,9,3,7,1941,2045,1165,660,1593,.414,185,555,.333,436,645,.676,333,1013,366,177,70,428,562,,,.405,.348,.511,48.9,55.5,,4.2,.472,18.4,,.274,+0.08,102.9,102.8,66.1,-.001,+3.94,104.9,101.0,-0.22
Texas Southern,29,14,15,.483,-13.84,-12.98,10,8,11,1,2,13,1918,1923,,636,1545,.412,108,401,.269,538,822,.655,363,1082,301,204,75,545,563,,,.532,.260,.495,51.9,47.3,,4.4,.447,22.0,,.348,-15.39,87.9,103.3,69.2,+.004,-13.94,94.3,108.2,-5.29
Texas State,28,13,15,.464,-9.19,-7.01,8,8,9,3,3,9,1933,1933,,669,1532,.437,210,597,.352,385,526,.732,326,941,405,195,56,417,600,,,.343,.390,.542,50.3,60.5,,3.8,.505,19.0,,.251,-9.46,101.7,111.2,63.0,-.040,-6.72,99.1,105.8,+3.38
Texas Tech,34,23,11,.676,14.71,8.21,9,7,15,1,4,7,2490,2269,1365,922,1985,.464,125,371,.337,521,703,.741,385,1153,505,278,117,424,562,,,.354,.187,.537,48.7,54.8,,6.1,.496,15.5,,.262,+17.11,111.4,94.3,66.7,+.010,+8.29,108.4,100.1,+2.29
Texas-Arlington,29,17,12,.586,-6.13,-6.47,11,5,12,2,5,8,2097,2036,1160,704,1518,.464,134,367,.365,555,745,.745,324,1007,355,193,85,481,511,,,.491,.242,.560,52.3,50.4,,5.2,.508,20.4,,.366,-4.64,103.9,108.5,65.4,+.024,-6.83,98.7,105.5,+2.63
Texas-El Paso,32,24,8,.750,11.42,3.55,13,5,16,1,6,5,2479,2161,1280,834,1748,.477,197,513,.384,614,817,.752,328,1106,523,228,86,445,572,,,.467,.293,.580,49.9,62.7,,4.6,.533,17.2,,.351,+14.69,112.5,97.8,68.2,+.046,+4.31,104.2,99.9,-6.38
Texas-San Antonio,33,19,14,.576,-7.22,-6.11,11,5,11,5,7,5,2400,2367,,813,1896,.429,234,648,.361,540,775,.697,415,1242,421,251,99,564,635,,,.409,.342,.530,50.6,51.8,,5.0,.491,19.9,,.285,-7.69,98.0,105.7,68.7,+.103,-7.71,99.1,106.8,-5.14
Toledo,31,20,11,.645,2.23,0.97,12,6,11,1,8,9,2379,2340,1245,836,1794,.466,225,576,.391,482,671,.718,342,1045,458,240,76,460,680,,,.374,.321,.563,48.8,54.8,,4.4,.529,17.9,,.269,+4.36,109.0,104.7,69.6,+.115,+1.39,104.7,103.3,+6.00
Towson,29,8,21,.276,-10.09,-1.71,4,14,5,8,2,13,1772,2015,1165,618,1568,.394,157,471,.333,379,572,.663,342,977,386,193,117,448,552,,,.365,.300,.482,47.5,62.5,,7.3,.444,19.6,,.242,-12.15,94.7,106.9,64.3,+.024,-1.52,101.7,103.2,-9.13
Tulane,28,11,17,.393,-3.16,1.92,4,12,11,7,0,9,1830,1947,1120,652,1594,.409,160,494,.324,366,568,.644,378,1109,400,174,121,464,528,,,.356,.310,.491,50.4,61.3,,7.2,.459,19.9,,.230,-6.21,97.8,104.0,66.8,+.009,+1.41,103.0,101.6,-12.62
Tulsa,29,9,20,.310,1.28,4.62,5,13,7,7,2,11,1982,2079,1180,724,1653,.438,172,517,.333,362,544,.665,271,975,336,216,110,392,549,,,.329,.313,.518,46.1,46.4,,6.5,.490,17.0,,.219,+0.16,102.2,102.0,67.0,-.099,+5.87,106.6,100.7,+2.74
UC-Irvine,28,11,17,.393,-3.33,-0.10,6,12,7,5,1,11,1782,1852,1135,611,1345,.454,155,409,.379,405,591,.685,286,924,382,158,70,449,542,,,.439,.304,.548,51.8,62.5,,4.7,.512,21.6,,.301,-4.79,101.4,106.2,61.5,+.034,-0.32,103.4,103.7,+1.88
UC-Riverside,28,11,17,.393,-3.62,-0.21,7,11,8,4,2,12,1932,1973,1145,681,1537,.443,182,569,.320,388,542,.716,271,868,347,179,86,389,540,,,.353,.370,.538,47.2,51.0,,5.7,.502,17.8,,.252,-4.12,101.9,106.0,64.8,-.007,-0.20,103.3,103.5,+3.78
UC-Santa Barbara,28,16,12,.571,2.40,-0.63,10,8,10,2,5,6,1847,1735,,651,1453,.448,164,426,.385,381,576,.661,322,972,385,191,58,414,526,,,.396,.293,.535,52.9,59.1,,4.1,.504,19.3,,.262,+3.45,101.9,98.5,63.1,-.034,-1.30,103.6,104.9,+1.67
UCLA,28,11,17,.393,3.35,6.82,7,11,9,6,1,9,1863,1960,,698,1510,.462,127,386,.329,340,530,.642,312,965,404,127,73,442,516,,,.351,.256,.529,51.1,57.9,,4.5,.504,20.1,,.225,+1.24,102.7,101.4,63.2,+.017,+5.71,106.9,101.2,+2.42
University of California,28,13,15,.464,6.29,6.65,9,9,11,4,2,9,1873,1883,1125,675,1544,.437,127,410,.310,396,631,.628,346,984,386,173,84,394,540,,,.409,.266,.508,51.5,57.2,,5.6,.478,17.6,,.256,+5.51,103.7,98.2,64.0,-.018,+5.91,107.4,101.5,+3.39
Utah,33,24,9,.727,11.37,4.53,9,5,15,1,6,5,2134,1893,,768,1630,.471,196,506,.387,402,556,.723,355,1140,426,146,111,463,566,,,.341,.310,.563,56.0,55.5,,6.7,.531,19.6,,.247,+14.13,110.1,96.0,58.8,+.064,+4.45,106.8,102.3,-0.97
Utah State,29,25,4,.862,9.03,-1.43,17,1,15,1,10,2,2009,1684,1165,711,1397,.509,168,419,.401,419,582,.720,307,952,446,153,85,370,416,,,.417,.300,.600,55.5,62.7,,5.6,.569,18.1,,.300,+13.60,115.9,102.3,58.2,+.037,-3.05,101.4,104.4,-3.29
VMI,28,6,22,.214,-19.80,-5.57,4,12,6,6,0,13,1608,1942,1120,593,1471,.403,123,469,.262,299,472,.633,288,909,350,206,77,507,484,,,.321,.319,.474,47.3,59.0,,4.8,.445,23.0,,.203,-24.63,83.3,108.0,64.1,+.014,-6.23,99.1,105.3,+0.84
Valparaiso,31,18,13,.581,-0.09,0.01,11,5,10,5,4,6,2217,2201,1250,765,1740,.440,165,535,.308,522,740,.705,368,1183,474,210,97,500,692,,,.425,.307,.530,51.6,62.0,,5.4,.487,19.3,,.300,+0.53,100.1,99.6,69.2,+.068,-1.31,104.7,106.0,+0.85
Vanderbilt,33,23,10,.697,15.70,7.58,8,8,15,2,4,6,2414,2146,1325,841,1873,.449,263,716,.367,469,660,.711,367,1150,541,248,112,419,576,,,.352,.382,.552,50.4,64.3,,6.2,.519,16.1,,.250,+18.64,113.6,95.0,65.0,-.002,+7.87,108.0,100.1,-6.57
